simplified	ML	example_ML
文学	സാഹിത്യം	അവൾക്ക് ചൈനീസ് സാഹിത്യം ഇഷ്ടമാണ്.
文字	ലിപി; എഴുത്ത്	ഈ എഴുത്ത് വായിക്കാൻ ബുദ്ധിമുട്ടാണ്.
闻	മണമറിയുക; കേൾക്കുക	ഞാൻ പൂവിന്റെ സുഗന്ധം മണത്തു.
吻	ചുംബിക്കുക; ചുംബനം	അമ്മ കുട്ടിയുടെ മുഖത്ത് ചുംബിച്ചു.
稳定	സ്ഥിരമായ	വിലകൾ സ്ഥിരമായി തുടരുന്നു.
问候	ആശംസ അറിയിക്കുക	ദയവായി എന്റെ ആശംസകൾ നിങ്ങളുടെ കുടുംബത്തോട് അറിയിക്കൂ.
卧室	കിടപ്പുമുറി	കിടപ്പുമുറിയിൽ ഒരു വലിയ കിടക്കയുണ്ട്.
握手	കൈകുലുക്കുക	അവർ കണ്ടുമുട്ടിയപ്പോൾ കൈകുലുക്കി.
屋子	മുറി; വീട്	മുറിക്കുള്ളിൽ ചൂടാണ്.
无奈	നിസ്സഹായമായി; വഴിയില്ലാതെ	അവൻ നിസ്സഹായമായി തലകുലുക്കി.
无数	അനവധി; എണ്ണമറ്റ	രാത്രിയാകാശത്തിൽ എണ്ണമറ്റ നക്ഷത്രങ്ങളുണ്ട്.
无所谓	പ്രശ്നമല്ല; കാര്യമില്ലാത്തത്	നിനക്ക് എന്ത് കഴിക്കണമെന്നത് പ്രശ്നമല്ല.
武术	മാർഷ്യൽ കലകൾ	അവൻ ബാല്യകാലം മുതൽ മാർഷ്യൽ കലകൾ പഠിച്ചിട്ടുണ്ട്.
勿	ചെയ്യരുത്	ദയവായി ഇവിടെ പുകവലിക്കരുത്.
物理	ഭൗതികശാസ്ത്രം	ഭൗതികശാസ്ത്ര ക്ലാസ് വളരെ രസകരമാണ്.
物质	വസ്തു; പദാർഥം	വെള്ളം ഒരു പ്രധാന പദാർഥമാണ്.
雾	മൂടൽമഞ്ഞ്	രാവിലെ കനത്ത മൂടൽമഞ്ഞ് ഉണ്ടായിരുന്നു.
吸取	പാഠം ഉൾക്കൊള്ളുക	ഈ പാഠത്തിൽ നിന്ന് നാം പഠിക്കണം.
吸收	ആഗിരണം ചെയ്യുക	ചെടികൾ വെള്ളം ആഗിരണം ചെയ്യുന്നു.
戏剧	നാടകം	അവന് പരമ്പരാഗത നാടകം കാണാൻ ഇഷ്ടമാണ്.
系	വിഭാഗം; ബന്ധിപ്പിക്കുക	അവൾ ചൈനീസ് വിഭാഗത്തിൽ പഠിക്കുന്നു.
系统	സിസ്റ്റം; സംവിധാനം	ഈ സംവിധാനം സ്ഥിരമായി പ്രവർത്തിക്കുന്നു.
细节	വിശദാംശങ്ങൾ	ദയവായി ഈ വിശദാംശങ്ങളിൽ ശ്രദ്ധിക്കുക.
瞎	കണ്ണടച്ച്; അടിസ്ഥാനമില്ലാതെ	കണ്ണടച്ച് ഊഹിക്കരുത്; ആദ്യം സാമഗ്രികൾ നോക്കൂ.
下载	ഡൗൺലോഡ് ചെയ്യുക	ഞാൻ ഈ സോഫ്റ്റ്‌വെയർ ഡൗൺലോഡ് ചെയ്തു.
吓	ഭയപ്പെടുത്തുക	പെട്ടെന്നുള്ള ശബ്ദം എന്നെ ഭയപ്പെടുത്തി.
夏令营	വേനൽക്യാമ്പ്	കുട്ടി ചൈനീസ് വേനൽക്യാമ്പിൽ പങ്കെടുത്തു.
鲜艳	തിളക്കമുള്ള നിറമുള്ള	ഈ പാവാടയുടെ നിറം വളരെ തിളക്കമുള്ളതാണ്.
显得	കാണപ്പെടുക; തോന്നുക	ഈ വസ്ത്രം അവനെ വളരെ ചെറുപ്പമായി കാണിക്കുന്നു.
显然	വ്യക്തമായി	വ്യക്തമായി, അവൻ ഫലം ഇതിനകം അറിയുന്നു.
显示	കാണിക്കുക	സ്ക്രീൻ തെറ്റായ സമയം കാണിക്കുന്നു.
县	ജില്ലാതല കൗണ്ടി	ഈ കൗണ്ടിയിൽ നിരവധി ചായത്തോട്ടങ്ങളുണ്ട്.
现代	ആധുനിക	ആധുനിക ജീവിതം ഇന്റർനെറ്റിൽ നിന്ന് വേർപിരിയാനാവില്ല.
现实	യാഥാർത്ഥ്യം	നാം യാഥാർത്ഥ്യത്തെ നേരിടണം.
现象	പ്രതിഭാസം	ഈ പ്രതിഭാസം വളരെ സാധാരണമാണ്.
限制	പരിമിതപ്പെടുത്തുക	ഇവിടെ വാഹനപ്രവേശനം പരിമിതപ്പെടുത്തിയിരിക്കുന്നു.
相处	ഒന്നിച്ചു ഇടപഴകുക	അവർ തമ്മിൽ വളരെ നന്നായി ഇടപഴകുന്നു.
相当	വളരെ; തക്കതായ	ഈ പുസ്തകം വളരെ രസകരമാണ്.
相对	താരതമ്യേന	ഇവിടെയുള്ള വിലകൾ താരതമ്യേന കുറഞ്ഞതാണ്.
相关	ബന്ധപ്പെട്ട	ദയവായി ബന്ധപ്പെട്ട സാമഗ്രികൾ നൽകൂ.
相似	സമാനമായ	ഈ രണ്ട് അക്ഷരങ്ങളുടെ അർത്ഥങ്ങൾ വളരെ സമാനമാണ്.
香肠	സോസേജ്	പ്രഭാതഭക്ഷണത്തിന് മുട്ടയും സോസേജുമുണ്ട്.
享受	ആസ്വദിക്കുക	അവർ അവധി ആസ്വദിക്കുന്നു.
想念	മിസ് ചെയ്യുക; ഓർമ്മിച്ച് ആഗ്രഹിക്കുക	എനിക്ക് എന്റെ കുടുംബത്തെ വളരെ മിസ് ചെയ്യുന്നു.
想象	സങ്കൽപ്പിക്കുക	അത്തരം ജീവിതം എനിക്ക് സങ്കൽപ്പിക്കാനാവില്ല.
象棋	ചൈനീസ് ചെസ്	മുത്തച്ഛന് ചൈനീസ് ചെസ് കളിക്കാൻ ഇഷ്ടമാണ്.
象征	പ്രതീകം; സൂചിപ്പിക്കുക	വെളുപ്പ് പലപ്പോഴും വിശുദ്ധിയെ സൂചിപ്പിക്കുന്നു.
项	ഇനം; കാര്യങ്ങൾക്കുള്ള എണ്ണവാക്ക്	ഈ ജോലി വളരെ പ്രധാനമാണ്.
项链	മാല	അവൾ വെള്ളിമാല ധരിച്ചിരിക്കുന്നു.
项目	പദ്ധതി; ഇനം	ഈ പദ്ധതിക്ക് മൂന്ന് മാസം വേണം.
消费	ഉപഭോഗം ചെയ്യുക; ചെലവഴിക്കുക	അവധി ദിവസങ്ങളിൽ ഉപഭോഗം വർധിച്ചു.
消化	ജീർണ്ണം; ദഹനം	ഭക്ഷണത്തിന് ശേഷം നടക്കുന്നത് ദഹനത്തിന് സഹായിക്കും.
消极	നെഗറ്റീവ്; നിർജ്ജീവമായ	പ്രശ്നങ്ങളെ നെഗറ്റീവ് മനോഭാവത്തോടെ കാണരുത്.
消失	അപ്രത്യക്ഷമാകുക	സൂര്യൻ പതുക്കെ മലക്കു പിന്നിൽ അപ്രത്യക്ഷമായി.
销售	വിൽപ്പന; വിൽക്കുക	ഈ കമ്പനി ഇലക്ട്രോണിക് ഉൽപ്പന്നങ്ങൾ വിൽക്കുന്നു.
小麦	ഗോതമ്പ്	വടക്കൻ പ്രദേശത്ത് ധാരാളം ഗോതമ്പ് കൃഷി ചെയ്യുന്നു.
小气	പിശുക്കൻ	ഇത്ര പിശുക്കനാകരുത്.
孝顺	മാതാപിതാക്കളോട് ഭക്തിയുള്ള	അവൻ മാതാപിതാക്കളോട് വളരെ ഭക്തിയുള്ളവനാണ്.
效率	കാര്യക്ഷമത	ഇങ്ങനെ ചെയ്താൽ കാര്യക്ഷമത മെച്ചപ്പെടുത്താം.
歇	വിശ്രമിക്കുക	ആദ്യം നമുക്ക് കുറച്ച് നേരം വിശ്രമിക്കാം.
斜	ചായ്ന്ന; ചരിഞ്ഞ	ഈ റോഡ് അല്പം ചരിഞ്ഞതാണ്.
写作	എഴുത്ത്	എഴുത്തിന് ദീർഘകാല പരിശീലനം വേണം.
心理	മാനസികം	പരീക്ഷയ്ക്ക് മുമ്പ് മാനസികാവസ്ഥ ക്രമീകരിക്കണം.
心脏	ഹൃദയം	ഹൃദയാരോഗ്യം വളരെ പ്രധാനമാണ്.
欣赏	ആസ്വദിക്കുക; പ്രശംസിക്കുക	ഞങ്ങൾ മനോഹരമായ കാഴ്ച ആസ്വദിച്ചു.
信号	സിഗ്നൽ	ഇവിടെ മൊബൈൽ സിഗ്നൽ മോശമാണ്.
信任	വിശ്വസിക്കുക; വിശ്വാസം	സുഹൃത്തുക്കൾക്കിടയിൽ വിശ്വാസം വേണം.
形成	രൂപപ്പെടുക	നല്ല ശീലങ്ങൾ പതുക്കെ രൂപപ്പെടണം.
形容	വിവരിക്കുക	ഈ വികാരം എങ്ങനെ വിവരിക്കണമെന്ന് എനിക്ക് അറിയില്ല.
形势	സ്ഥിതി; സാഹചര്യം	ഇപ്പോഴത്തെ സ്ഥിതി താരതമ്യേന സങ്കീർണ്ണമാണ്.
形式	രൂപം	യോഗം ഓൺലൈൻ രൂപത്തിൽ നടത്താം.
形象	പ്രതിച്ഛായ; രൂപം	അവന്റെ പൊതുപ്രതിച്ഛായ വളരെ നല്ലതാണ്.
形状	ആകൃതി	ഈ പെട്ടിയുടെ ആകൃതി വളരെ പ്രത്യേകമാണ്.
行动	നടപടി; പ്രവർത്തനം	നമുക്ക് ഉടൻ നടപടി എടുക്കണം.
行人	നടന്നുപോകുന്നവർ	റോഡ് കടക്കുമ്പോൾ നടന്നുപോകുന്നവരെ ശ്രദ്ധിക്കുക.
行为	പെരുമാറ്റം	ഇത്തരത്തിലുള്ള പെരുമാറ്റം മര്യാദയില്ലാത്തതാണ്.
幸亏	ഭാഗ്യവശാൽ	ഭാഗ്യവശാൽ, നീ എന്നെ ഓർമ്മിപ്പിച്ചു.
幸运	ഭാഗ്യമുള്ള	ജോലി കിട്ടിയത് അവന് ഭാഗ്യമായിരുന്നു.
性质	സ്വഭാവം; ഗുണം	ഈ പ്രശ്നത്തിന്റെ സ്വഭാവം വളരെ ഗൗരവമുള്ളതാണ്.
兄弟	സഹോദരങ്ങൾ	ആ രണ്ട് സഹോദരങ്ങൾക്കിടയിൽ നല്ല ബന്ധമുണ്ട്.
胸	നെഞ്ച്	അവന് നെഞ്ചിൽ അല്പം മുറുക്കം തോന്നുന്നു.
休闲	വിശ്രമസമയം	വാരാന്ത്യം വിശ്രമസമയത്തിനുള്ള നല്ല സമയമാണ്.
修改	തിരുത്തുക; പരിഷ്കരിക്കുക	ദയവായി ഈ ലേഖനം തിരുത്തൂ.
虚心	തുറന്ന മനസ്സുള്ള; വിനീതമായ	നാം തുറന്ന മനസ്സോടെ അഭിപ്രായങ്ങൾ കേൾക്കണം.
叙述	വിവരിച്ച് പറയുക	സംഭവിച്ചത് അവൻ വ്യക്തമായി വിവരിച്ചു.
宣布	പ്രഖ്യാപിക്കുക	സ്കൂൾ പുതിയ നിയമങ്ങൾ പ്രഖ്യാപിച്ചു.
宣传	പ്രചാരണം നടത്തുക	അവർ പരിസ്ഥിതി സംരക്ഷണ അറിവ് പ്രചരിപ്പിക്കുന്നു.
学历	വിദ്യാഭ്യാസ യോഗ്യത	ഈ ജോലിക്ക് ബിരുദ യോഗ്യത വേണം.
学术	അക്കാദമിക്	ഈ യോഗം അക്കാദമിക് വിഷയങ്ങൾ ചർച്ച ചെയ്യുന്നു.
学问	അറിവ്; പാണ്ഡിത്യം	അവന് വളരെയധികം അറിവുണ്ട്.
血	രക്തം	അവന്റെ കൈയിൽ അല്പം രക്തം വന്നു.
寻找	തിരയുക	ഞങ്ങൾ ഒരു പുതിയ രീതി തിരയുന്നു.
询问	ചോദിച്ചറിയുക	അവൻ അധ്യാപകനോട് പരീക്ഷാസമയം ചോദിച്ചറിഞ്ഞു.
训练	പരിശീലനം; പരിശീലിപ്പിക്കുക	കായികതാരം ദിവസവും പരിശീലിക്കുന്നു.
迅速	വേഗത്തിൽ	വാർത്ത വേഗത്തിൽ പടർന്നു.
押金	നിക്ഷേപത്തുക	വീട് വാടകയ്ക്ക് എടുക്കാൻ നിക്ഷേപത്തുക അടയ്ക്കണം.
牙齿	പല്ലുകൾ	ദയവായി ദിവസവും പല്ലുകൾ നന്നായി പരിപാലിക്കൂ.
严肃	ഗൗരവമുള്ള	അധ്യാപകന്റെ മുഖഭാവം വളരെ ഗൗരവമുള്ളതായിരുന്നു.
延长	നീട്ടുക	യോഗം അരമണിക്കൂർ നീട്ടി.
演讲	പ്രസംഗം	അവൻ നാളത്തെ പ്രസംഗത്തിനായി തയ്യാറെടുക്കുന്നു.
宴会	വിരുന്ന്	അവർ ഒരു വിരുന്നിൽ പങ്കെടുത്തു.
阳台	ബാൽക്കണി	ബാൽക്കണിയിൽ നിരവധി പൂച്ചട്ടികളുണ്ട്.
痒	ചൊറിച്ചിൽ ഉണ്ടാകുക	എന്റെ കൈയ്ക്ക് അല്പം ചൊറിച്ചിലാണ്.
样式	ശൈലി; മാതൃക	ഈ ശൈലി വളരെ ജനപ്രിയമാണ്.
腰	അര; നടുവ്	ദീർഘനേരം ഇരുന്നാൽ നടുവ് വേദനിക്കാം.
摇	കുലുക്കുക; ആടിക്കുക	കാറ്റ് കൊമ്പുകൾ ഇങ്ങും അങ്ങും കുലുക്കി.
咬	കടിക്കുക	ഈ നായ ആളുകളെ കടിക്കില്ല.
要不	അല്ലെങ്കിൽ; എങ്കിൽ	നമുക്ക് നാളെ വീണ്ടും പോകാമോ?
业务	വ്യാപാരപ്രവർത്തനം; ജോലി	കമ്പനിയുടെ വ്യാപാരപ്രവർത്തനം വളരുകയാണ്.
业余	ഒഴിവുസമയത്തെ	അവൻ ഒഴിവുസമയത്ത് ഫോട്ടോഗ്രഫി പഠിക്കുന്നു.
夜	രാത്രി	രാത്രിയിൽ തെരുവ് വളരെ ശാന്തമാണ്.
依然	ഇനിയും; ഇപ്പോഴും	അവൻ ഇപ്പോഴും ബെയ്ജിംഗിൽ താമസിക്കുന്നു.
一辈子	ജീവിതമൊട്ടാകെ	അവൾ ജീവിതമൊട്ടാകെ സംഗീതത്തെ സ്നേഹിച്ചു.
一旦	ഒരിക്കൽ; എങ്കിൽ	ഒരിക്കൽ തീരുമാനിച്ചാൽ നിലനിൽക്കണം.
一律	എല്ലാം ഒരുപോലെ	യോഗത്തിനിടെ എല്ലാ ഫോണുകളും ഓഫ് ചെയ്യണം.
一再	വീണ്ടും വീണ്ടും	സുരക്ഷ ശ്രദ്ധിക്കണമെന്ന് അവൻ വീണ്ടും വീണ്ടും ഓർമ്മിപ്പിച്ചു.
一致	ഒന്നായ; ഏകകണ്ഠമായ	എല്ലാവരുടെയും അഭിപ്രായങ്ങൾ പൂർണ്ണമായി ഒത്തുപോകുന്നു.
疑问	സംശയം; ചോദ്യം	ഈ ഉത്തരത്തെക്കുറിച്ച് എനിക്ക് ഒരു സംശയമുണ്ട്.
移动	നീക്കുക; ചലനം	ദയവായി മേശ അല്പം നീക്കൂ.
移民	കുടിയേറുക; കുടിയേറ്റക്കാരൻ	അവർ വിദേശത്തേക്ക് കുടിയേറാൻ പദ്ധതിയിടുന്നു.
遗憾	ഖേദം	നിന്നെ കാണാൻ കഴിയാത്തതിൽ എനിക്ക് ഖേദമുണ്ട്.
乙	രണ്ടാം പാർട്ടി; ബി	കരാറിൽ രണ്ടാം പാർട്ടി പണം അടയ്ക്കാനുള്ള ഉത്തരവാദിത്വം വഹിക്കുന്നു.
以及	കൂടാതെ	ഞാൻ പുസ്തകങ്ങളും എഴുത്തുപകരണങ്ങളും വാങ്ങി.
以来	മുതൽ	ബിരുദം നേടിയതുമുതൽ അവൻ ബെയ്ജിംഗിൽ ജോലി ചെയ്യുന്നു.
义务	കടമ; ബാധ്യത	പരിസ്ഥിതി സംരക്ഷിക്കുന്നത് എല്ലാവരുടെയും കടമയാണ്.
亿	നൂറ് ദശലക്ഷം	ഈ രാജ്യത്തിന്റെ ജനസംഖ്യ ഒരു ബില്യണിലധികമാണ്.
意外	അപ്രതീക്ഷിതം; അപകടം	ഈ പ്രാവശ്യം വൈകിയത് പൂർണ്ണമായും അപ്രതീക്ഷിതമായിരുന്നു.
意义	അർത്ഥം; പ്രാധാന്യം	ഈ സംഭവത്തിന് വലിയ അർത്ഥമുണ്ട്.
议论	ചർച്ച ചെയ്യുക; അഭിപ്രായം പറയുക	എല്ലാവരും ഈ കാര്യം ചർച്ച ചെയ്യുന്നു.
因而	അതിനാൽ	അവൻ കഠിനമായി പഠിക്കുന്നു, അതിനാൽ അവന്റെ മാർക്കുകൾ നല്ലതാണ്.
因素	ഘടകം	കാലാവസ്ഥ ഒരു പ്രധാന ഘടകമാണ്.
银	വെള്ളി	അവൾ വെള്ളി വള ധരിച്ചിരിക്കുന്നു.
印刷	അച്ചടിക്കുക; അച്ചടി	ഈ പുസ്തകത്തിന്റെ അച്ചടി വളരെ വ്യക്തമാണ്.
英俊	സുന്ദരനായ	അവൻ വളരെ സുന്ദരനാണ്.
英雄	വീരൻ	അഗ്നിശമനസേനാംഗങ്ങൾ യഥാർത്ഥ വീരന്മാരാണ്.
营养	പോഷണം	പ്രഭാതഭക്ഷണത്തിൽ മതിയായ പോഷണം ഉണ്ടായിരിക്കണം.
营业	വ്യാപാരം നടത്തുക	ഈ കട ഒൻപത് മണിക്ക് വ്യാപാരം തുടങ്ങും.
迎接	സ്വാഗതം ചെയ്യുക	അതിഥികളെ സ്വാഗതം ചെയ്യാൻ ഞങ്ങൾ വിമാനത്താവളത്തിലേക്ക് പോയി.
影子	നിഴൽ	അവന്റെ നിഴൽ തെരുവുവിളക്കിന് കീഴിലാണ്.
应付	കൈകാര്യം ചെയ്യുക	അവന് ഈ പ്രശ്നം കൈകാര്യം ചെയ്യാൻ കഴിയും.
应用	പ്രയോഗിക്കുക; ഉപയോഗം	ഈ രീതി അധ്യാപനത്തിൽ പ്രയോഗിക്കാം.
硬	കടുപ്പമുള്ള	ഈ കസേര വളരെ കടുപ്പമാണ്.
硬件	ഹാർഡ്‌വെയർ	ഈ കമ്പ്യൂട്ടറിന്റെ ഹാർഡ്‌വെയർ നല്ലതാണ്.
拥抱	ആലിംഗനം ചെയ്യുക	കുട്ടി അമ്മയെ ആലിംഗനം ചെയ്യാൻ ഓടിവന്നു.
拥挤	തിരക്കേറിയ	രാവിലെ തിരക്കുസമയത്ത് മെട്രോ വളരെ തിരക്കേറിയതാണ്.
勇气	ധൈര്യം	തന്റെ തെറ്റ് സമ്മതിക്കാൻ അവന് ധൈര്യമുണ്ട്.
用功	കഠിനമായി പഠിക്കുക	അവൾ വളരെ കഠിനമായി പഠിക്കുന്നു.
用途	ഉപയോഗം	ഈ വസ്തുവിന് പല ഉപയോഗങ്ങളുണ്ട്.
优惠	ഇളവ്; അനുകൂലമായ	ഈ കടയിൽ ഇന്ന് ഇളവുണ്ട്.
优美	സുന്ദരമായ; മൃദുവായ	ഇവിടെയുള്ള പരിസ്ഥിതി വളരെ സുന്ദരമാണ്.
优势	മുൻതൂക്കം	അവന്റെ മുൻതൂക്കം സമൃദ്ധമായ അനുഭവമാണ്.
悠久	ദീർഘകാലമായ	ചൈനയ്ക്ക് ദീർഘമായ ചരിത്രമുണ്ട്.
油炸	എണ്ണയിൽ വറുക്കുക	ഞാൻ എണ്ണയിൽ വറുത്ത ഭക്ഷണം അപൂർവ്വമായി മാത്രമേ കഴിക്കൂ.
游览	സന്ദർശിച്ച് കാണുക	നാളെ ഞങ്ങൾ നിരോധിത നഗരം സന്ദർശിച്ച് കാണും.
犹豫	മടിക്കുക	ഉത്തരം പറയുന്നതിന് മുമ്പ് അവൻ കുറച്ച് നേരം മടിച്ചു.
有利	അനുകൂലമായ	ഈ നിബന്ധന നമുക്ക് അനുകൂലമാണ്.
幼儿园	കിൻഡർഗാർട്ടൻ	കുട്ടി അടുത്ത വർഷം കിൻഡർഗാർട്ടനിൽ പോകും.
娱乐	വിനോദം	സിനിമ കാണുന്നത് ഒരു തരത്തിലുള്ള വിനോദമാണ്.
与其	അതിനെക്കാൾ	പരാതിപ്പെടുന്നതിനെക്കാൾ നടപടി എടുക്കുന്നതാണ് നല്ലത്.
语气	സംസാരശൈലി; സ്വരം	അവന്റെ സംസാരശൈലി വളരെ മൃദുവാണ്.
玉米	ചോളം	രാത്രിഭക്ഷണത്തിന് ചോളം സൂപ്പുണ്ട്.
预报	പ്രവചനം	കാലാവസ്ഥാ പ്രവചനം നാളെ മഴപെയ്യുമെന്ന് പറയുന്നു.
预订	മുൻകൂട്ടി ബുക്ക് ചെയ്യുക	ഞാൻ ഹോട്ടൽ ഇതിനകം മുൻകൂട്ടി ബുക്ക് ചെയ്തിട്ടുണ്ട്.
预防	തടയുക; മുൻകരുതൽ എടുക്കുക	കൈകൾ ഇടയ്ക്കിടെ കഴുകുന്നത് ജലദോഷം തടയാം.
元旦	പുതുവത്സരദിനം	പുതുവത്സരദിനത്തിൽ ഞങ്ങൾക്ക് ഒരു ദിവസം അവധിയുണ്ട്.
原料	അസംസ്കൃത വസ്തു	അപ്പത്തിന്റെ പ്രധാന അസംസ്കൃത വസ്തു മാവാണ്.
原则	സിദ്ധാന്തം; തത്വം	ഒരു വ്യക്തിക്ക് തത്വങ്ങൾ ഉണ്ടായിരിക്കണം.
员工	ജീവനക്കാരൻ	കമ്പനിയിൽ മൂന്നുനൂറ് ജീവനക്കാരുണ്ട്.
圆	വട്ടം; വട്ടമായ	ചന്ദ്രൻ വലുതും വട്ടവുമാണ്.
愿望	ആഗ്രഹം	ലോകം ചുറ്റി സഞ്ചരിക്കുകയാണ് അവന്റെ ആഗ്രഹം.
乐器	സംഗീതോപകരണം	അവൾക്ക് പല സംഗീതോപകരണങ്ങളും വായിക്കാൻ കഴിയും.
晕	തലകറങ്ങുന്ന	ബോട്ടിൽ കയറുമ്പോൾ എനിക്ക് അല്പം തലകറങ്ങുന്നു.
运气	ഭാഗ്യം	ഇന്ന് എനിക്ക് നല്ല ഭാഗ്യമുണ്ട്.
运输	ഗതാഗതം; ചരക്ക് ഗതാഗതം	ഈ ചരക്കുകൾക്ക് റെയിൽ ഗതാഗതം വേണം.
运用	പ്രയോഗിക്കുക	ദയവായി ഈ വാക്കുകൾ ഇളവോടെ പ്രയോഗിക്കൂ.
灾害	ദുരന്തം	പ്രളയം ഒരു പ്രകൃതിദുരന്തമാണ്.
再三	വീണ്ടും വീണ്ടും	പുനരവലോകനം ചെയ്യണമെന്ന് അധ്യാപകൻ വീണ്ടും വീണ്ടും ഓർമ്മിപ്പിച്ചു.
在乎	കണക്കിലെടുക്കുക; പ്രാധാന്യം നൽകുക	സുഹൃത്തുകളുടെ അഭിപ്രായങ്ങൾക്ക് അവൻ വളരെയധികം പ്രാധാന്യം നൽകുന്നു.
在于	അടങ്ങിയിരിക്കുന്നത്	വിജയം സ്ഥിരതയിലാണ് അടങ്ങിയിരിക്കുന്നത്.
赞成	അംഗീകരിക്കുക; പിന്തുണയ്ക്കുക	നിന്റെ നിർദേശത്തെ ഞാൻ പിന്തുണയ്ക്കുന്നു.
赞美	പ്രശംസിക്കുക	എല്ലാവരും അവളുടെ ധൈര്യത്തെ പ്രശംസിച്ചു.
糟糕	മോശം; ഭയങ്കരം	ഇന്നത്തെ കാലാവസ്ഥ ശരിക്കും മോശമാണ്.
造成	ഉണ്ടാക്കുക; കാരണമാകുക	കനത്ത മഴ ഗതാഗതക്കുരുക്ക് ഉണ്ടാക്കി.
则	എങ്കിൽ; എന്നാൽ	കഠിനമായി പ്രവർത്തിച്ചാൽ പുരോഗതി ഉണ്ടാകും.
责备	കുറ്റപ്പെടുത്തുക	അധ്യാപകൻ അവനെ കുറ്റപ്പെടുത്തിയില്ല.
摘	പറിക്കുക	അവൾ തോട്ടത്തിൽ നിന്ന് ഒരു പൂവ് പറിച്ചു.
窄	ഇടുങ്ങിയ	ഈ റോഡ് വളരെ ഇടുങ്ങിയതാണ്.
粘贴	ഒട്ടിക്കുക	ദയവായി ഫോട്ടോ ഇവിടെ ഒട്ടിക്കൂ.
展开	ആരംഭിക്കുക; തുറക്കുക	ചർച്ച വേഗത്തിൽ ആരംഭിച്ചു.
展览	പ്രദർശനം	മ്യൂസിയത്തിൽ പുതിയൊരു പ്രദർശനമുണ്ട്.
占	സ്ഥലം കൈക്കൊള്ളുക	ഈ മേശ സ്ഥലം കൈക്കൊള്ളുന്നു.
战争	യുദ്ധം	യുദ്ധം ജനങ്ങൾക്ക് ദുഃഖം കൊണ്ടുവരുന്നു.
掌握	നന്നായി കൈവശപ്പെടുത്തുക	അവൻ അടിസ്ഥാന വ്യാകരണം ഇതിനകം നന്നായി കൈവശപ്പെടുത്തി.
涨	വില ഉയരുക	അടുത്തിടെ വാടക വീണ്ടും ഉയർന്നു.
长辈	മുതിർന്നവർ	പുതുവത്സരത്തിൽ മുതിർന്നവരെ അഭിവാദ്യം ചെയ്യണം.
账户	അക്കൗണ്ട്	ദയവായി നിങ്ങളുടെ ബാങ്ക് അക്കൗണ്ട് പരിശോധിക്കൂ.
招待	സത്കരിക്കുക	ആതിഥേയൻ അതിഥികളെ ഉഷ്മളമായി സത്കരിച്ചു.
着火	തീ പിടിക്കുക	അടുക്കളയിൽ അപ്രതീക്ഷിതമായി തീ പിടിച്ചു.
着凉	ജലദോഷം പിടിക്കുക	തണുപ്പാണ്, ജലദോഷം പിടിക്കരുത്.
召开	യോഗം വിളിക്കുക	സ്കൂൾ നാളെ ഒരു യോഗം വിളിക്കും.
照常	പതിവുപോലെ	കട നാളെ പതിവുപോലെ തുറക്കും.
哲学	തത്ത്വചിന്ത	അവൻ സർവകലാശാലയിൽ തത്ത്വചിന്ത പഠിച്ചു.
珍惜	വിലമതിക്കുക	നാം സമയം വിലമതിക്കണം.
真实	യഥാർത്ഥമായ	ഈ കഥ യഥാർത്ഥമാണ്.
针对	ലക്ഷ്യമിട്ട്	ഈ നിർദേശം പുതിയ വിദ്യാർത്ഥികളെ ലക്ഷ്യമിട്ടുള്ളതാണ്.
诊断	രോഗനിർണ്ണയം	ഡോക്ടർ വേഗത്തിൽ രോഗനിർണ്ണയം നടത്തി.
振动	കമ്പനം	ഫോൺ മേശപ്പുറത്ത് കമ്പനം ചെയ്യുന്നു.
阵	ചെറുകാലത്തെ തരംഗം; ഒരു വരവ്	പുറത്ത് ചെറിയൊരു മഴവന്നു.
争论	വാദിക്കുക; തർക്കം	അവർ ഈ പ്രശ്നത്തെക്കുറിച്ച് ദീർഘനേരം വാദിച്ചു.
争取	നേടാൻ പരിശ്രമിക്കുക	നമുക്ക് കൂടുതൽ അവസരങ്ങൾ നേടാൻ പരിശ്രമിക്കണം.
征求	അഭിപ്രായം തേടുക	അധ്യാപകൻ എല്ലാവരുടെയും അഭിപ്രായം തേടി.
挣	വിടുതൽ നേടാൻ പടവെടിക്കുക; സമ്പാദിക്കുക	പക്ഷി കയറിൽ നിന്ന് വിടുതൽ നേടാൻ പടവെട്ടി.
睁	കണ്ണുതുറക്കുക	ദയവായി കണ്ണുകൾ കുറച്ച് കൂടി തുറക്കൂ.
整个	മുഴുവൻ	മുഴുവൻ നഗരം വളരെ ശാന്തമാണ്.
整齐	ക്രമമുള്ള; വൃത്തിയായ	പുസ്തകങ്ങൾ വളരെ വൃത്തിയായി നിരത്തിയിരിക്കുന്നു.
整体	മൊത്തം; സമഗ്രം	നമുക്ക് മൊത്തത്തിലുള്ള ഫലം പരിഗണിക്കണം.
政府	സർക്കാർ	സർക്കാർ പുതിയ അറിയിപ്പ് പുറപ്പെടുവിച്ചു.
政治	രാഷ്ട്രീയം	അവന് രാഷ്ട്രീയത്തിൽ വളരെയധികം താൽപ്പര്യമുണ്ട്.
正	ശരി; നേരെ	ഈ ഉത്തരം ശരിയാണ്.
