simplified	RO	example_RO
齐全	complet	Uneltele din acest magazin sunt foarte complete.
齐心协力	a lucra împreună	Toți au lucrat împreună și au terminat sarcina.
乞丐	un cerșetor	Pe marginea drumului stătea un cerșetor bătrân.
企图	a încerca	El a încercat să ascundă situația reală.
启程	a porni la drum	Delegația pornește la drum mâine dimineață devreme.
启蒙	inițiere	Această carte este potrivită pentru lectura de inițiere a copiilor.
启事	un anunț	La poarta școlii era lipit un anunț de angajare.
启示	o revelație	Acest eșec ne-a oferit o revelație importantă.
岂有此理	absurd	Această taxă este cu adevărat absurdă.
起草	a redacta	Avocatul redactează contractul.
起初	la început	La început, el nu credea această veste.
起伏	ondulație	Drumul de munte urcă și coboară odată cu terenul.
起哄	a face gălăgie	Colegii nu trebuie să facă gălăgie în clasă.
起码	cel puțin	Cel puțin ar trebui să mă anunți din timp.
起源	origine	Acest festival își are originea în antichitate.
器材	echipament	Laboratorul are nevoie de echipament didactic nou.
器官	un organ	Inima este un organ important al corpului omenesc.
气概	spirit	Această poezie arată spirit eroic.
气功	qigong	Bunicul practică qigong în fiecare dimineață.
气魄	măreție	Acest pod are multă măreție.
气色	ten	După odihnă, tenul lui arată mult mai bine.
气势	avânt	Echipa a avut un avânt puternic chiar de la început.
气味	miros	În bucătărie era miros de pâine coaptă.
气象	meteorologie	Vremea de pe acest platou se schimbă foarte repede.
气压	presiune atmosferică	Scăderea presiunii atmosferice poate aduce ploaie.
气质	temperament	Ea are un temperament liniștit.
迄今为止	până acum	Până acum, experimentul merge bine.
掐	a ciupi	Ea a rupt o floare mică.
恰当	potrivit	Răspunsul tău este foarte potrivit.
恰到好处	exact cât trebuie	Dulceața acestui fel de mâncare este exact cât trebuie.
恰巧	din întâmplare	Când am ajuns la gară, din întâmplare a început să plouă.
洽谈	a negocia	Cele două părți negociază detaliile cooperării.
千方百计	prin toate mijloacele	Ei caută prin toate mijloacele o soluție.
牵	a ține de mână	Mama ținea copilul de mână când traversau strada.
牵扯	a implica	Această chestiune implică multe departamente.
牵制	a limita	Apărarea adversarului a limitat atacul.
签署	a semna	Cele două companii au semnat acordul.
谦逊	modest	După succes, el a rămas tot modest.
迁就	a ceda	Părinții nu pot ceda mereu în fața copilului.
迁徙	a migra	Păsările migratoare migrează anual după anotimp.
前景	perspectivă	Această industrie are perspective foarte bune.
前提	o premisă	Încrederea este premisa cooperării.
潜力	potențial	Acest elev are un potențial mare.
潜水	scufundare	Ei au mers la mare să învețe scufundări.
潜移默化	influență subtilă	Mediul familial îi influențează subtil pe copii.
谴责	a condamna	Comunitatea internațională a condamnat violența.
抢劫	jaf	Poliția l-a prins pe suspectul jafului băncii.
强制	a impune	Noile reguli impun șoferilor să poarte centura de siguranță.
强迫	a forța	Nu forța copilul să facă lucruri care nu îi plac.
抢救	a salva	Medicii încearcă să salveze muncitorul rănit.
桥梁	un pod	Limba este un pod pentru schimburile culturale.
窍门	un truc	Există câteva trucuri pentru învățarea pronunției.
翘	a ridica	El și-a ridicat un picior pe scaun.
切实	concret	Avem nevoie de un plan concret și fezabil.
锲而不舍	a persevera	El a perseverat în cercetarea acestei probleme.
亲密	apropiat	Ei au păstrat mereu o relație apropiată.
亲热	cald	Bătrânul i-a întâmpinat călduros pe oaspeți.
侵犯	a încălca	Acest comportament încalcă intimitatea personală.
侵略	agresiune	Poporul se opune oricărei forme de agresiune.
钦佩	a admira	Admir foarte mult curajul ei.
勤俭	harnic și econom	Bunica a administrat casa toată viața cu hărnicie și economie.
勤劳	harnic	Oamenii harnici pot crea mereu oportunități.
倾听	a asculta atent	Profesorul ascultă atent opiniile elevilor.
倾向	o tendință	Consumatorii tineri au tendința să cumpere online.
倾斜	a se înclina	După ploaia torențială, zidul a început să se încline.
清澈	limpede	Pârâul din munți este foarte limpede.
清晨	dimineața devreme	Aerul de dimineața devreme este deosebit de proaspăt.
清除	a îndepărta	Muncitorii au îndepărtat zăpada de pe drum.
清洁	curat	Spitalul trebuie să mențină mediul curat.
清理	a curăța	În weekend am curățat depozitul.
清晰	clar	Această fotografie este foarte clară.
清醒	treaz	După ce a băut cafea, el s-a simțit mult mai treaz.
清真	halal	În apropiere este un restaurant halal.
情报	informații	Jurnalistul a obținut informații importante.
情节	intrigă	Intriga romanului este foarte tensionată.
情理	rațiune	Cerința lui nu este conformă cu rațiunea.
情形	situație	Situația de la fața locului este mai complexă decât ne imaginam.
晴朗	senin	Cerul de astăzi este deosebit de senin.
请柬	o invitație	Ei au trimis invitații de nuntă rudelor și prietenilor.
请教	a cere sfatul	Aș vrea să vă cer sfatul într-o problemă.
请示	a cere instrucțiuni	Această chestiune trebuie mai întâi raportată conducerii pentru instrucțiuni.
请帖	o invitație	Pe masă era o invitație la ziua de naștere.
丘陵	dealuri	Această zonă are multe dealuri.
区分	a distinge	Copilul poate deja să distingă stânga de dreapta.
区域	o zonă	Parcarea este interzisă în această zonă.
屈服	a ceda	El nu a cedat presiunii.
曲折	complicat	Ei au trecut prin negocieri complicate.
驱逐	a expulza	Poliția i-a expulzat pe cei care făceau scandal.
渠道	un canal	Compania vinde produse prin canale noi.
取缔	a interzice	Guvernul a interzis piața ilegală.
曲子	o melodie	Melodia acestei piese este foarte frumoasă.
趣味	interes	Acest joc are mult interes.
圈套	o capcană	El era cât pe ce să cadă în capcana escrocului.
全局	ansamblu	Conducerea trebuie să ia în considerare interesele de ansamblu.
全力以赴	a depune toate eforturile	Vom depune toate eforturile pentru a termina sarcina.
拳头	un pumn	El și-a strâns pumnul înainte de competiție.
权衡	a cântări	Trebuie să cântărim costurile și efectele.
权威	o autoritate	Acest profesor este o autoritate în domeniu.
犬	un câine	Această rasă de câine este potrivită pentru pază.
缺口	o breșă	În zid este o breșă mică.
缺席	absență	El a lipsit de la ședință din cauza bolii.
缺陷	un defect	Acest design are un defect evident.
瘸	șchiop	Piciorul lui stâng este puțin șchiop.
确保	a asigura	Te rog să te asiguri că ușa este încuiată.
确立	a stabili	Compania a stabilit noi obiective de dezvoltare.
确切	exact	Nu știu ora exactă.
确信	a fi convins	Sunt convins că el va ajunge la timp.
群众	masele	Masele sprijină mult noua politică.
染	a vopsi	Ea și-a vopsit părul negru.
嚷	a striga	Nu striga tare pe coridor.
让步	o concesie	Ambele părți au făcut unele concesii.
饶恕	iertare	Ea a ales în cele din urmă să îl ierte pe celălalt.
扰乱	a tulbura	Zgomotul a tulburat ordinea clasei.
惹祸	a provoca necazuri	Glumele făcute fără măsură pot provoca ușor necazuri.
热泪盈眶	cu ochii plini de lacrimi	Când a auzit vestea bună, avea ochii plini de lacrimi.
热门	popular	Inteligența artificială este un subiect popular.
人道	umanitar	Acțiunea de salvare a arătat spirit umanitar.
人格	demnitate	Insultarea altora le rănește demnitatea personală.
人工	artificial	Acest râu a fost săpat artificial.
人家	alții	Nu te compara mereu cu alții.
人间	lumea oamenilor	Primăvara umple lumea oamenilor de viață.
人士	personalitate	Personalități din toate domeniile au participat la discuție.
人为	cauzat de om	Acest accident a fost cauzat de om.
人性	natura umană	Acest film discută natura umană.
人质	un ostatic	Poliția a salvat cu succes ostaticul.
仁慈	bun	Acest medic este foarte bun cu pacienții.
忍耐	răbdare	A sta la o coadă lungă cere puțină răbdare.
忍受	a suporta	Nu pot suporta zgomotul de aici.
任命	a numi	Consiliul a numit-o manager.
任性	capricios	Un copil prea capricios își poate afecta dezvoltarea.
任意	arbitrar	Te rog să nu modifici datele arbitrar.
任重道远	drum lung cu responsabilități grele	Reforma educației are un drum lung cu responsabilități grele.
认定	a stabili	Poliția a stabilit că acesta a fost un accident.
认可	aprobare	Planul lui a primit aprobarea tuturor.
仍旧	încă	După mulți ani, el locuiește încă aici.
日新月异	cu schimbări rapide	Tehnologia se dezvoltă cu schimbări rapide.
日益	din ce în ce mai	Problemele de mediu devin din ce în ce mai grave.
容貌	înfățișare	Anii i-au schimbat înfățișarea.
容纳	a găzdui	Această sală poate găzdui cinci sute de persoane.
容器	un recipient	Te rog să torni lichidul într-un recipient de sticlă.
容忍	a tolera	Compania nu poate tolera frauda.
溶解	a se dizolva	Sarea se dizolvă în apă.
荣幸	onorat	Sunt onorat să pot participa la ședință.
荣誉	onoare	Această medalie reprezintă cea mai înaltă onoare.
融化	a se topi	Soarele face gheața și zăpada să se topească încet.
融洽	armonios	Relațiile dintre colegi sunt armonioase.
揉	a masa	Mama mi-a masat ușor umerii.
柔和	blând	Lumina este blândă și nu deranjează ochii.
儒家	confucianism	Confucianismul a influențat cultura Asiei de Est.
弱点	un punct slab	Neatenția este principalul lui punct slab.
若干	câteva	Ședința a propus câteva sugestii.
撒谎	a minți	Copiii nu ar trebui să mintă.
散文	proză	Ei îi place să citească proză modernă.
散布	a răspândi	Cineva răspândește zvonuri pe internet.
散发	a emana	În grădină se emana un parfum delicat.
丧失	a pierde	El nu și-a pierdut încrederea.
骚扰	a hărțui	Te rog să nu îi hărțuiești pe ceilalți pasageri.
嫂子	cumnată	Mâncarea făcută de cumnata mea este foarte gustoasă.
刹车	a frâna	Șoferul a frânat brusc.
啥	ce	Ce ai spus adineauri?
筛选	a filtra	Sistemul va filtra automat CV-urile.
山脉	un lanț muntos	Acest lanț muntos este foarte lung.
闪烁	a pâlpâi	Luminile din depărtare pâlpâiau continuu.
擅长	a se pricepe	El se pricepe să gestioneze probleme complexe.
擅自	fără permisiune	Angajații nu pot pleca de la post fără permisiune.
伤脑筋	dificil	Această problemă este cu adevărat dificilă.
商标	o marcă	Compania a înregistrat o marcă nouă.
上级	superior	El a raportat situația superiorilor.
上进	ambițios	Ea a fost mereu ambițioasă.
上任	a prelua funcția	Noul manager va prelua funcția săptămâna viitoare.
上瘾	a deveni dependent	Mulți oameni devin dependenți de videoclipuri scurte.
上游	amonte	Poluarea vine din amonte.
尚且	chiar și	Chiar și adulții pot face greșeli.
捎	a transmite	Te rog să îmi transmiți un mesaj.
梢	vârf de ramură	Pasărea stă pe vârful ramurii.
哨	un post de pază	La intrare este un paznic.
奢侈	luxos	Un asemenea consum este prea luxos.
舌头	limbă	El și-a ars limba.
摄氏度	grade Celsius	Temperatura de astăzi este de treizeci de grade Celsius.
涉及	a implica	Raportul implică mai multe departamente.
社区	o comunitate	Comunitatea a organizat o prelegere despre sănătate.
设立	a înființa	Școala a înființat o bursă.
设想	o idee	Această idee mai trebuie discutată.
设置	a seta	Te rog să setezi din nou parola.
呻吟	a geme	Pacientul gemea încet.
深奥	profund	Conținutul acestei cărți este foarte profund.
深沉	adânc	Vocea lui era joasă și adâncă.
深情厚谊	prietenie profundă	Popoarele celor două țări au format o prietenie profundă.
申报	a declara	Călătorii trebuie să declare obiectele cu sinceritate.
绅士	un gentleman	El se poartă ca un gentleman.
神经	un nerv	Stresul poate afecta sistemul nervos.
神奇	magic	Peisajul de aici este foarte magic.
神气	plin de viață	El pare deosebit de plin de viață astăzi.
神圣	sacru	Aceasta este o responsabilitate sacră.
神态	expresie	Expresia ei era foarte calmă.
神仙	o ființă nemuritoare	Legenda spune că în munți trăiesc ființe nemuritoare.
审查	a examina	Platforma va examina conținutul publicat.
审理	a judeca	Curtea judecă acest caz.
审美	gust estetic	Gustul lui estetic este foarte unic.
审判	un proces	Procesul public a atras atenția presei.
慎重	prudent	Această decizie trebuie luată prudent.
渗透	a pătrunde	Apa de ploaie pătrunde încet în sol.
声明	o declarație	Compania a publicat o declarație oficială.
声势	amploare	Această campanie de promovare are mare amploare.
声誉	reputație	Calitatea produsului afectează reputația brandului.
牲畜	animale domestice	Păstorii au dus animalele domestice înapoi pe pășune.
生存	a supraviețui	Animalele sălbatice au nevoie de spațiu pentru supraviețuire.
生机	vitalitate	Ploaia de primăvară a umplut pământul de vitalitate.
生理	fiziologie	Somnul afectează starea fiziologică a omului.
生疏	neexersat	După mulți ani fără practică, pianul lui este cam neexersat.
生态	ecologie	Protejarea pădurilor ține de echilibrul ecologic.
生物	o ființă vie	În ocean există multe ființe vii ciudate.
生效	a intra în vigoare	Noul regulament intră oficial în vigoare mâine.
生肖	zodie chinezească	Care este zodia ta chinezească?
生锈	a rugini	Lanțul bicicletei a ruginit deja.
生育	naștere	Spitalul oferă servicii de consultanță pentru naștere.
省会	capitală de provincie	Chengdu este din vechime capitala provinciei Sichuan.
盛产	a produce din abundență	Aici se produce din abundență ceai de calitate.
盛开	a înflori	Cireșii din parc sunt în plină înflorire.
盛情	ospitalitate generoasă	Le mulțumim gazdelor pentru ospitalitatea generoasă.
盛行	a fi la modă	Acest stil a fost cândva foarte la modă.
胜负	victorie sau înfrângere	Ultimul minut al meciului a decis victoria sau înfrângerea.
失事	a avea un accident	Cauza accidentului avionului este încă investigată.
失误	o greșeală	O mică greșeală a dus la întârzierea proiectului.
失踪	dispărut	Poliția caută copilul dispărut.
尸体	un cadavru	Echipa de salvare a găsit cadavrul victimei.
师范	pedagogic	Ea a absolvit o universitate pedagogică.
施加	a exercita	Părinții nu ar trebui să exercite presiune prea mare.
施展	a-și pune în valoare	El a avut în sfârșit ocazia să își pună în valoare talentul.
十足	deplin	El are încredere deplină în rezultat.
实惠	avantajos	Prețurile acestui magazin sunt foarte avantajoase.
实力	forță	Forța generală a echipei este foarte mare.
实施	a implementa	Guvernul a început să implementeze noul plan.
实事求是	a căuta adevărul din fapte	În cercetare trebuie să cauți adevărul din fapte.
实行	a pune în practică	Compania a pus în practică programul de lucru flexibil.
实质	esență	Esența problemei nu s-a schimbat.
拾	a ridica	El s-a aplecat și a ridicat cheia de pe jos.
时常	adesea	Bunicul vorbește adesea despre tinerețea lui.
时而	uneori	Vremea este uneori senină, uneori înnorată.
时光	timp	Timpurile frumoase sunt mereu scurte.
时机	moment potrivit	Acum nu este un moment potrivit pentru negocieri.
时事	actualitate	Elevii discută săptămânal actualitatea internațională.
石油	petrol	Prețul petrolului a crescut din nou.
识别	a identifica	Sistemul poate identifica fețe diferite.
使命	misiune	Protejarea mediului este o misiune comună.
世代	generație	Această meșteșugărie s-a transmis în familie din generație în generație.
事故	accident	Acest accident nu a produs victime.
事迹	faptă	Faptele lui eroice s-au răspândit pe scară largă.
事件	eveniment	Acest eveniment a atras atenția societății.
事态	situație	Guvernul controlează evoluția situației.
事务	afaceri	Ea este responsabilă de afacerile zilnice ale companiei.
事项	chestiune	Te rog să confirmi chestiunile importante din contract.
事业	carieră	El consideră educația o carieră de-o viață.
势必	inevitabil	Creșterea costurilor va afecta inevitabil prețurile.
势力	influență	Influența comercială locală este foarte puternică.
是非	bine și rău	El nu vrea să se implice în certurile de la birou.
示范	a demonstra	Profesorul a făcut mai întâi o demonstrație.
示威	o demonstrație	În centrul orașului a avut loc o demonstrație pașnică.
示意	a indica	Managerul le-a indicat tuturor să facă liniște.
视力	vedere	Privitul îndelungat la ecran afectează vederea.
视频	un videoclip	Te rog să îmi trimiți videoclipul.
视线	linie vizuală	Ceața deasă a blocat linia vizuală a șoferului.
视野	orizont	Călătoriile pot lărgi orizontul.
试图	a încerca	El a încercat să își explice decizia.
试验	un experiment	Oamenii de știință au făcut multe experimente.
适宜	potrivit	Clima de aici este potrivită pentru locuit.
逝世	a deceda	Acest scriitor a decedat anul trecut.
释放	a elibera	Curtea a decis să îl elibereze pe inculpat.
收藏	a colecționa	El a colecționat multe timbre vechi.
收缩	a se contracta	Aerul rece face metalul să se contracte.
收益	câștig	Câștigul investiției este mai mare decât se aștepta.
收音机	un radio	Bunica ascultă radioul în fiecare zi.
守护	a proteja	Medicii protejează viața pacienților.
手法	tehnică	Tehnica de filmare a regizorului este foarte unică.
手势	un gest	El a făcut un gest pentru a-și arăta acordul.
手艺	meșteșug	Acest meșter are un meșteșug foarte bun.
首饰	bijuterii	Ea purta bijuterii simple de argint.
首要	principal	Siguranța este sarcina principală.
受罪	a suferi	Pacientul a suferit mult după operație.
授予	a acorda	Școala i-a acordat o diplomă onorifică.
书法	caligrafie	El practică caligrafia de mic.
书记	secretar	Secretarul satului a prezidat ședința.
书籍	cărți	Biblioteca deține multe cărți.
书面	în scris	Te rog să oferi o dovadă în scris.
疏忽	neglijență	Această greșeală a provenit din neglijență la muncă.
疏远	a se îndepărta	Neînțelegerea i-a făcut pe cei doi să se îndepărteze treptat.
舒畅	relaxat	După plimbare, starea lui de spirit era foarte relaxată.
数额	sumă	Suma despăgubirii nu a fost încă stabilită.
束	un buchet	Ea a cumpărat un buchet de flori.
束缚	a restrânge	Ideile tradiționale i-au restrâns alegerile.
树立	a stabili	Compania trebuie să își stabilească o imagine bună.
竖	a ridica	Te rog să ridici panoul.
耍	a se juca	Nu te juca pe telefon în timpul programului.
衰老	îmbătrânire	Sportul poate încetini îmbătrânirea.
衰退	recesiune	Recesiunea economică a afectat ocuparea forței de muncă.
率领	a conduce	Căpitanul a condus echipa înainte.
涮火锅	a găti hotpot	Iarna, tuturor le place să gătească hotpot.
双胞胎	gemeni	Ei sunt o pereche de gemeni.
爽快	direct	Ea a răspuns foarte direct.
水利	gospodărirea apelor	Această regiune acordă importanță lucrărilor de gospodărire a apelor.
水龙头	un robinet	Robinetul din bucătărie curge.
水泥	ciment	Muncitorii au transportat cimentul pe șantier.
瞬间	o clipă	Luminile s-au stins toate într-o clipă.
司法	judiciar	Independența judiciară are nevoie de garanții instituționale.
司令	comandant	Comandantul a dat ordinul de retragere.
思念	a duce dorul	Ea duce adesea dorul orașului natal.
思索	a chibzui	El a stat cu capul plecat și a chibzuit mult timp.
思维	gândire	Acest antrenament poate îmbunătăți gândirea logică.
斯文	cultivat	El vorbește foarte cultivat.
私自	fără voie	Elevii nu pot părăsi școala fără voie.
死亡	moarte	Accidentul a cauzat moartea mai multor persoane.
四肢	membrele	Înainte de sport trebuie să îți miști membrele.
寺庙	un templu	Pe munte este un templu vechi.
肆无忌惮	fără scrupule	El a încălcat regulile fără scrupule.
饲养	a crește	Ferma crește multe vaci de lapte.
耸	a ridica din umeri	După ce a ascultat, el doar a ridicat din umeri.
艘	coeficient pentru nave	În port erau ancorate trei nave de marfă.
苏醒	a-și reveni	Pacientul și-a revenit în cele din urmă.
俗话	o zicală	O zicală spune că practica duce la măiestrie.
塑造	a modela	Mediul poate modela caracterul omului.
素食	mâncare vegetariană	Acest restaurant oferă mâncare vegetariană.
素质	calitate personală	Personalul de serviciu are calități personale ridicate.
诉讼	un proces	Cele două părți au decis să rezolve prin proces.
算数	a conta	Cuvintele pe care le-ai spus trebuie să conteze.
随即	imediat	După încheierea ședinței, el a plecat imediat.
随意	la întâmplare	Te rog să nu modifici setările la întâmplare.
岁月	anii	Anii i-au schimbat înfățișarea.
隧道	un tunel	Trenul a trecut prin tunelul lung.
损坏	a deteriora	Ploaia torențială a deteriorat drumul.
索取	a solicita	Clientul poate solicita mostre gratuite.
索性	pur și simplu	Ploaia era prea puternică, așa că pur și simplu nu am ieșit.
塌	a se prăbuși	Acoperișul casei vechi s-a prăbușit.
踏实	liniștit	După ce am terminat sarcina, m-am simțit liniștit.
塔	un turn	În centrul orașului este un turn înalt.
台风	un taifun	Taifunul este așteptat să ajungă mâine la țărm.
太空	spațiu cosmic	Omenirea explorează mereu spațiul cosmic.
泰斗	o autoritate eminentă	El este o autoritate eminentă în lingvistică.
摊	o tarabă	Ea a instalat o tarabă cu fructe în piață.
瘫痪	paralizie	Accidentul rutier i-a provocat paralizia membrelor inferioare.
贪婪	lacom	Lăcomia poate distruge un om.
贪污	corupție	Funcționarul este investigat pentru corupție.
弹性	elasticitate	Acest material are multă elasticitate.
坦白	a mărturisi	El a mărturisit în cele din urmă adevărul.
叹气	a ofta	Când a auzit rezultatul, nu s-a putut abține să nu ofteze.
探测	a detecta	Echipamentul poate detecta apa subterană.
探索	a explora	Oamenii de știință continuă să exploreze universul.
探讨	a discuta	Experții au discutat planul de reformă.
探望	a vizita	În weekend merg la spital să vizitez un prieten.
倘若	dacă	Dacă plouă, activitatea va fi amânată.
掏	a scoate	El a scos cheia din buzunar.
滔滔不绝	a vorbi neîncetat	Când vorbește despre istorie, vorbește neîncetat.
淘汰	a elimina	Această echipă a fost eliminată devreme.
陶瓷	ceramică	Jingdezhen este renumit pentru ceramică.
陶醉	a fi fermecat	Publicul era fermecat de muzică.
讨好	a intra în grații	El nu vrea să intre intenționat în grațiile superiorilor.
特长	un talent	Desenul este talentul ei.
特定	specific	Te rog să trimiți cererea în timpul specificat.
特意	în mod special	Am venit în mod special să îți mulțumesc.
提拔	a promova	Compania a promovat-o ca șefă de departament.
提炼	a rafina	Fabrica rafinează metalul din minereu.
提示	a indica	Sistemul va indica introducerea parolei.
提议	o propunere	Ea a propus să continuăm discuția mâine.
题材	subiect	Subiectul acestui film este nou.
体裁	gen	Nuvela și poezia sunt genuri diferite.
体积	volum	Această cutie are volum mare.
体谅	a înțelege	Te rog să îi înțelegi dificultățile.
体面	demn	El vrea să găsească un loc de muncă demn.
体系	un sistem	Compania a construit un sistem complet de instruire.
天才	un geniu	Acest copil este considerat un geniu muzical.
天赋	un talent	Ea are talent pentru învățarea limbilor.
天伦之乐	bucurie familială	Bătrânul se bucură de bucuria familială.
天然气	gaz natural	Locuitorii orașului folosesc gaz natural pentru gătit.
天生	natural	El este optimist din fire.
天堂	paradis	Acest loc este ca un paradis pe pământ.
天文	astronomie	El iubește astronomia de mic.
田径	atletism	Școala a organizat o competiție de atletism.
田野	câmp	Câmpurile primăvara sunt verzi.
舔	a linge	Cățelul a lins mâna stăpânului.
挑剔	pretențios	Ea este foarte pretențioasă la mâncare.
条款	clauză	Clauzele contractului trebuie citite cu atenție.
条理	ordine	Discursul lui este foarte ordonat.
条约	un tratat	Cele două țări au semnat un tratat de pace.
调和	armonios	Aceste două culori sunt armonioase.
调剂	a echilibra	Sportul poate echilibra viața tensionată.
调节	a regla	Aerul condiționat poate regla temperatura interioară.
调解	a media	Personalul comunității a ajutat părțile să medieze disputa.
调料	condiment	Supa are nevoie de puțin condiment.
挑拨	a instiga	Nu instiga relațiile dintre colegi.
挑衅	provocare	Această afirmație are o provocare evidentă.
跳跃	a sări	Sportivul a sărit de trei ori la rând.
亭子	un pavilion	Lângă lac este un pavilion mic.
停泊	a ancora	Bărcile de pescuit sunt ancorate în golf.
停顿	o pauză	El a făcut o pauză în mijlocul vorbirii.
停滞	stagnare	Proiectul a stagnat din cauza lipsei de fonduri.
挺拔	înalt și drept	Pinul a crescut înalt și drept.
通货膨胀	inflație	Inflația a ridicat costul vieții.
通缉	a da în urmărire	Poliția l-a dat în urmărire pe acest suspect.
通俗	accesibil	Limbajul acestei cărți este foarte accesibil.
通讯	comunicații	Tehnologia modernă a comunicațiilor se dezvoltă rapid.
通用	universal	Acest tip de încărcător este relativ universal.
同胞	compatriot	Compatrioții de peste hotare urmăresc și ei dezvoltarea orașului natal.
同志	tovarăș	Tovarășul mai în vârstă a împărtășit experiența de lucru.
童话	basm	Copilului îi place să asculte basme înainte de culcare.
铜	cupru	Această statuie este făcută din cupru.
统筹兼顾	a coordona în ansamblu	Planificarea urbană trebuie să coordoneze în ansamblu interesele tuturor părților.
统计	a număra	Trebuie să numărăm persoanele înscrise.
统统	toate	Toate aceste documente vechi trebuie arhivate.
统治	a conduce	Această dinastie a condus timp de trei sute de ani.
投机	speculație	El a câștigat o sumă de bani prin speculație.
投票	a vota	Locuitorii vor participa mâine la vot.
投诉	o reclamație	Clientul a depus o reclamație împotriva comerciantului pe platformă.
投降	a se preda	Armata inamică a ales în cele din urmă să se predea.
投掷	a arunca	Sportivul exersează aruncarea suliței.
透露	a dezvălui	El nu a dezvăluit detaliile ședinței.
秃	chel	El a chelit de tânăr.
突破	un progres	Cercetarea a obținut un progres major.
图案	model	Modelul de pe această pânză este foarte frumos.
徒弟	ucenic	Maestrul îl învață pe ucenic să repare ceasuri.
涂抹	a aplica	Te rog să aplici unguentul în jurul rănii.
途径	cale	Internetul este o cale importantă pentru obținerea informațiilor.
土壤	sol	Solul fertil este potrivit pentru cultivarea legumelor.
团结	a se uni	Echipa trebuie să se unească și să colaboreze.
团体	grup	Acest grup organizează activități în mod regulat.
团圆	reuniune familială	Sărbătoarea Primăverii este un moment de reuniune familială.
推测	a presupune	Experții presupun că prețurile vor continua să crească.
推翻	a răsturna	Poporul a răsturnat vechiul sistem.
推理	raționament	Acest roman este plin de scene de raționament.
推论	o deducție	Această deducție mai are nevoie de dovezi.
推销	a promova	El este responsabil de promovarea noului produs.
吞吞吐吐	a se bâlbâi	El s-a bâlbâit când a răspuns la întrebare.
托运	a înregistra bagajul	Pasagerii pot înregistra bagajele la ghișeu.
拖延	a amâna	Nu mai amâna termenul de plată.
脱离	a se desprinde	Teoria nu se poate desprinde de realitate.
妥当	potrivit	Acest aranjament este foarte potrivit.
妥善	corespunzător	Te rog să păstrezi corespunzător documentele importante.
妥协	un compromis	Cele două părți au ajuns în cele din urmă la un compromis.
椭圆	o elipsă	Orbita Pământului este apropiată de o elipsă.
唾弃	a disprețui	Societatea disprețuiește acest tip de fraudă.
哇	uau	Uau, acest pod este cu adevărat spectaculos!
挖掘	a săpa	Echipa de arheologi sapă un mormânt antic.
娃娃	păpușă	Fetița ține în brațe o păpușă.
瓦解	a se destrăma	Conflictele interne au făcut alianța să se destrame.
歪曲	a distorsiona	Relatările nu ar trebui să distorsioneze faptele.
外表	înfățișare	Nu judeca oamenii doar după înfățișare.
外行	nepriceput	În drept sunt complet nepriceput.
外界	lumea exterioară	Compania răspunde rar criticilor din lumea exterioară.
外向	extravertit	Ea este extravertită și are mulți prieteni.
丸	pilulă	Doctorul i-a prescris câteva pilule.
完备	complet	Acest set de materiale este foarte complet.
完毕	a se încheia	Ședința s-a încheiat deja.
玩弄	a se juca cu	Nu te juca cu sentimentele altora.
玩意儿	o chestie	Ce chestie nouă mai este asta?
顽固	încăpățânat	Atitudinea lui este foarte încăpățânată.
顽强	tenace	Rănitul a dat dovadă de multă tenacitate.
惋惜	a regreta	Toți au regretat eșecul.
挽回	a recupera	El s-a străduit să recupereze pierderile companiei.
挽救	a salva	Doctorul a salvat cu succes viața pacientului.
万分	extrem de	Îți sunt extrem de recunoscător pentru ajutor.
往常	de obicei	Astăzi este mai cald decât de obicei.
往事	amintiri	Bătrânul își amintește adesea întâmplări din trecut.
妄想	a visa zadarnic	El visează zadarnic să se îmbogățească peste noapte.
危机	criză	Compania se confruntă cu o criză gravă.
威风	impunător	Generalul arăta impunător călare.
威力	putere	Această armă are putere mare.
威望	prestigiu	El are mare prestigiu în sat.
威信	autoritate	Conducătorii trebuie să mențină autoritatea guvernului.
微不足道	neînsemnat	Această mică pierdere este neînsemnată.
微观	microeconomic	Acest curs prezintă economia microeconomică.
为难	a pune în dificultate	Nu îl mai pune în dificultate pe chelner.
为期	a dura	Instruirea durează trei luni.
唯独	doar	Toți au sosit, doar el nu a venit.
维持	a menține	Poliția a menținut ordinea la fața locului.
维护	a proteja	Trebuie să ne protejăm drepturile legale.
维生素	vitamină	Fructele conțin multe vitamine.
违背	a încălca	Această decizie a încălcat spiritul contractului.
伪造	a falsifica	Cineva i-a falsificat semnătura.
委托	a încredința	Clientul i-a încredințat avocatului gestionarea cazului.
委员	membru al comitetului	Fiecare membru al comitetului și-a exprimat opinia.
卫星	satelit	Satelitul a intrat pe orbita planificată.
喂	a hrăni	Copilul hrănește pisicuța.
慰问	a consola	Conducătorii au mers la spital să îi consoleze pe răniți.
未免	prea	Această cerință este prea ridicată.
畏惧	a se teme	El nu se teme niciodată de dificultăți.
蔚蓝	azuriu	Cerul avea o culoare azurie.
温带	zonă temperată	Această plantă este potrivită pentru clima din zona temperată.
温和	moderat	Atitudinea lui politică este relativ moderată.
文凭	diplomă	Acest loc de muncă cere o diplomă universitară.
文物	relicvă culturală	Muzeul a expus relicve culturale prețioase.
文献	literatură de specialitate	Lucrarea a citat multă literatură de specialitate.
文雅	elegant	Ea are un comportament elegant.
