simplified	BN	example_BN
痛快	খুব আনন্দে; তৃপ্তিকর	আজ আমরা সত্যিই খুব আনন্দ করে খেলেছি।
偷	চুরি করা	অন্যের জিনিস চুরি করো না।
投入	মনোযোগ দিয়ে করা; বিনিয়োগ করা	সে খুব মনোযোগ দিয়ে কাজ করে।
投资	বিনিয়োগ; বিনিয়োগ করা	তারা একটি নতুন প্রকল্পে বিনিয়োগ করেছে।
透明	স্বচ্ছ	এই কাপটি স্বচ্ছ।
突出	প্রধান; স্পষ্ট	তার ভালো দিকগুলো খুব স্পষ্ট।
土地	জমি; মাটি	এই জমি খুব উর্বর।
土豆	আলু	আমি কয়েকটি আলু কিনেছি।
兔子	খরগোশ	শিশুটি একটি খরগোশ পোষে।
吐	বমি করা	তার শরীর খারাপ, বমি করতে ইচ্ছে করছে।
团	দল	আমরা একটি ভ্রমণ দলে যোগ দিয়েছি।
推辞	প্রত্যাখ্যান করা; বিনয়ের সঙ্গে না বলা	সে বন্ধুর আমন্ত্রণ প্রত্যাখ্যান করেছে।
推广	প্রচার করা; জনপ্রিয় করা	কোম্পানি নতুন পণ্য প্রচার করছে।
推荐	সুপারিশ করা	শিক্ষক এই বইটি সুপারিশ করেছেন।
退	পিছিয়ে যাওয়া	দয়া করে এক পা পিছিয়ে যান।
退步	অবনতি হওয়া	অনুশীলন না করলে দক্ষতার অবনতি হবে।
退休	অবসর নেওয়া	সে আগামী বছর অবসর নেবে।
歪	বাঁকা	এই ছবিটি বাঁকা হয়ে ঝুলছে।
外公	মায়ের বাবা; নানা	আমার নানা এ বছর আশি বছর বয়সী।
外交	কূটনীতি; পররাষ্ট্র সম্পর্ক	সে আন্তর্জাতিক সম্পর্ক ও কূটনীতি পড়ে।
完美	নিখুঁত	এই পরিকল্পনাটি নিখুঁত নয়।
完善	উন্নত করা; পূর্ণাঙ্গ করা	আমাদের সেবা প্রক্রিয়া আরও উন্নত করতে হবে।
完整	সম্পূর্ণ; অক্ষত	দয়া করে আমাকে একটি সম্পূর্ণ প্রতিবেদন দিন।
玩具	খেলনা	শিশুটি খেলনাগুলো বাক্সে রাখল।
万一	যদি হঠাৎ; সাবধানতার জন্য	যদি বৃষ্টি হয়, আমরা অন্য দিন যাব।
王子	রাজপুত্র	গল্পের রাজপুত্র খুব সাহসী।
往返	যাওয়া-আসা; ফিরতি যাত্রা	এই টিকিট দিয়ে একই দিনে যাওয়া-আসা করা যায়।
网络	ইন্টারনেট; নেটওয়ার্ক	এখানকার ইন্টারনেট সংযোগ খুব স্থিতিশীল।
危害	ক্ষতি করা; বিপন্ন করা	ধূমপান স্বাস্থ্যের ক্ষতি করে।
威胁	হুমকি দেওয়া; বিপন্ন করা	দূষণ নদীকে বিপন্ন করছে।
微笑	হাসি; মুচকি হাসা	সে আমার দিকে মুচকি হাসল।
唯一	একমাত্র	এটাই একমাত্র উপায়।
围巾	স্কার্ফ; মাফলার	শীতে সে মাফলার পরে।
围绕	কেন্দ্র করে; ঘিরে	আলোচনা এই প্রশ্নকে কেন্দ্র করে এগিয়েছে।
维修	মেরামত; রক্ষণাবেক্ষণ	লিফটটি মেরামত করা হচ্ছে।
违反	লঙ্ঘন করা	এভাবে করা নিয়ম লঙ্ঘন করে।
伟大	মহান	এটি একটি মহান আবিষ্কার।
委屈	অন্যায়ের শিকার মনে হওয়া	সে নিজেকে খুব অন্যায়ের শিকার মনে করল।
尾巴	লেজ	ছোট কুকুরটি লেজ নাড়ছিল।
位于	অবস্থিত হওয়া	স্কুলটি শহরের কেন্দ্রে অবস্থিত।
位置	স্থান; অবস্থান	এই স্থানটি খুব শান্ত।
未必	অবশ্যই নয়	সে যা বলেছে তা অবশ্যই সত্য নয়।
未来	ভবিষ্যৎ	আমাদের ভবিষ্যতের জন্য প্রস্তুতি নিতে হবে।
胃	পেট; পাকস্থলী	আমার পেটে একটু অস্বস্তি হচ্ছে।
胃口	রুচি; ক্ষুধা	আজ তার রুচি খুব ভালো।
温暖	উষ্ণ	বসন্তের রোদ খুব উষ্ণ।
温柔	নরম; কোমল	সে খুব কোমলভাবে কথা বলে।
文件	নথি; ফাইল	দয়া করে নথিটি আমাকে পাঠান।
文具	লেখাপড়ার সামগ্রী	স্কুলব্যাগে অনেক লেখাপড়ার সামগ্রী আছে।
文明	সভ্য; সভ্যতা	লাইনে দাঁড়ানো একটি সভ্য আচরণ।
文学	সাহিত্য	সে চীনা সাহিত্য পছন্দ করে।
文字	লেখা; অক্ষর	এই লেখাগুলো পড়া কঠিন।
闻	গন্ধ পাওয়া; শোনা	আমি ফুলের গন্ধ পেলাম।
吻	চুমু; চুমু খাওয়া	মা শিশুর গালে চুমু খেলেন।
稳定	স্থিতিশীল	দাম স্থিতিশীল রয়েছে।
问候	শুভেচ্ছা জানানো	দয়া করে আপনার পরিবারকে আমার শুভেচ্ছা জানাবেন।
卧室	শোবার ঘর	শোবার ঘরে একটি বড় বিছানা আছে।
握手	হাত মেলানো	দেখা হলে তারা হাত মিলিয়েছিল।
屋子	ঘর	ঘরের ভেতরটা উষ্ণ।
无奈	অসহায়ভাবে; উপায় না থাকা	সে অসহায়ভাবে মাথা নাড়ল।
无数	অসংখ্য	রাতের আকাশে অসংখ্য তারা আছে।
无所谓	কিছু যায় আসে না	তুমি কী খেতে চাও, তাতে কিছু যায় আসে না।
武术	মার্শাল আর্ট; যুদ্ধকলা	সে ছোটবেলা থেকে যুদ্ধকলা শিখছে।
勿	করবেন না	দয়া করে এখানে ধূমপান করবেন না।
物理	পদার্থবিদ্যা	পদার্থবিদ্যার ক্লাস খুব আকর্ষণীয়।
物质	পদার্থ; বস্তু	পানি একটি গুরুত্বপূর্ণ পদার্থ।
雾	কুয়াশা	সকালে ঘন কুয়াশা ছিল।
吸取	শিক্ষা নেওয়া; গ্রহণ করা	আমাদের এই ঘটনা থেকে শিক্ষা নিতে হবে।
吸收	শোষণ করা; গ্রহণ করা	গাছপালা পানি শোষণ করে।
戏剧	নাটক; নাট্যকলা	সে ঐতিহ্যবাহী নাটক দেখতে পছন্দ করে।
系	বিভাগ; সম্পর্ক	সে চীনা বিভাগে পড়ে।
系统	ব্যবস্থা; সিস্টেম	এই ব্যবস্থা স্থিতিশীলভাবে চলছে।
细节	খুঁটিনাটি; বিবরণ	দয়া করে এই খুঁটিনাটিগুলোর দিকে খেয়াল রাখুন।
瞎	অন্ধভাবে; অকারণে	অন্ধভাবে অনুমান করো না, আগে উপকরণ দেখো।
下载	ডাউনলোড করা	আমি এই সফটওয়্যারটি ডাউনলোড করেছি।
吓	ভয় দেখানো; চমকে দেওয়া	হঠাৎ শব্দে আমি চমকে উঠেছিলাম।
夏令营	গ্রীষ্মকালীন শিবির	শিশুটি চীনা গ্রীষ্মকালীন শিবিরে যোগ দিয়েছে।
鲜艳	উজ্জ্বল রঙের	এই স্কার্টের রং খুব উজ্জ্বল।
显得	মনে হওয়া; দেখানো	এই পোশাক তাকে খুব তরুণ দেখায়।
显然	স্পষ্টতই	স্পষ্টতই, সে ফলাফল ইতিমধ্যে জানে।
显示	দেখানো; প্রদর্শন করা	স্ক্রিনে সময় ভুল দেখাচ্ছে।
县	জেলা; কাউন্টি	এই জেলায় অনেক চা-বাগান আছে।
现代	আধুনিক	আধুনিক জীবন ইন্টারনেট ছাড়া চলে না।
现实	বাস্তবতা	আমাদের বাস্তবতার মুখোমুখি হতে হবে।
现象	ঘটনা; প্রপঞ্চ	এই ঘটনা খুব সাধারণ।
限制	সীমাবদ্ধ করা	এখানে গাড়ি প্রবেশ সীমাবদ্ধ।
相处	মিলেমিশে থাকা	তারা খুব ভালোভাবে মিলেমিশে থাকে।
相当	বেশ; তুলনামূলকভাবে	এই বইটি বেশ আকর্ষণীয়।
相对	তুলনামূলকভাবে	এখানকার দাম তুলনামূলকভাবে সস্তা।
相关	সম্পর্কিত	দয়া করে সম্পর্কিত উপকরণ দিন।
相似	সাদৃশ্যপূর্ণ; মিল আছে	এই দুই অক্ষরের অর্থ খুব মিল আছে।
香肠	সসেজ	সকালের নাশতায় ডিম ও সসেজ আছে।
享受	উপভোগ করা	তারা ছুটি উপভোগ করছে।
想念	মিস করা; মনে পড়া	আমি পরিবারকে খুব মিস করি।
想象	কল্পনা করা	আমি সেই ধরনের জীবন কল্পনা করতে পারি না।
象棋	চীনা দাবা	দাদু চীনা দাবা খেলতে পছন্দ করেন।
象征	প্রতীক; প্রতীক হওয়া	সাদা রং প্রায়ই পবিত্রতার প্রতীক।
项	বিষয়; আইটেম	এই কাজটি খুব গুরুত্বপূর্ণ।
项链	হার; নেকলেস	সে একটি রূপার হার পরেছে।
项目	প্রকল্প; বিষয়	এই প্রকল্পে তিন মাস লাগবে।
消费	ভোগ; খরচ করা	উৎসবের সময় খরচ বেড়েছে।
消化	হজম; হজম করা	খাওয়ার পর হাঁটা হজমে সাহায্য করে।
消极	নেতিবাচক; নিষ্ক্রিয়	সমস্যাকে নেতিবাচক মনোভাব দিয়ে দেখো না।
消失	অদৃশ্য হওয়া	সূর্য ধীরে ধীরে পাহাড়ের পেছনে অদৃশ্য হলো।
销售	বিক্রি; বিক্রি করা	এই কোম্পানি ইলেকট্রনিক পণ্য বিক্রি করে।
小麦	গম	উত্তরে অনেক গম চাষ করা হয়।
小气	কৃপণ	এত কৃপণ হয়ো না।
孝顺	মা-বাবার প্রতি কর্তব্যপরায়ণ	সে মা-বাবার প্রতি খুব কর্তব্যপরায়ণ।
效率	দক্ষতা; কার্যকারিতা	এভাবে করলে দক্ষতা বাড়ানো যায়।
歇	বিশ্রাম নেওয়া	চলো আগে একটু বিশ্রাম নিই।
斜	তির্যক; ঢালু	এই রাস্তা একটু ঢালু।
写作	লেখালেখি	লেখালেখির জন্য দীর্ঘদিনের অনুশীলন দরকার।
心理	মানসিক; মনস্তত্ত্ব	পরীক্ষার আগে মানসিক অবস্থা ঠিক করতে হবে।
心脏	হৃদয়; হৃৎপিণ্ড	হৃদয়ের স্বাস্থ্য খুব গুরুত্বপূর্ণ।
欣赏	উপভোগ করা; প্রশংসা করা	আমরা সুন্দর দৃশ্য উপভোগ করেছি।
信号	সংকেত	এখানে মোবাইলের সংকেত ভালো নয়।
信任	বিশ্বাস	বন্ধুদের মধ্যে বিশ্বাস দরকার।
形成	গড়ে ওঠা	ভালো অভ্যাস ধীরে ধীরে গড়ে ওঠে।
形容	বর্ণনা করা	আমি এই অনুভূতি কীভাবে বর্ণনা করব জানি না।
形势	পরিস্থিতি	বর্তমান পরিস্থিতি তুলনামূলকভাবে জটিল।
形式	রূপ; পদ্ধতি	সভা অনলাইন রূপে হতে পারে।
形象	ভাবমূর্তি; চিত্র	তার জনসমক্ষে ভাবমূর্তি ভালো।
形状	আকৃতি	এই বাক্সের আকৃতি খুব বিশেষ।
行动	কর্ম; পদক্ষেপ নেওয়া	আমাদের এখনই পদক্ষেপ নিতে হবে।
行人	পথচারী	রাস্তা পার হওয়ার সময় পথচারীদের দিকে খেয়াল রাখুন।
行为	আচরণ	এই ধরনের আচরণ ভদ্র নয়।
幸亏	সৌভাগ্য যে	সৌভাগ্য যে তুমি আমাকে মনে করিয়ে দিয়েছ।
幸运	ভাগ্যবান; সৌভাগ্য	সে ভাগ্যক্রমে একটি কাজ পেয়েছে।
性质	প্রকৃতি; চরিত্র	এই সমস্যার প্রকৃতি খুব গুরুতর।
兄弟	ভাই; ভ্রাতৃদ্বয়	ওই দুই ভাইয়ের সম্পর্ক খুব ভালো।
胸	বুক	তার বুকে একটু চাপ লাগছে।
休闲	অবসর; বিশ্রাম	সপ্তাহান্ত অবসরের জন্য ভালো সময়।
修改	সংশোধন করা	দয়া করে এই প্রবন্ধটি সংশোধন করুন।
虚心	বিনয়ী; খোলা মনে	আমাদের খোলা মনে মতামত শুনতে হবে।
叙述	বর্ণনা করা	সে ঘটনাটি পরিষ্কারভাবে বর্ণনা করেছে।
宣布	ঘোষণা করা	স্কুল নতুন নিয়ম ঘোষণা করেছে।
宣传	প্রচার করা	তারা পরিবেশরক্ষার জ্ঞান প্রচার করছে।
学历	শিক্ষাগত যোগ্যতা	এই চাকরির জন্য স্নাতক শিক্ষাগত যোগ্যতা দরকার।
学术	একাডেমিক; বিদ্যাচর্চা	এই সভায় একাডেমিক বিষয় আলোচনা করা হবে।
学问	জ্ঞান; বিদ্যা	তার অনেক জ্ঞান আছে।
血	রক্ত	তার হাত থেকে একটু রক্ত বেরিয়েছে।
寻找	খোঁজা; অনুসন্ধান করা	আমরা নতুন পদ্ধতি খুঁজছি।
询问	জিজ্ঞাসা করা	সে শিক্ষকের কাছে পরীক্ষার সময় জিজ্ঞাসা করেছে।
训练	প্রশিক্ষণ; প্রশিক্ষণ নেওয়া	ক্রীড়াবিদ প্রতিদিন নিয়মিত প্রশিক্ষণ নেয়।
迅速	দ্রুত	খবরটি দ্রুত ছড়িয়ে পড়েছে।
押金	জামানত	বাড়ি ভাড়া নিতে জামানত দিতে হয়।
牙齿	দাঁত	দয়া করে প্রতিদিন দাঁতের যত্ন নিন।
严肃	গম্ভীর	শিক্ষকের মুখভঙ্গি খুব গম্ভীর।
延长	বাড়ানো; দীর্ঘায়িত করা	সভাটি আধা ঘণ্টা বাড়ানো হয়েছে।
演讲	বক্তৃতা	সে আগামীকালের বক্তৃতার প্রস্তুতি নিচ্ছে।
宴会	ভোজ; আপ্যায়নসভা	তারা একটি ভোজে অংশ নিয়েছে।
阳台	বারান্দা	বারান্দায় কয়েকটি ফুলের টব রাখা আছে।
痒	চুলকানো	আমার হাতে একটু চুলকাচ্ছে।
样式	ধরন; নকশা	এই ধরনের নকশা খুব জনপ্রিয়।
腰	কোমর	অনেকক্ষণ বসে থাকলে কোমর ব্যথা করতে পারে।
摇	দোলানো; ঝাঁকানো	বাতাস ডালগুলো দুলিয়ে দিচ্ছে।
咬	কামড়ানো	এই কুকুর মানুষ কামড়ায় না।
要不	না হলে; তাহলে বরং	তাহলে বরং আমরা কাল আবার যাই।
业务	ব্যবসা; কাজের ক্ষেত্র	কোম্পানির ব্যবসা ক্রমেই বাড়ছে।
业余	অবসর সময়ের; অপেশাদার	সে অবসর সময়ে ফটোগ্রাফি শেখে।
夜	রাত	রাতে রাস্তাটি খুব শান্ত।
依然	এখনো; আগের মতো	সে এখনো বেইজিংয়ে থাকে।
一辈子	সারা জীবন	সে সারা জীবন সঙ্গীত ভালোবেসেছে।
一旦	একবার; যদি কখনো	একবার সিদ্ধান্ত নিলে তা ধরে রাখতে হবে।
一律	সবাই; একভাবে	সভা চলাকালে সবার ফোন বন্ধ রাখতে হবে।
一再	বারবার	সে আমাদের বারবার নিরাপত্তার কথা মনে করিয়ে দিয়েছে।
一致	একই; সর্বসম্মত	সবার মত সম্পূর্ণ একই।
疑问	প্রশ্ন; সন্দেহ	এই উত্তরের ব্যাপারে আমার প্রশ্ন আছে।
移动	সরানো; স্থানান্তর করা	দয়া করে টেবিলটি একটু সরান।
移民	অভিবাসন করা	তারা বিদেশে অভিবাসনের পরিকল্পনা করছে।
遗憾	আক্ষেপ; দুঃখিত হওয়া	তোমার সঙ্গে দেখা করতে না পেরে আমার আক্ষেপ হচ্ছে।
乙	দ্বিতীয়; বি পক্ষ	চুক্তিতে বি পক্ষ অর্থ প্রদানের দায়িত্বে।
以及	এবং; পাশাপাশি	আমি বই এবং লেখাপড়ার সামগ্রী কিনেছি।
以来	থেকে; এরপর থেকে	স্নাতক হওয়ার পর থেকে সে বেইজিংয়ে কাজ করছে।
义务	দায়িত্ব; কর্তব্য	পরিবেশ রক্ষা করা সবার দায়িত্ব।
亿	শত মিলিয়ন; কোটি দশেক	এই দেশের জনসংখ্যা একশ কোটিরও বেশি।
意外	অপ্রত্যাশিত; দুর্ঘটনা	এবার দেরি হওয়া পুরোপুরি অপ্রত্যাশিত ছিল।
意义	অর্থ; তাৎপর্য	এই কার্যক্রমটি খুব তাৎপর্যপূর্ণ।
议论	আলোচনা করা; মন্তব্য করা	সবাই এই ব্যাপারটি নিয়ে আলোচনা করছে।
因而	তাই; ফলে	সে মন দিয়ে পড়ে, তাই তার ফল ভালো।
因素	কারণ; উপাদান	আবহাওয়া একটি গুরুত্বপূর্ণ কারণ।
银	রূপা; রূপালি	সে একটি রূপার বালা পরেছে।
印刷	ছাপা; মুদ্রণ	এই বইটি খুব পরিষ্কারভাবে ছাপা হয়েছে।
英俊	সুদর্শন	সে দেখতে খুব সুদর্শন।
英雄	বীর; নায়ক	দমকলকর্মীরা সত্যিকারের বীর।
营养	পুষ্টি	সকালের নাশতায় যথেষ্ট পুষ্টি থাকা উচিত।
营业	ব্যবসা চালানো; খোলা থাকা	এই দোকানটি নয়টায় খোলে।
迎接	অভ্যর্থনা করা; স্বাগত জানানো	আমরা অতিথিদের স্বাগত জানাতে বিমানবন্দরে গিয়েছিলাম।
影子	ছায়া	রাস্তার বাতির নিচে তার ছায়া দেখা যাচ্ছে।
应付	মোকাবিলা করা; সামলানো	সে এই সমস্যাটি সামলাতে পারে।
应用	প্রয়োগ করা; ব্যবহার	এই পদ্ধতি শিক্ষাদানে প্রয়োগ করা যায়।
硬	শক্ত	এই চেয়ারটি খুব শক্ত।
硬件	হার্ডওয়্যার	এই কম্পিউটারের হার্ডওয়্যার ভালো।
拥抱	আলিঙ্গন করা	শিশুটি দৌড়ে গিয়ে মাকে আলিঙ্গন করল।
拥挤	ভিড়যুক্ত	সকালের ব্যস্ত সময়ে মেট্রো খুব ভিড়যুক্ত।
勇气	সাহস	তার ভুল স্বীকার করার সাহস আছে।
用功	মন দিয়ে পড়া; পরিশ্রমী	সে খুব মন দিয়ে পড়াশোনা করে।
用途	ব্যবহার; প্রয়োগ	এই উপাদানের ব্যবহার অনেক।
优惠	ছাড়; সুবিধাজনক	এই দোকানে আজ ছাড় আছে।
优美	সুন্দর; মনোরম	এখানকার পরিবেশ খুব মনোরম।
优势	সুবিধা; অগ্রগতি	তার সুবিধা হলো অভিজ্ঞতা বেশি।
悠久	দীর্ঘদিনের; সুপ্রাচীন	চীনের ইতিহাস সুপ্রাচীন।
油炸	তেলে ভাজা	আমি তেলে ভাজা খাবার খুব কম খাই।
游览	ঘুরে দেখা; দর্শন করা	আমরা কাল নিষিদ্ধ নগরী ঘুরে দেখব।
犹豫	দ্বিধা করা	সে কিছুক্ষণ দ্বিধা করে তারপর উত্তর দিল।
有利	অনুকূল; সুবিধাজনক	এই শর্ত আমাদের জন্য অনুকূল।
幼儿园	কিন্ডারগার্টেন; শিশুশিক্ষালয়	শিশুটি আগামী বছর কিন্ডারগার্টেনে যাবে।
娱乐	বিনোদন	সিনেমা দেখা এক ধরনের বিনোদন।
与其	বরং; এর চেয়ে	অভিযোগ করার চেয়ে বরং কাজে নামা ভালো।
语气	কথার সুর	তার কথার সুর খুব কোমল।
玉米	ভুট্টা	রাতের খাবারে ভুট্টার স্যুপ আছে।
预报	পূর্বাভাস	আবহাওয়ার পূর্বাভাস বলছে কাল বৃষ্টি হবে।
预订	আগে থেকে বুক করা	আমি ইতিমধ্যে হোটেল বুক করেছি।
预防	প্রতিরোধ করা	বারবার হাত ধুলে সর্দি প্রতিরোধ করা যায়।
元旦	নববর্ষের দিন	নববর্ষের দিনে আমাদের এক দিনের ছুটি।
原料	কাঁচামাল	রুটির প্রধান কাঁচামাল হলো ময়দা।
原则	নীতি	মানুষের নীতি থাকা উচিত।
员工	কর্মী	কোম্পানিতে তিনশ কর্মী আছে।
圆	গোল; বৃত্তাকার	চাঁদ বড় ও গোল।
愿望	ইচ্ছা; আকাঙ্ক্ষা	তার ইচ্ছা সারা পৃথিবী ঘোরা।
乐器	বাদ্যযন্ত্র	সে কয়েক ধরনের বাদ্যযন্ত্র বাজাতে পারে।
晕	মাথা ঘোরা	নৌকায় উঠলে আমার একটু মাথা ঘোরে।
运气	ভাগ্য	আজ আমার ভাগ্য ভালো।
运输	পরিবহন	এই পণ্যগুলো রেলপথে পরিবহন করতে হবে।
运用	ব্যবহার করা; কাজে লাগানো	দয়া করে এই শব্দগুলো নমনীয়ভাবে ব্যবহার করুন।
灾害	দুর্যোগ	বন্যা এক ধরনের প্রাকৃতিক দুর্যোগ।
再三	বারবার	শিক্ষক আমাদের বারবার পুনরাবৃত্তি করতে মনে করিয়ে দিয়েছেন।
在乎	গুরুত্ব দেওয়া; পরোয়া করা	সে বন্ধুদের মতামতকে খুব গুরুত্ব দেয়।
在于	নির্ভর করা; নিহিত থাকা	সাফল্য অধ্যবসায়ের ওপর নির্ভর করে।
赞成	সমর্থন করা	আমি তোমার প্রস্তাব সমর্থন করি।
赞美	প্রশংসা করা	সবাই তার সাহসের প্রশংসা করেছে।
糟糕	খারাপ; ভীষণ বাজে	আজকের আবহাওয়া সত্যিই খারাপ।
造成	ঘটানো; সৃষ্টি করা	ভারী বৃষ্টি যানজট সৃষ্টি করেছে।
则	তাহলে; তবে	পরিশ্রম করলে উন্নতি হবে।
责备	দোষ দেওয়া; সমালোচনা করা	শিক্ষক তাকে দোষ দেননি।
摘	তোলা; ছেঁড়া	সে বাগানে একটি ফুল তুলেছে।
窄	সংকীর্ণ	এই রাস্তা খুব সংকীর্ণ।
粘贴	আঠা দিয়ে লাগানো; পেস্ট করা	দয়া করে ছবিটি এখানে লাগান।
展开	শুরু হওয়া; প্রসারিত করা	আলোচনা দ্রুত শুরু হলো।
展览	প্রদর্শনী	জাদুঘরে একটি নতুন প্রদর্শনী আছে।
占	দখল করা; জায়গা নেওয়া	এই টেবিলটি অনেক জায়গা নেয়।
战争	যুদ্ধ	যুদ্ধ মানুষের জীবনে কষ্ট আনে।
掌握	আয়ত্ত করা	সে ইতিমধ্যে মৌলিক ব্যাকরণ আয়ত্ত করেছে।
涨	বাড়া	সম্প্রতি বাড়িভাড়া আবার বেড়েছে।
长辈	বয়োজ্যেষ্ঠ	নববর্ষে বয়োজ্যেষ্ঠদের শুভেচ্ছা জানাতে হয়।
账户	অ্যাকাউন্ট	দয়া করে আপনার ব্যাংক অ্যাকাউন্ট পরীক্ষা করুন।
招待	অভ্যর্থনা করা; আপ্যায়ন করা	আয়োজক অতিথিদের আন্তরিকভাবে আপ্যায়ন করেছেন।
着火	আগুন লাগা	রান্নাঘরে হঠাৎ আগুন লেগেছে।
着凉	ঠান্ডা লাগা	আবহাওয়া ঠান্ডা, ঠান্ডা লাগতে দিও না।
召开	সভা ডাকা; আয়োজন করা	স্কুল কাল সভা করবে।
照常	স্বাভাবিক মতো	দোকানটি কাল স্বাভাবিক মতো খোলা থাকবে।
哲学	দর্শন	বিশ্ববিদ্যালয়ে সে দর্শন পড়েছে।
珍惜	মূল্য দেওয়া; যত্নে রাখা	আমাদের সময়ের মূল্য দিতে হবে।
真实	সত্য; বাস্তব	এই গল্পটি সত্য।
针对	লক্ষ্য করে; উদ্দেশে	এই পরামর্শ নতুন শিক্ষার্থীদের উদ্দেশে।
诊断	রোগনির্ণয়; নির্ণয় করা	ডাক্তার দ্রুত রোগনির্ণয় করেছেন।
振动	কম্পন	মোবাইলটি টেবিলের ওপর কাঁপছে।
阵	এক দফা; কিছুক্ষণ	বাইরে এক দফা বৃষ্টি হলো।
争论	তর্ক করা; বিতর্ক করা	তারা এই বিষয়টি নিয়ে অনেকক্ষণ তর্ক করেছে।
争取	চেষ্টা করে অর্জন করা	আমাদের আরও সুযোগ অর্জনের চেষ্টা করতে হবে।
征求	মতামত চাওয়া	শিক্ষক সবার মতামত চেয়েছেন।
挣	ছাড়িয়ে নেওয়া; উপার্জন করা	পাখিটি দড়ি থেকে নিজেকে ছাড়িয়ে নিল।
睁	চোখ খোলা	দয়া করে চোখ একটু বড় করে খুলুন।
整个	পুরো; সমগ্র	পুরো শহর খুব শান্ত।
整齐	পরিপাটি; গোছানো	বইগুলো খুব পরিপাটি করে রাখা হয়েছে।
整体	সামগ্রিক; সমগ্র	আমাদের সামগ্রিক প্রভাব বিবেচনা করতে হবে।
政府	সরকার	সরকার নতুন বিজ্ঞপ্তি প্রকাশ করেছে।
政治	রাজনীতি	সে রাজনীতিতে খুব আগ্রহী।
正	সঠিক; সোজা	এই উত্তরটি সঠিক।
证件	পরিচয়পত্র; নথি	দয়া করে আপনার পরিচয়পত্র দেখান।
证据	প্রমাণ	পুলিশ নতুন প্রমাণ পেয়েছে।
支	গণনাবাচক; ঠেকানো	টেবিলে একটি কলম আছে।
支票	চেক	সে চেক দিয়ে টাকা দিয়েছে।
执照	লাইসেন্স; অনুমতিপত্র	গাড়ি চালাতে ড্রাইভিং লাইসেন্স দরকার।
直	সোজা; সরাসরি	এই রাস্তা ধরে সোজা এগিয়ে যান।
指导	নির্দেশনা দেওয়া; পরিচালনা করা	শিক্ষক আমাদের প্রবন্ধ লেখায় নির্দেশনা দিয়েছেন।
指挥	নির্দেশনা দেওয়া; পরিচালনা করা	সে এই অভিযানের পরিচালনার দায়িত্বে।
制定	প্রণয়ন করা; তৈরি করা	কোম্পানি নতুন পরিকল্পনা প্রণয়ন করেছে।
制度	ব্যবস্থা; নিয়মব্যবস্থা	স্কুলে কঠোর নিয়মব্যবস্থা আছে।
制造	উৎপাদন করা	এই কারখানা যন্ত্র উৎপাদন করে।
制作	তৈরি করা	সে জন্মদিনের কেক তৈরি করছে।
志愿者	স্বেচ্ছাসেবক	অনেক স্বেচ্ছাসেবক কার্যক্রমে অংশ নিয়েছে।
智慧	প্রজ্ঞা; বুদ্ধিমত্তা	এই বৃদ্ধ মানুষের অনেক প্রজ্ঞা আছে।
治疗	চিকিৎসা করা	ডাক্তার রোগীর চিকিৎসা করছেন।
秩序	শৃঙ্খলা	দয়া করে সবাই শৃঙ্খলা বজায় রাখুন।
至今	আজও; এখনো পর্যন্ত	এই সমস্যা আজও সমাধান হয়নি।
至于	যার কথা; সম্পর্কে	খরচের কথা হলে, আমরা কাল আবার আলোচনা করব।
中介	মধ্যস্থ প্রতিষ্ঠান; দালাল	সে একটি মধ্যস্থ প্রতিষ্ঠানের মাধ্যমে বাড়ি ভাড়া নিয়েছে।
中心	কেন্দ্র	হাসপাতালটি শহরের কেন্দ্রে।
中旬	মাসের মাঝামাঝি	সভাটি মে মাসের মাঝামাঝি নির্ধারিত।
种类	প্রকার; ধরন	এখানে ফলের অনেক প্রকার আছে।
重大	গুরুত্বপূর্ণ; বড়	এটি একটি গুরুত্বপূর্ণ সিদ্ধান্ত।
重量	ওজন	এই বাক্সের ওজন কত?
周到	যত্নশীল; মনোযোগী	তার সেবা খুব যত্নশীল।
猪	শূকর	খামারে অনেক শূকর পালন করা হয়।
竹子	বাঁশ	পান্ডা বাঁশ খেতে পছন্দ করে।
逐步	ধাপে ধাপে	পরিকল্পনাটি ধাপে ধাপে বাস্তবায়িত হবে।
逐渐	ধীরে ধীরে	আবহাওয়া ধীরে ধীরে ঠান্ডা হয়ে গেল।
主持	সঞ্চালনা করা; সভাপতিত্ব করা	সে আজকের সভা সঞ্চালনা করছে।
主动	নিজে থেকে; সক্রিয়	সে নিজে থেকে সহপাঠীকে সাহায্য করেছে।
主观	ব্যক্তিগত; বিষয়গত	এই মূল্যায়নটি একটু ব্যক্তিগত।
主人	আয়োজক; মালিক	আয়োজক আমাদের আন্তরিকভাবে স্বাগত জানিয়েছেন।
主任	পরিচালক; প্রধান	পরিচালক অফিসে আছেন।
主题	বিষয়; মূল থিম	আজকের আলোচনার বিষয় পরিবেশরক্ষা।
主席	সভাপতি	সভাপতি সভা শুরু ঘোষণা করেছেন।
主张	মত পোষণ করা; সমর্থন করা	সে আগে যানজটের সমস্যা সমাধানের পক্ষে।
煮	সেদ্ধ করা; রান্না করা	মা নুডলস রান্না করছেন।
注册	নিবন্ধন করা	নতুন ব্যবহারকারীদের আগে নিবন্ধন করতে হবে।
