simplified	FI	example_FI
魔鬼	paholainen	Tarinan paholainen on hyvin ovela
魔术	taikuus	Lapset pitävät taikuriesitysten katsomisesta
抹杀	pyyhkiä pois	Hänen panostaan ei voi pyyhkiä pois
墨水儿	muste	Kynän muste on melkein lopussa
莫名其妙	käsittämätön	Hänen reaktionsa tuntui ihmisistä käsittämättömältä
默默	hiljaa	Hän auttoi monia ihmisiä hiljaa
谋求	tavoitella	Yritys tavoittelee uusia kehitysmahdollisuuksia
模样	ulkonäkö	Hänen nykyinen ulkonäkönsä on muuttunut paljon
母语	äidinkieli	Lapset oppivat äidinkieltään pienestä pitäen
沐浴	kylpeä	Aamun kylä kylpi auringonvalossa
目睹	todistaa	Monet ihmiset todistivat tämän onnettomuuden
目光	katse	Kaikkien katseet keskittyivät lavalle
拿手	erikoisuus	Haudutettu kala on hänen erikoisruokansa
纳闷儿	ihmetellä	Ihmettelin koko ajan, miksi hän myöhästyi
耐用	kestävä	Nämä kengät ovat hyvin kestävät
南辕北辙	toimia tavoitteen vastaisesti	Hänen toimintatapansa on tavoitteen vastainen
难得	harvinainen	Tämä on harvinainen tilaisuus
难堪	nolostunut	Tämä kysymys nolostutti häntä
难能可贵	erityisen arvokas	Rehellisenä pysyminen paineen alla on erityisen arvokasta
恼火	ärsyyntynyt	Laite meni taas rikki, ja hän oli hyvin ärsyyntynyt
内涵	merkityssisältö	Tällä sanalla on rikas kulttuurinen merkityssisältö
内幕	sisäpiirin tieto	Toimittaja yritti tutkia tapauksen sisäpiirin tietoja
内在	sisäinen	Hän arvostaa enemmän ihmisen sisäisiä ominaisuuksia
能量	energia	Tämä aamiainen antaa minulle paljon energiaa
拟定	laatia	Sihteeri laatii parhaillaan kokouksen esityslistaa
逆行	ajaa väärään suuntaan	Tuo auto ajoi yksisuuntaisella kadulla väärään suuntaan
年度	vuosittainen	Yritys julkaisi vuosiraportin
捏	nipistää	Hän nipisti lasta kevyesti poskesta
凝固	jähmettyä	Jäähtymisen jälkeen vaha jähmettyy vähitellen
凝聚	yhdistää	Yhteinen tavoite voi yhdistää tiimin voimat
凝视	tuijottaa	Hän tuijotti kaukaisia valoja
拧	nipistää	Hän nipisti minua kerran kädellään
宁肯	mieluummin	Hän epäonnistuu mieluummin kuin luopuu periaatteistaan
宁愿	mieluummin	Kävelen mieluummin kuin odotan bussia
扭转	kääntää	Uusi politiikka käänsi tappiollisen tilanteen
纽扣儿	nappi	Tästä paidasta irtosi yksi nappi
农历	kuukalenteri	Kevätjuhlaa vietetään kuukalenterin mukaan
浓厚	vahva	Hänellä on vahva kiinnostus historiaan
奴隶	orja	Muinaisessa yhteiskunnassa oli orjuusjärjestelmä
挪	siirtää	Siirrä tuolia hieman sivuun
虐待	pahoinpidellä	Laki kieltää lasten pahoinpitelyn
哦	oi	Oi, nyt ymmärrän vihdoin
殴打	hakata	Poliisi pidätti ohikulkijan hakanneen henkilön
偶像	idoli	Hän pitää sitä kirjailijaa idolinaan
呕吐	oksentaa	Hän alkoi oksentaa syötyään pilaantunutta ruokaa
趴	maata vatsallaan	Pieni kissa makasi ikkunalaudalla nukkumassa
徘徊	viipyillä	Hän viipyili ovella pitkään
排斥	hylkiä	Uusi materiaali hylkii kosteutta
排除	sulkea pois	Lääkäri sulki ensin pois vakavan sairauden
排放	päästö	Tehtaiden täytyy vähentää pakokaasupäästöjä
排练	harjoitella	Näyttelijät harjoittelevat uutta ohjelmaa
派别	ryhmittymä	Tämän järjestön sisällä on eri ryhmittymiä
派遣	lähettää	Yritys lähetti insinöörejä paikan päälle
攀登	kiivetä	He aikovat kiivetä lumivuorelle huomenna
盘旋	kaartaa	Lentokone kaarteli lentokentän yllä
判决	tuomio	Oikeus julisti tuomion tänään
畔	ranta	Lapset kävelivät järven rannalla
庞大	valtava	Tämä hanke vaatii valtavia varoja
抛弃	hylätä	Hän ei halua hylätä unelmaansa
泡沫	vaahto	Kupissa on paljon valkoista vaahtoa
培育	kasvattaa	Koulu pyrkii kasvattamaan oppilaiden vastuuntuntoa
配备	varustaa	Uusi auto on varustettu turvajärjestelmällä
配偶	puoliso	Hakemuslomakkeeseen täytyy täyttää puolison tiedot
配套	tukipalvelut	Yhteisössä on täydelliset tukipalvelut
盆地	allas	Tämä allasalue on kesällä hyvin kuuma
烹饪	ruoanlaitto	Ruoanlaitto vaatii kärsivällisyyttä ja kokemusta
捧	pidellä molemmin käsin	Hän piteli kukkakimppua molemmin käsin
劈	halkaista	Työntekijä halkaisi polttopuita kirveellä
批发	tukkumyynti	Tämä kauppa harjoittaa pääasiassa hedelmien tukkumyyntiä
批判	arvostella	Artikkeli arvosteli tätä virheellistä näkemystä
疲惫	uupunut	Pitkän matkan jälkeen kaikki olivat uupuneita
疲倦	väsynyt	Jatkuva työ sai hänet tuntemaan itsensä väsyneeksi
皮革	nahka	Tämä laukku on tehty nahasta
屁股	takamus	Lapsen takamus oli kipeä kaatumisen jälkeen
譬如	esimerkiksi	Esimerkiksi voimme ensin tehdä pienen testin
偏差	poikkeama	Koetuloksissa on selvä poikkeama
偏见	ennakkoluulo	Meidän pitäisi välttää etnisiä ennakkoluuloja
偏僻	syrjäinen	Tämä kylä sijaitsee hyvin syrjässä
偏偏	sattumalta	Mitä kiireempi minulla oli, sitä hitaammin auto sattui kulkemaan
片断	katkelma	Elokuvassa on useita hienoja katkelmia
片刻	hetki	Odota minua tässä hetki
漂浮	kellua	Pudonneet lehdet kelluivat veden pinnalla
飘扬	liehua	Kansallislippu liehui tuulessa
撇	sivuuttaa	Hän sivuutti vanhan suunnitelman
拼搏	taistella	Nuorten pitää taistella ihanteidensa puolesta
拼命	kaikin voimin	Hän ajoi edellä olevaa joukkuetta takaa kaikin voimin
贫乏	köyhä	Tämän artikkelin sisältö on melko köyhä
贫困	köyhyys	Hallitus auttaa köyhiä perheitä
频繁	usea	Liikenneonnettomuuksia on sattunut täällä viime aikoina usein
频率	taajuus	Tämän äänen taajuus on hyvin korkea
品尝	maistaa	Vieraat maistavat paikallisia herkkuja
品德	moraalinen luonne	Koulu arvostaa oppilaiden moraalikasvatusta
品质	laatu	Tämän yrityksen tuotteiden laatu on vakaa
品种	lajike	Torilla on monia hedelmälajikkeita
屏幕	näyttö	Säädä näytön kirkkaus pienemmäksi
屏障	suoja	Metsä on tärkeä suoja tuulta vastaan
平凡	tavallinen	Hän on työskennellyt tavallisessa tehtävässä monta vuotta
平面	tasokuva	Suunnittelija piirsi talon pohjapiirroksen
平坦	tasainen	Tämä tie on hyvin tasainen
平行	rinnakkainen	Nämä kaksi viivaa ovat rinnakkaisia
平庸	keskinkertainen	Hän ei tyydy elämään keskinkertaista elämää
平原	tasanko	Juna kulki laajan tasangon halki
评估	arvioida	Asiantuntijat arvioivat hankkeen riskejä
评论	kommentoida	Lukijat voivat kommentoida artikkelin alla
坡	rinne	Auto ajoi hitaasti rinnettä ylös
泼	roiskia	Älä roiski vettä lattialle
颇	melko	Tämä tulos on melko yllättävä
破例	tehdä poikkeus	Johtaja teki hänen kohdallaan poikkeuksen ja hyväksyi hakemuksen
迫不及待	ei malttaa odottaa	Lapset eivät malttaneet odottaa lahjojen avaamista
迫害	vainota	Monet ihmiset ovat historiassa kärsineet vainosta
魄力	päättäväisyys	Johtajat tarvitsevat päättäväisyyttä päätöksentekoon
扑	rynnätä	Lapsi ryntäsi yhtäkkiä äitinsä syliin
铺	levittää	Työntekijät levittävät uutta mattoa
普及	yleistyä	Internet on jo yleistynyt kaupungeissa
朴实	koruton	Hänen kielensä on korutonta ja vilpitöntä
朴素	yksinkertainen	Hän pitää yksinkertaisesta elämäntavasta
瀑布	vesiputous	Matkailijat ottivat kuvia vesiputouksen vieressä
凄凉	autio	Talvinen vuoristokylä näytti hyvin autiolta
期望	odotus	Vanhemmilla on suuria odotuksia lapsiaan kohtaan
期限	määräaika	Ilmoittautumisen määräaika on tänä perjantaina
欺负	kiusata	Isompien lasten ei pitäisi kiusata pienempiä
欺骗	pettää	Valeellinen mainos petti kuluttajia
奇妙	ihmeellinen	Luonnossa on monia ihmeellisiä ilmiöitä
旗袍	qipao	Hän käytti iltajuhlassa punaista qipao-mekkoa
旗帜	lippu	Torilla liehui kirkkaanvärisiä lippuja
歧视	syrjintä	Laki kieltää kaikenlaisen syrjinnän
齐全	täydellinen	Tässä kaupassa on täydellinen valikoima työkaluja
齐心协力	tehdä yhteistyötä	Kaikki tekivät yhteistyötä ja saivat tehtävän valmiiksi
乞丐	kerjäläinen	Tien reunassa istui vanha kerjäläinen
企图	yrittää	Hän yritti salata todellisen tilanteen
启程	lähteä matkalle	Valtuuskunta lähtee matkalle varhain huomenaamuna
启蒙	alkeisopetus	Tämä kirja sopii lasten alkeislukemistoksi
启事	ilmoitus	Koulun portille oli kiinnitetty rekrytointi-ilmoitus
启示	opetus	Tämä epäonnistuminen antoi meille tärkeän opetuksen
岂有此理	järjetön	Tällainen maksu on todella järjetön
起草	luonnostella	Asianajaja luonnostelee sopimusta
起初	aluksi	Aluksi hän ei uskonut uutista
起伏	nousut ja laskut	Vuoristotie seuraa maaston nousuja ja laskuja
起哄	mellastaa	Oppilaiden ei pidä mellastaa luokassa
起码	vähintään	Sinun pitäisi vähintään ilmoittaa minulle etukäteen
起源	alkuperä	Tämän juhlan alkuperä on muinaisajassa
器材	välineet	Laboratorio tarvitsee uusia opetusvälineitä
器官	elin	Sydän on ihmiskehon tärkeä elin
气概	henki	Tämä runo ilmentää sankarillista henkeä
气功	qigong	Isoisä harjoittaa qigongia joka aamu
气魄	vaikuttava tyyli	Tässä sillassa on vaikuttava tyyli
气色	kasvojen väri	Levänneenä hänen kasvojensa väri näytti paljon paremmalta
气势	vauhti	Joukkueella oli heti alussa vahva vauhti
气味	haju	Keittiössä oli paahdetun leivän tuoksu
气象	sää	Ylängön sää muuttuu täällä nopeasti
气压	ilmanpaine	Ilmanpaineen lasku voi tuoda sateen
气质	luonne	Hänessä on rauhallinen luonne
迄今为止	tähän mennessä	Tähän mennessä koe on edennyt sujuvasti
掐	poimia	Hän poimi pienen kukan
恰当	sopiva	Vastauksesi on erittäin sopiva
恰到好处	juuri sopiva	Tämän ruoan makeus on juuri sopiva
恰巧	sattumalta	Sattumalta alkoi sataa, kun saavuin asemalle
洽谈	neuvotella	Osapuolet neuvottelevat yhteistyön yksityiskohdista
千方百计	kaikin mahdollisin keinoin	He etsivät ratkaisua kaikin mahdollisin keinoin
牵	pitää kädestä	Äiti piti lasta kädestä tien yli kulkiessa
牵扯	liittyä	Tämä asia liittyy moniin osastoihin
牵制	pidätellä	Vastustajan puolustus pidätteli hyökkäystä
签署	allekirjoittaa	Kaksi yritystä allekirjoitti sopimuksen
谦逊	nöyrä	Hän pysyi menestyksen jälkeenkin nöyränä
迁就	myötäillä	Vanhemmat eivät voi aina myötäillä lapsia
迁徙	muuttaa	Muuttolinnut muuttavat vuosittain vuodenaikojen mukaan
前景	näkymät	Tällä alalla on hyvät näkymät
前提	edellytys	Luottamus on yhteistyön edellytys
潜力	potentiaali	Tällä oppilaalla on suuri potentiaali
潜水	sukeltaa	He menivät merenrannalle oppimaan sukeltamista
潜移默化	huomaamaton vaikutus	Perheympäristö voi vaikuttaa lapseen huomaamattomasti
谴责	tuomita	Kansainvälinen yhteisö tuomitsi väkivaltaisen teon
抢劫	ryöstää	Poliisi sai kiinni pankin ryöstäneen epäillyn
强制	pakottaa	Uusi sääntö pakottaa kuljettajat käyttämään turvavyötä
强迫	pakottaa	Älä pakota lasta tekemään asioita, joista hän ei pidä
抢救	pelastaa	Lääkärit pelastavat loukkaantunutta työntekijää
桥梁	silta	Kieli on kulttuurivaihdon silta
窍门	niksi	Ääntämisen oppimiseen on joitakin niksejä
翘	nostaa	Hän nosti toisen jalan tuolille
切实	käytännöllinen	Tarvitsemme käytännöllisen ja toteuttamiskelpoisen suunnitelman
锲而不舍	sinnikäs	Hän tutki tätä ongelmaa sinnikkäästi
亲密	läheinen	He ovat aina säilyttäneet läheisen suhteen
亲热	lämmin	Vanhus tervehti vieraita lämpimästi
侵犯	loukata	Tällainen käytös loukkasi henkilökohtaista yksityisyyttä
侵略	hyökkäys	Kansa vastustaa kaikenlaista hyökkäystä
钦佩	ihailla	Ihailen suuresti hänen rohkeuttaan
勤俭	ahkera ja säästäväinen	Isoäiti hoiti kotia koko elämänsä ahkerasti ja säästäväisesti
勤劳	ahkera	Ahkerat ihmiset voivat aina luoda mahdollisuuksia
倾听	kuunnella tarkasti	Opettaja kuunteli tarkasti oppilaiden mielipiteitä
倾向	taipumus	Nuoret kuluttajat ovat taipuvaisia ostamaan verkosta
倾斜	kallistua	Rankan sateen jälkeen muuri alkoi kallistua
清澈	kirkas	Vuoriston purovesi on hyvin kirkasta
清晨	varhainen aamu	Varhaisen aamun ilma on erityisen raikas
清除	poistaa	Työntekijät poistivat lumen tieltä
清洁	puhdas	Sairaalan täytyy pitää ympäristö puhtaana
清理	siivota	Viikonloppuna siivosimme varaston
清晰	selkeä	Tämä valokuva on hyvin selkeä
清醒	virkeä	Kahvin juotuaan hän oli paljon virkeämpi
清真	halal	Lähistöllä on halal-ravintola
情报	tiedustelutieto	Toimittaja sai tärkeää tiedustelutietoa
情节	juoni	Romaanin juoni on hyvin jännittävä
情理	järki	Hänen pyyntönsä ei ole järkevä
情形	tilanne	Paikan päällä tilanne oli kuviteltua monimutkaisempi
晴朗	kirkas	Taivas on tänään erityisen kirkas
请柬	kutsukortti	He lähettivät hääkutsukortteja sukulaisille ja ystäville
请教	kysyä neuvoa	Haluaisin kysyä teiltä neuvoa erääseen kysymykseen
请示	pyytää ohjeita	Tästä asiasta täytyy ensin pyytää ohjeita johdolta
请帖	kutsukortti	Pöydällä oli syntymäpäiväkutsukortti
丘陵	kukkulat	Tällä alueella on paljon kukkuloita
区分	erottaa	Lapsi osaa jo erottaa vasemman ja oikean
区域	alue	Tällä alueella pysäköinti on kielletty
屈服	taipua	Hän ei taipunut paineen alla
曲折	monimutkainen	He kävivät läpi monimutkaiset neuvottelut
驱逐	karkottaa	Poliisi karkotti häiriötä aiheuttaneet henkilöt
渠道	kanava	Yritys myy tuotteita uuden kanavan kautta
取缔	kieltää	Hallitus kielsi laittoman markkinan
曲子	sävelmä	Tämän sävelmän melodia on kaunis
趣味	kiinnostavuus	Tämä peli on hyvin kiinnostava
圈套	ansakuoppa	Hän oli vähällä joutua huijarin ansaan
全局	kokonaisuus	Johtajan täytyy ajatella kokonaisuuden etua
全力以赴	tehdä kaikkensa	Teemme kaikkemme saadaksemme tehtävän valmiiksi
拳头	nyrkki	Hän puristi nyrkkinsä ja valmistautui kilpailuun
权衡	punnita	Meidän täytyy punnita kustannuksia ja vaikutusta
权威	auktoriteetti	Tämä professori on alan auktoriteetti
犬	koira	Tämä koirarotu sopii kodin vartiointiin
缺口	aukko	Seinässä on pieni aukko
缺席	poissaolo	Hän oli poissa kokouksesta sairauden takia
缺陷	puute	Tässä suunnittelussa on selvä puute
瘸	ontua	Hänen vasen jalkansa ontuu hieman
确保	varmistaa	Varmista, että ovi on lukittu
确立	vakiinnuttaa	Yritys vakiinnutti uudet kehitystavoitteet
确切	tarkka	En tiedä tarkkaa aikaa
确信	olla varma	Olen varma, että hän saapuu ajoissa
群众	kansanjoukot	Kansanjoukot tukevat uutta politiikkaa
染	värjätä	Hän värjäsi hiuksensa mustiksi
嚷	huutaa	Älä huuda kovaa käytävällä
让步	myönnytys	Molemmat osapuolet tekivät joitakin myönnytyksiä
饶恕	antaa anteeksi	Hän päätti lopulta antaa toiselle anteeksi
扰乱	häiritä	Melu häiritsi luokan järjestystä
惹祸	aiheuttaa vaikeuksia	Huolimattomat vitsit aiheuttavat helposti vaikeuksia
热泪盈眶	silmät täyttyivät kyynelistä	Hyvän uutisen kuultuaan hänen silmänsä täyttyivät kyynelistä
热门	suosittu	Tekoäly on suosittu aihe
人道	humanitaarinen	Pelastustoimet osoittivat humanitaarista henkeä
人格	persoonallinen arvo	Toisten loukkaaminen vahingoittaa heidän arvokkuuttaan
人工	keinotekoinen	Tämä joki on kaivettu keinotekoisesti
人家	muut ihmiset	Älä aina vertaile itseäsi muihin ihmisiin
人间	ihmisten maailma	Kevät täyttää ihmisten maailman elinvoimalla
人士	henkilö	Eri alojen henkilöt osallistuivat keskustelutilaisuuteen
人为	ihmisen aiheuttama	Tämä onnettomuus johtui ihmisen aiheuttamista syistä
人性	ihmisluonto	Tämä elokuva käsittelee ihmisluontoa
人质	panttivanki	Poliisi pelasti panttivangin onnistuneesti
仁慈	armollinen	Tämä lääkäri on hyvin armollinen potilaille
忍耐	kärsivällisyys	Pitkässä jonossa odottaminen vaatii hieman kärsivällisyyttä
忍受	kestää	En kestä tämän paikan melua
任命	nimittää	Hallitus nimitti hänet johtajaksi
任性	itsepäinen	Liian itsepäinen lapsi voi kärsiä kasvussaan
任意	mielivaltaisesti	Älä muuta tietoja mielivaltaisesti
任重道远	vastuu on raskas ja tie pitkä	Koulutusuudistuksessa vastuu on raskas ja tie pitkä
认定	todeta	Poliisi totesi tämän onnettomuudeksi
认可	hyväksyntä	Hänen suunnitelmansa sai kaikkien hyväksynnän
仍旧	yhä	Monien vuosien jälkeen hän asui yhä täällä
日新月异	kehittyä nopeasti	Teknologia kehittyy nopeasti päivä päivältä
日益	yhä	Ympäristöongelmat pahenevat yhä
容貌	ulkonäkö	Vuodet muuttivat hänen ulkonäkönsä
容纳	mahtua	Tähän saliin mahtuu viisisataa ihmistä
容器	astia	Kaada neste lasiastiaan
容忍	sietää	Yritys ei voi sietää petosta
溶解	liueta	Suola liukenee veteen
荣幸	kunnia	Minulle on kunnia osallistua kokoukseen
荣誉	kunnia	Tämä mitali edustaa korkeinta kunniaa
融化	sulaa	Auringonvalo sai lumen ja jään sulamaan vähitellen
融洽	sopuisa	Työtovereiden välit ovat hyvin sopuisat
揉	hieroa	Äiti hieroi olkapäitäni kevyesti
柔和	pehmeä	Valo on pehmeä eikä häikäise
儒家	konfutselaisuus	Konfutselainen ajattelu vaikutti Itä-Aasian kulttuuriin
弱点	heikkous	Huolimattomuus on hänen tärkein heikkoutensa
若干	useita	Kokouksessa esitettiin useita ehdotuksia
撒谎	valehdella	Lasten ei pitäisi valehdella
散文	proosa	Hän pitää modernin proosan lukemisesta
散布	levittää	Joku levitti huhuja verkossa
散发	erittää	Puutarhasta levisi raikas tuoksu
丧失	menettää	Hän ei menettänyt luottamustaan
骚扰	ahdistella	Älä ahdistele muita matkustajia
嫂子	käly	Kälyni laittama ruoka on herkullista
刹车	jarruttaa	Kuljettaja jarrutti äkkiä
啥	mitä	Mitä sanoit juuri äsken
筛选	seuloa	Järjestelmä seuloo ansioluettelot automaattisesti
山脉	vuorijono	Tämä vuorijono on hyvin pitkä
闪烁	vilkkua	Kaukaiset valot vilkkuivat jatkuvasti
擅长	olla hyvä	Hän on hyvä käsittelemään monimutkaisia ongelmia
擅自	luvattomasti	Työntekijät eivät saa poistua työpisteeltä luvattomasti
伤脑筋	hankala	Tämä ongelma on todella hankala
商标	tavaramerkki	Yritys rekisteröi uuden tavaramerkin
上级	esimies	Hän raportoi tilanteen esimiehilleen
上进	edistymishaluinen	Hän on aina ollut edistymishaluinen
上任	astua virkaan	Uusi johtaja astuu virkaan ensi viikolla
上瘾	riippuvaiseksi tulla	Monet tulevat riippuvaisiksi lyhytvideoista
上游	yläjuoksu	Saaste tulee joen yläjuoksulta
尚且	jopa	Jopa aikuiset tekevät virheitä
捎	viedä viesti	Voisitko viedä minulle viestin
梢	latva	Lintu pysähtyi puun latvaan
哨	vartiomies	Portilla on yksi vartiomies
奢侈	ylellinen	Tällainen kulutus on liian ylellistä
舌头	kieli	Hän poltti kielensä
摄氏度	celsiusaste	Tämän päivän lämpötila on kolmekymmentä celsiusastetta
涉及	koskea	Raportti koskee useita osastoja
社区	yhteisö	Yhteisö järjesti terveysluennon
设立	perustaa	Koulu perusti stipendin
设想	ajatus	Tästä ajatuksesta täytyy vielä keskustella
设置	asettaa	Aseta salasana uudelleen
呻吟	voihkia	Potilas voihki hiljaa
深奥	syvällinen	Tämän kirjan sisältö on hyvin syvällistä
深沉	syvä	Hänen äänensä oli matala ja syvä
深情厚谊	syvä ystävyys	Kahden maan kansat solmivat syvän ystävyyden
申报	ilmoittaa	Matkustajien täytyy ilmoittaa tavarat totuudenmukaisesti
绅士	herrasmies	Hän käyttäytyy kuin herrasmies
神经	hermo	Paine voi vaikuttaa hermostoon
神奇	taianomainen	Tämän paikan maisemat ovat hyvin taianomaiset
神气	eläväinen	Hän näytti tänään erityisen eläväiseltä
神圣	pyhä	Tämä on pyhä velvollisuus
神态	ilme	Hänen ilmeensä oli hyvin rauhallinen
神仙	kuolematon tietäjä	Tarinan mukaan vuorilla asuu kuolemattomia tietäjiä
审查	tarkastaa	Alusta tarkastaa julkaistun sisällön
审理	käsitellä oikeudessa	Oikeus käsittelee parhaillaan tätä tapausta
审美	estetiikka	Hänen esteettinen makunsa on hyvin omaperäinen
审判	oikeudenkäynti	Julkinen oikeudenkäynti herätti median huomion
慎重	varovainen	Tämä päätös täytyy tehdä varovaisesti
渗透	imeytyä	Sadevesi imeytyi hitaasti maahan
声明	lausunto	Yritys julkaisi virallisen lausunnon
声势	voimakas vaikutus	Tällä tiedotuskampanjalla on voimakas vaikutus
声誉	maine	Tuotteen laatu vaikuttaa brändin maineeseen
牲畜	karja	Paimenet ajoivat karjan takaisin laitumelle
生存	selviytyä	Villieläimet tarvitsevat tilaa selviytyäkseen
生机	elämänvoima	Kevätsade täytti maan elämänvoimalla
生理	fysiologia	Uni vaikuttaa ihmisen fysiologiseen tilaan
生疏	ruosteessa	Monen vuoden harjoittelemattomuuden jälkeen hänen pianonsoittonsa oli hieman ruosteessa
生态	ekologia	Metsien suojelu liittyy ekologiseen tasapainoon
生物	eliö	Meressä on monia erikoisia eliöitä
生效	tulla voimaan	Uusi sääntö tulee virallisesti voimaan huomenna
生肖	kiinalainen horoskooppieläin	Mikä on sinun kiinalainen horoskooppieläimesi
生锈	ruostua	Polkupyörän ketju on jo ruostunut
生育	hedelmällisyys	Sairaala tarjoaa hedelmällisyysneuvontaa
省会	provinssin pääkaupunki	Chengdu on ollut Sichuanin provinssin pääkaupunki muinaisista ajoista lähtien
盛产	tuottaa runsaasti	Täällä tuotetaan runsaasti korkealaatuista teetä
盛开	kukassa	Puiston kirsikankukat ovat täydessä kukassa
盛情	lämmin vieraanvaraisuus	Kiitämme isäntää lämpimästä vieraanvaraisuudesta
盛行	olla muodissa	Tämä tyyli oli aikanaan hyvin muodissa
胜负	voitto tai tappio	Ottelun viimeinen minuutti ratkaisi voiton tai tappion
失事	joutua onnettomuuteen	Lentokoneonnettomuuden syy on yhä tutkinnassa
失误	virhe	Pieni virhe johti hankkeen viivästymiseen
失踪	kadonnut	Poliisi etsii kadonnutta lasta
尸体	ruumis	Pelastusryhmä löysi uhrin ruumiin
师范	opettajankoulutus	Hän valmistui opettajankoulutusyliopistosta
施加	kohdistaa	Vanhempien ei pitäisi kohdistaa liikaa painetta
施展	käyttää taitojaan	Hän sai vihdoin tilaisuuden käyttää lahjakkuuttaan
十足	täysi	Hän on täysin varma tuloksesta
实惠	edullinen	Tämän kaupan hinnat ovat hyvin edullisia
实力	voima	Joukkueen kokonaisvoima on erittäin vahva
实施	toteuttaa	Hallitus alkoi toteuttaa uutta suunnitelmaa
实事求是	pysyä tosiasioissa	Tutkimuksessa täytyy pysyä tosiasioissa
实行	ottaa käyttöön	Yritys otti käyttöön joustavan työjärjestelmän
实质	olemus	Ongelman olemus ei ole muuttunut
拾	poimia	Hän kumartui poimimaan avaimen maasta
时常	usein	Isoisä kertoo usein nuoruutensa asioista
时而	toisinaan	Sää on toisinaan aurinkoinen ja toisinaan pilvinen
时光	aika	Hyvä aika tuntuu aina lyhyeltä
时机	ajankohta	Nyt ei ole hyvä ajankohta neuvotteluille
时事	ajankohtaiset asiat	Oppilaat keskustelevat kansainvälisistä ajankohtaisista asioista joka viikko
石油	öljy	Öljyn hinta nousi jälleen
识别	tunnistaa	Järjestelmä osaa tunnistaa eri kasvot
使命	tehtävä	Ympäristön suojeleminen on yhteinen tehtävä
世代	sukupolvet	Tämä käsityötaito on siirtynyt suvussa sukupolvelta toiselle
事故	onnettomuus	Tässä onnettomuudessa ei tullut henkilövahinkoja
事迹	teot	Hänen sankaritekonsa levisivät laajalti
事件	tapaus	Tämä tapaus herätti yhteiskunnallista huomiota
事态	tilanne	Hallitus valvoo tilanteen kehitystä
事务	asiat	Hän vastaa yrityksen päivittäisistä asioista
事项	kohta	Vahvista sopimuksen tärkeät kohdat
事业	ura	Hän pitää koulutusta elämänmittaisena uranaan
势必	väistämättä	Kustannusten nousu vaikuttaa väistämättä hintoihin
势力	vaikutusvalta	Paikallinen kaupallinen vaikutusvalta on vahva
是非	riidat	Hän ei halua sekaantua toimiston riitoihin
示范	näyttää mallia	Opettaja näytti ensin mallia
示威	mielenosoitus	Keskustassa järjestettiin rauhanomainen mielenosoitus
示意	viitata	Johtaja viittasi kaikkia olemaan hiljaa
视力	näkö	Pitkäaikainen ruudun katsominen voi vaikuttaa näköön
视频	video	Lähetä video minulle
视线	näkölinja	Paksu sumu peitti kuljettajan näkölinjan
视野	näkökenttä	Matkustaminen voi laajentaa näkökenttää
试图	yrittää	Hän yritti selittää päätöstään
试验	koe	Tutkijat tekivät monta koetta
适宜	sopiva	Täällä ilmasto sopii asumiseen
逝世	menehtyä	Tämä kirjailija menehtyi viime vuonna
释放	vapauttaa	Oikeus päätti vapauttaa vastaajan
收藏	kerätä	Hän keräsi paljon vanhoja postimerkkejä
收缩	kutistua	Kylmä ilma saa metallin kutistumaan
收益	tuotto	Sijoituksen tuotto oli odotettua suurempi
收音机	radio	Isoäiti kuuntelee radiota joka päivä
守护	suojella	Lääkärit suojelevat potilaiden henkeä
手法	tekniikka	Ohjaajan kuvaustekniikka on hyvin omaperäinen
手势	ele	Hän osoitti suostumuksensa eleellä
手艺	käsityötaito	Tällä mestarilla on hyvä käsityötaito
首饰	korut	Hänellä oli yksinkertaiset hopeakorut
首要	ensisijainen	Turvallisuus on ensisijainen tehtävä
受罪	kärsiä	Potilas kärsi paljon leikkauksen jälkeen
授予	myöntää	Koulu myönsi hänelle kunniatohtorin arvon
书法	kalligrafia	Hän on harjoitellut kalligrafiaa lapsesta asti
书记	sihteeri	Kylän puoluesihteeri johti kokousta
书籍	kirjat	Kirjastossa on suuri määrä kirjoja
书面	kirjallinen	Anna kirjallinen todistus
疏忽	huolimattomuus	Tämä virhe johtui työn huolimattomuudesta
疏远	etääntyä	Väärinkäsitys sai kaksi ihmistä vähitellen etääntymään
舒畅	rentoutunut	Kävelyn jälkeen mieleni oli rentoutunut ja iloinen
数额	summa	Korvaussummaa ei ole vielä määritetty
束	kimppu	Hän osti kimpun tuoreita kukkia
束缚	rajoittaa	Perinteiset käsitykset rajoittivat hänen valintojaan
树立	luoda	Yrityksen täytyy luoda hyvä imago
竖	pystyttää	Pystytä kyltti
耍	leikkiä	Älä leiki puhelimella työaikana
衰老	ikääntyminen	Liikunta voi hidastaa ikääntymistä
衰退	taantuma	Taloudellinen taantuma vaikutti työllisyyteen
率领	johtaa	Kapteeni johti joukkuetta eteenpäin
涮火锅	syödä hot potia	Talvella kaikki pitävät hot potin syömisestä
双胞胎	kaksoset	He ovat kaksoset
爽快	suorapuheinen	Hän vastasi hyvin suorapuheisesti
水利	vesitalous	Tällä alueella arvostetaan vesitalouden rakentamista
水龙头	vesihana	Keittiön vesihana vuotaa
水泥	sementti	Työntekijät kuljettivat sementtiä rakennustyömaalle
瞬间	hetki	Valot sammuivat kaikki yhdessä hetkessä
