simplified	KA	example_KA
形容	აღწერა	არ ვიცი, ეს გრძნობა როგორ აღვწერო.
形势	ვითარება	ამჟამინდელი ვითარება საკმაოდ რთულია.
形式	ფორმა	შეხვედრა შეიძლება ონლაინ ფორმით ჩატარდეს.
形象	იმიჯი; სახე	მისი საზოგადოებრივი იმიჯი კარგია.
形状	ფორმა; მოყვანილობა	ამ ყუთის ფორმა ძალიან განსაკუთრებულია.
行动	მოქმედება	დაუყოვნებლივ უნდა ვიმოქმედოთ.
行人	ქვეითი	გზის გადაკვეთისას ქვეითებს ყურადღება მიაქციეთ.
行为	ქცევა	ასეთი ქცევა უზრდელობაა.
幸亏	საბედნიეროდ	საბედნიეროდ, შენ გამახსენე.
幸运	იღბლიანი	მას გაუმართლა და სამსახური იპოვა.
性质	ხასიათი; თვისება	ამ პრობლემის ხასიათი ძალიან სერიოზულია.
兄弟	ძმები	ამ ორ ძმას კარგი ურთიერთობა აქვს.
胸	მკერდი	მას მკერდში ცოტა შებოჭილობა აქვს.
休闲	დასვენება	შაბათ-კვირა დასვენებისთვის კარგი დროა.
修改	შესწორება	გთხოვთ, ეს სტატია შეასწოროთ.
虚心	მოკრძალებული; გახსნილი	რჩევებს გახსნილი გონებით უნდა მოვუსმინოთ.
叙述	მოთხრობა; გადმოცემა	მან მომხდარი ნათლად გადმოსცა.
宣布	გამოცხადება	სკოლამ ახალი წესები გამოაცხადა.
宣传	პროპაგანდა; გავრცელება	ისინი გარემოს დაცვის ცოდნას ავრცელებენ.
学历	განათლების დონე	ამ სამუშაოსთვის ბაკალავრის განათლებაა საჭირო.
学术	აკადემიური	ამ შეხვედრაზე აკადემიურ საკითხებს განიხილავენ.
学问	ცოდნა	ის ძალიან მცოდნეა.
血	სისხლი	ხელიდან ცოტაოდენი სისხლი წამოუვიდა.
寻找	ძებნა	ახალ მეთოდს ვეძებთ.
询问	გამოკითხვა; კითხვა	მან მასწავლებელს გამოცდის დრო ჰკითხა.
训练	ვარჯიში	სპორტსმენი ყოველდღე ვარჯიშობს.
迅速	სწრაფი	ამბავი სწრაფად გავრცელდა.
押金	დეპოზიტი	ბინის ქირაობისთვის დეპოზიტის გადახდაა საჭირო.
牙齿	კბილები	გთხოვთ, ყოველდღე კარგად მოუფრთხილდეთ კბილებს.
严肃	სერიოზული	მასწავლებლის სახე ძალიან სერიოზული იყო.
延长	გახანგრძლივება	შეხვედრა ნახევარი საათით გახანგრძლივდა.
演讲	გამოსვლა; სიტყვა	ის ხვალინდელი გამოსვლისთვის ემზადება.
宴会	ბანკეტი	ისინი ერთ ბანკეტს დაესწრნენ.
阳台	აივანი	აივანზე რამდენიმე ქოთნის ყვავილი დგას.
痒	ქავილი	მკლავი ცოტა მექავება.
样式	სტილი; ნიმუში	ეს სტილი ძალიან პოპულარულია.
腰	წელი	დიდხანს ჯდომის შემდეგ წელი შეიძლება აგტკივდეს.
摇	რხევა	ქარი ტოტებს აქეთ-იქით არხევდა.
咬	კბენა	ეს ძაღლი ადამიანებს არ კბენს.
要不	თორემ; იქნებ	იქნებ ხვალ ისევ წავიდეთ.
业务	საქმიანობა; ბიზნესი	კომპანიის საქმიანობა სულ უფრო იზრდება.
业余	თავისუფალ დროს	ის თავისუფალ დროს ფოტოგრაფიას სწავლობს.
夜	ღამე	ღამით ქუჩა ძალიან მშვიდია.
依然	კვლავ	ის კვლავ პეკინში ცხოვრობს.
一辈子	მთელი ცხოვრება	მას მთელი ცხოვრება მუსიკა უყვარდა.
一旦	როგორც კი; თუ ერთხელ	როგორც კი გადაწყვიტავ, უნდა გააგრძელო.
一律	ყველა ერთნაირად	შეხვედრის დროს ყველა ტელეფონი გამორთული უნდა იყოს.
一再	არაერთხელ	მან არაერთხელ შეგვახსენა, უსაფრთხოებისთვის მიგვექცია ყურადღება.
一致	ერთსულოვანი; ერთნაირი	ყველას აზრი სრულიად ერთნაირია.
疑问	კითხვა; ეჭვი	ამ პასუხთან დაკავშირებით კითხვა მაქვს.
移动	გადაწევა; გადაადგილება	გთხოვთ, მაგიდა ოდნავ გადასწიოთ.
移民	ემიგრაცია	ისინი საზღვარგარეთ გადასახლებას გეგმავენ.
遗憾	სინანული	ვწუხვარ, რომ შენი ნახვა ვერ შევძელი.
乙	მეორე მხარე	ხელშეკრულებაში მეორე მხარე გადახდაზეა პასუხისმგებელი.
以及	აგრეთვე; და	წიგნები და საკანცელარიო ნივთები ვიყიდე.
以来	შემდეგ; მას შემდეგ	დამთავრების შემდეგ ის პეკინში მუშაობს.
义务	ვალდებულება	გარემოს დაცვა თითოეული ადამიანის ვალდებულებაა.
亿	ასი მილიონი	ამ ქვეყნის მოსახლეობა მილიარდზე მეტია.
意外	მოულოდნელი; შემთხვევა	ამჯერად დაგვიანება სრულიად მოულოდნელი იყო.
意义	მნიშვნელობა	ეს ღონისძიება ძალიან მნიშვნელოვანი იყო.
议论	განხილვა	ყველა ამ საქმეს განიხილავს.
因而	ამიტომ	ის გულმოდგინედ სწავლობს, ამიტომ ნიშნები კარგი აქვს.
因素	ფაქტორი	ამინდი მნიშვნელოვანი ფაქტორია.
银	ვერცხლი	მას ვერცხლის სამაჯური უკეთია.
印刷	ბეჭდვა	ეს წიგნი ძალიან მკაფიოდ არის დაბეჭდილი.
英俊	სიმპათიური	ის ძალიან სიმპათიურია.
英雄	გმირი	მეხანძრეები ნამდვილი გმირები არიან.
营养	კვება; საკვები ღირებულება	საუზმეში საკმარისი საკვები ღირებულება უნდა იყოს.
营业	მუშაობა; ვაჭრობა	ეს მაღაზია მუშაობას ცხრა საათზე იწყებს.
迎接	დახვედრა	სტუმრების დასახვედრად აეროპორტში წავედით.
影子	ჩრდილი	ქუჩის ლამპის ქვეშ მისი ჩრდილია.
应付	გამკლავება	ის ამ პრობლემას გაუმკლავდება.
应用	გამოყენება	ეს მეთოდი სწავლებაში შეიძლება გამოვიყენოთ.
硬	მაგარი	ეს სკამი ძალიან მაგარია.
硬件	აპარატურა	ამ კომპიუტერს კარგი აპარატურა აქვს.
拥抱	ჩახუტება	ბავშვი გაიქცა და დედას ჩაეხუტა.
拥挤	გადაჭედილი	დილის პიკის საათში მეტრო ძალიან გადაჭედილია.
勇气	სიმამაცე	მას აქვს სიმამაცე, შეცდომა აღიაროს.
用功	გულმოდგინედ სწავლა	ის ძალიან გულმოდგინედ სწავლობს.
用途	გამოყენება	ამ მასალას ბევრი გამოყენება აქვს.
优惠	ფასდაკლება; შეღავათი	ამ მაღაზიაში დღეს ფასდაკლებაა.
优美	ლამაზი; მოხდენილი	აქ გარემო ძალიან ლამაზია.
优势	უპირატესობა	მისი უპირატესობა დიდი გამოცდილებაა.
悠久	ხანგრძლივი; ძველი	ჩინეთს ხანგრძლივი ისტორია აქვს.
油炸	ზეთში შეწვა	ზეთში შემწვარ საჭმელს იშვიათად ვჭამ.
游览	დათვალიერება	ხვალ აკრძალულ ქალაქს დავათვალიერებთ.
犹豫	ყოყმანი	მან ცოტა იყოყმანა და მერე უპასუხა.
有利	სასარგებლო; ხელსაყრელი	ეს პირობა ჩვენთვის ხელსაყრელია.
幼儿园	საბავშვო ბაღი	ბავშვი მომავალ წელს საბავშვო ბაღში წავა.
娱乐	გართობა	ფილმის ყურება გართობის ერთ-ერთი სახეა.
与其	ვიდრე	წუწუნს სჯობს, იმოქმედო.
语气	ტონი; საუბრის მანერა	მისი საუბრის ტონი ძალიან რბილია.
玉米	სიმინდი	ვახშმად სიმინდის სუპია.
预报	პროგნოზი	ამინდის პროგნოზი ამბობს, რომ ხვალ იწვიმებს.
预订	წინასწარ დაჯავშნა	სასტუმრო უკვე წინასწარ დავჯავშნე.
预防	პრევენცია; თავიდან აცილება	ხელების ხშირი დაბანა გაციების თავიდან აცილებას ეხმარება.
元旦	ახალი წლის დღე	ახალი წლის დღეს ერთი დღე ვისვენებთ.
原料	ნედლეული	პურის მთავარი ნედლეული ფქვილია.
原则	პრინციპი	ადამიანს პრინციპები უნდა ჰქონდეს.
员工	თანამშრომელი	კომპანიას სამასი თანამშრომელი ჰყავს.
圆	მრგვალი	მთვარე დიდი და მრგვალია.
愿望	სურვილი	მისი სურვილია, მსოფლიოს გარშემო იმოგზაუროს.
乐器	მუსიკალური ინსტრუმენტი	მას რამდენიმე მუსიკალურ ინსტრუმენტზე დაკვრა შეუძლია.
晕	თავბრუსხვევა	გემზე ასვლისას ცოტა თავბრუ მეხვევა.
运气	იღბალი	დღეს კარგი იღბალი მაქვს.
运输	ტრანსპორტირება	ამ საქონელს რკინიგზით ტრანსპორტირება სჭირდება.
运用	გამოყენება	გთხოვთ, ეს სიტყვები მოქნილად გამოიყენოთ.
灾害	კატასტროფა	წყალდიდობა ბუნებრივი კატასტროფის ერთ-ერთი სახეა.
再三	არაერთხელ	მასწავლებელმა არაერთხელ შეგვახსენა გამეორება.
在乎	მნიშვნელობას ანიჭებდეს	ის მეგობრების აზრს ძალიან დიდ მნიშვნელობას ანიჭებს.
在于	მდგომარეობდეს	წარმატება დაჟინებაში მდგომარეობს.
赞成	მოწონება; მხარდაჭერა	შენს წინადადებას ვეთანხმები.
赞美	ქება	ყველამ მისი სიმამაცე შეაქო.
糟糕	ცუდი; საშინელი	დღეს ამინდი ნამდვილად ცუდია.
造成	გამოწვევა	ძლიერმა წვიმამ საცობი გამოიწვია.
则	მაშინ; თუ ასეა	თუ იშრომებ, წინსვლა იქნება.
责备	დადანაშაულება	მასწავლებელმა ის არ დაადანაშაულა.
摘	მოწყვეტა	მან ბაღში ერთი ყვავილი მოწყვიტა.
窄	ვიწრო	ეს გზა ძალიან ვიწროა.
粘贴	მიკვრა	გთხოვთ, ფოტო აქ მიაკრათ.
展开	გაშლა; დაწყება	განხილვა სწრაფად დაიწყო.
展览	გამოფენა	მუზეუმში ახალი გამოფენაა.
占	ადგილის დაკავება	ეს მაგიდა ადგილს იკავებს.
战争	ომი	ომი ხალხს ტანჯვას აყენებს.
掌握	დაუფლება	მან ძირითადი გრამატიკა უკვე აითვისა.
涨	გაძვირება; აწევა	ბოლო დროს ქირა ისევ გაიზარდა.
长辈	უფროსი თაობა	ახალ წელს უფროსებს მოკითხვა უნდა უთხრათ.
账户	ანგარიში	გთხოვთ, თქვენი საბანკო ანგარიში შეამოწმოთ.
招待	სტუმრის მიღება	მასპინძელმა სტუმრები თბილად მიიღო.
着火	ცეცხლის გაჩენა	სამზარეულოში უეცრად ცეცხლი გაჩნდა.
着凉	გაციება	ცივა, არ გაცივდე.
召开	შეხვედრის გამართვა	სკოლა ხვალ შეხვედრას გამართავს.
照常	ჩვეულებრივად	მაღაზია ხვალ ჩვეულებრივად იმუშავებს.
哲学	ფილოსოფია	უნივერსიტეტში ფილოსოფიას სწავლობდა.
珍惜	დაფასება	დრო უნდა დავაფასოთ.
真实	ნამდვილი	ეს ამბავი ნამდვილია.
针对	მიმართული	ეს წინადადება ახალ სტუდენტებს ეხება.
诊断	დიაგნოზი	ექიმმა სწრაფად დასვა დიაგნოზი.
振动	ვიბრაცია	ტელეფონი მაგიდაზე ვიბრირებს.
阵	ხანმოკლე მონაკვეთი	გარეთ ხანმოკლე წვიმა წამოვიდა.
争论	კამათი	ისინი ამ საკითხზე დიდხანს კამათობდნენ.
争取	მოპოვებისკენ სწრაფვა	მეტი შესაძლებლობის მოპოვებას უნდა ვეცადოთ.
征求	აზრის კითხვა	მასწავლებელმა ყველას აზრი ჰკითხა.
挣	თავის დაღწევა	ჩიტმა თოკს თავი დააღწია.
睁	თვალის გახელა	გთხოვთ, თვალები ცოტა უფრო ფართოდ გაახილოთ.
整个	მთელი	მთელი ქალაქი ძალიან მშვიდია.
整齐	წესრიგიანი	წიგნები ძალიან წესრიგიანად არის დალაგებული.
整体	საერთო; მთლიანობა	საერთო ეფექტი უნდა გავითვალისწინოთ.
政府	მთავრობა	მთავრობამ ახალი შეტყობინება გამოაქვეყნა.
政治	პოლიტიკა	მას პოლიტიკა ძალიან აინტერესებს.
正	სწორი	ეს პასუხი სწორია.
证件	საბუთი	გთხოვთ, თქვენი საბუთი აჩვენოთ.
证据	მტკიცებულება	პოლიციამ ახალი მტკიცებულება იპოვა.
支	სათვლელი სიტყვა კალმისთვის	მაგიდაზე ერთი კალამი დევს.
支票	ჩეკი	მან ჩეკით გადაიხადა.
执照	ლიცენზია; მოწმობა	მანქანის მართვას მართვის მოწმობა სჭირდება.
直	პირდაპირ; სწორი	ამ გზაზე პირდაპირ წინ იარეთ.
指导	ხელმძღვანელობა	მასწავლებელი ნაშრომის წერაში გვხელმძღვანელობდა.
指挥	მართვა; ხელმძღვანელობა	ის ამ მოქმედების ხელმძღვანელობაზეა პასუხისმგებელი.
制定	შემუშავება	კომპანიამ ახალი გეგმა შეიმუშავა.
制度	სისტემა	სკოლას მკაცრი სისტემა აქვს.
制造	წარმოება	ეს ქარხანა მანქანებს აწარმოებს.
制作	დამზადება	ის დაბადების დღის ტორტს ამზადებს.
志愿者	მოხალისე	ღონისძიებაში ბევრი მოხალისე მონაწილეობდა.
智慧	სიბრძნე	ამ მოხუც ადამიანს დიდი სიბრძნე აქვს.
治疗	მკურნალობა	ექიმი პაციენტს მკურნალობს.
秩序	წესრიგი	გთხოვთ, ყველამ წესრიგი დაიცვათ.
至今	დღემდე	ეს პრობლემა დღემდე არ მოგვარებულა.
至于	რაც შეეხება	რაც შეეხება ხარჯებს, ხვალ ვისაუბროთ.
中介	შუამავალი; სააგენტო	მან ბინა სააგენტოს მეშვეობით იქირავა.
中心	ცენტრი	საავადმყოფო ქალაქის ცენტრშია.
中旬	თვის შუა რიცხვები	შეხვედრა მაისის შუა რიცხვებშია დაგეგმილი.
种类	სახეობა	აქ ბევრი სახეობის ხილია.
重大	მნიშვნელოვანი	ეს მნიშვნელოვანი გადაწყვეტილებაა.
重量	წონა	ამ ყუთის წონა რამდენია?
周到	ყურადღებიანი	მისი მომსახურება ძალიან ყურადღებიანია.
猪	ღორი	ფერმაში ბევრი ღორია.
竹子	ბამბუკი	პანდებს ბამბუკის ჭამა უყვართ.
逐步	ეტაპობრივად	გეგმა ეტაპობრივად განხორციელდება.
逐渐	თანდათან	ამინდი თანდათან გაცივდა.
主持	წაყვანა; თავმჯდომარეობა	ის დღევანდელ შეხვედრას უძღვება.
主动	ინიციატივით	ის თანაკლასელს საკუთარი ინიციატივით დაეხმარა.
主观	სუბიექტური	ეს შეფასება ცოტა სუბიექტურია.
主人	მასპინძელი	მასპინძელი თბილად დაგვხვდა.
主任	დირექტორი; ხელმძღვანელი	ხელმძღვანელი ოფისშია.
主题	თემა	დღევანდელი განხილვის თემა გარემოს დაცვაა.
主席	თავმჯდომარე	თავმჯდომარემ შეხვედრა გახსნილად გამოაცხადა.
主张	მხარდაჭერა; მოსაზრება	ის ჯერ ტრანსპორტის პრობლემის მოგვარებას უჭერს მხარს.
煮	ხარშვა	დედა ლაფშას ხარშავს.
注册	რეგისტრაცია	ახალმა მომხმარებლებმა ჯერ რეგისტრაცია უნდა გაიარონ.
祝福	კეთილი სურვილი	მეგობრებმა კეთილი სურვილები გამოგზავნეს.
抓	ჩავლება	ბავშვმა დედას ხელი ჩასჭიდა.
抓紧	დროის კარგად გამოყენება	დრო კარგად უნდა გამოვიყენოთ.
专家	ექსპერტი	ექსპერტმა წინადადება წამოაყენა.
专心	ყურადღებით	გაკვეთილზე ყურადღებით უნდა მოუსმინო.
转变	ცვლილება	მის დამოკიდებულებაში ცვლილება მოხდა.
转告	გადაცემა; შეტყობინება	გთხოვთ, უთხრათ, რომ ხვალ შეხვედრაა.
装	ჩადება	გთხოვთ, წიგნები ჩანთაში ჩადოთ.
装饰	მორთვა	მათ ოთახი ყვავილებით მორთეს.
装修	რემონტი	ახალ სახლს რემონტი უტარდება.
撞	შეჯახება	ორი მანქანა გზაჯვარედინზე ერთმანეთს შეეჯახა.
状况	მდგომარეობა	ამჟამინდელი მდგომარეობა შედარებით სტაბილურია.
状态	მდგომარეობა; ფორმა	დღეს ის კარგ ფორმაშია.
追	დევნა	ბავშვი ლეკვს უკან მისდევს.
追求	მიზნისკენ სწრაფვა	ის ყოველთვის საკუთარ ოცნებას მისდევდა.
咨询	კონსულტაცია	შეგიძლიათ პროფესიონალ ექიმს მიმართოთ კონსულტაციისთვის.
姿势	პოზა	გთხოვთ, სწორი პოზა შეინარჩუნოთ.
资格	კვალიფიკაცია; უფლება	მას შეჯიბრში მონაწილეობის უფლება აქვს.
资金	ფინანსები	პროექტს მეტი ფინანსები სჭირდება.
资料	მასალები	გთხოვთ, მასალები გამომიგზავნოთ.
资源	რესურსი	წყალი მნიშვნელოვანი ბუნებრივი რესურსია.
紫	იისფერი	მას იისფერი უყვარს.
字母	ასო	ინგლისურში ოცდაექვსი ასოა.
字幕	სუბტიტრები	ამ ფილმს ჩინური სუბტიტრები აქვს.
自从	მას შემდეგ	დამთავრების შემდეგ ის იშვიათად ბრუნდება.
自动	ავტომატური	ეს კარი ავტომატურად იღება.
自豪	სიამაყე	ჩემი წინსვლით ვამაყობ.
自觉	საკუთარი ინიციატივით	მან დავალება საკუთარი ინიციატივით შეასრულა.
自私	ეგოისტური	ადამიანი ძალიან ეგოისტი არ უნდა იყოს.
自由	თავისუფლება	ყველა ადამიანი თავისუფლებას აფასებს.
自愿	ნებაყოფლობით	ისინი ღონისძიებაში ნებაყოფლობით მონაწილეობდნენ.
综合	ყოველმხრივ შეჯამება	სხვადასხვა ფაქტორი ყოვლისმომცველად უნდა გავითვალისწინოთ.
总裁	გენერალური დირექტორი	გენერალურმა დირექტორმა დღეს სიტყვა წარმოთქვა.
总共	სულ	ამ მოგზაურობა სულ სამი ათასი იუანი დაჯდა.
总理	პრემიერ-მინისტრი	პრემიერ-მინისტრი შეხვედრას დაესწრო.
总算	ბოლოს და ბოლოს	პრობლემა ბოლოს და ბოლოს მოგვარდა.
总统	პრეზიდენტი	პრეზიდენტმა სატელევიზიო სიტყვა წარმოთქვა.
总之	მოკლედ	მოკლედ, დროზე უნდა დავასრულოთ.
组	ჯგუფი	მასწავლებელმა სამ ჯგუფად დაგვყო.
组成	შედგენა	წყალი წყალბადისა და ჟანგბადისგან შედგება.
组合	კომბინაცია	ფერების ეს კომბინაცია ლამაზად გამოიყურება.
组织	ორგანიზება	სკოლამ მოგზაურობა მოაწყო.
阻止	შეჩერება	პოლიციამ სახიფათო ქცევა შეაჩერა.
最初	თავდაპირველად	თავდაპირველად კარგად ვერ გავიგე.
醉	მთვრალი	მან ბევრი დალია და ცოტა მთვრალია.
尊敬	პატივისცემა	ყველა სტუდენტი მასწავლებელს პატივს სცემს.
遵守	დაცვა; შესრულება	საგზაო წესები უნდა დავიცვათ.
作品	ნამუშევარი	ეს ნახატი მისი ნამუშევარია.
作为	როგორც	როგორც მასწავლებელი, ის ძალიან მომთმენია.
作文	თხზულება	მასწავლებელმა თხზულების დაწერა გვთხოვა.
