hsk_key	source_word	simplified	KA	example_KA	HY	example_HY
3129:挑选	挑选	挑选	შერჩევა; არჩევა	ის დაბადების დღის საჩუქარს არჩევს.	ընտրել	Նա ընտրում է ծննդյան նվեր։
3130:调	调	调	რეგულირება	გთხოვთ კონდიციონერის ტემპერატურა ცოტა აუწიოთ.	կարգավորել	Խնդրում եմ օդորակիչի ջերմաստիճանը մի քիչ բարձրացրեք։
3134:跳高	跳高	跳高	სიმაღლეზე ხტომა	ის სკოლის შეჯიბრში სიმაღლეზე ხტომაში მონაწილეობდა.	բարձրացատկ	Նա դպրոցի մրցույթում մասնակցեց բարձրացատկին։
3135:跳远	跳远	跳远	სიგრძეზე ხტომა	სიგრძეზე ხტომას სიჩქარე და ძალა სჭირდება.	հեռացատկ	Հեռացատկը պահանջում է արագություն և ուժ։
3136:贴	贴	贴	მიკვრა; დაკვრა	მან ფოტო კედელზე მიაკრა.	փակցնել; կպցնել	Նա լուսանկարը փակցրեց պատին։
3137:铁路	铁路	铁路	რკინიგზა	ეს რკინიგზა ჩრდილოეთისა და სამხრეთის ქალაქებს აკავშირებს.	երկաթուղի	Այս երկաթուղին միացնում է հյուսիսային և հարավային քաղաքները։
3138:停留	停留	停留	დარჩენა; შეჩერება	ტურისტები ტბის პირას ნახევარი საათით დარჩნენ.	մնալ; կանգ առնել	Զբոսաշրջիկները լճի մոտ մնացին կես ժամ։
3140:通行	通行	通行	გავლა; მოძრაობისთვის გახსნა	ეს ხიდი ხვალ მოძრაობისთვის კვლავ გაიხსნება.	անցնել; երթևեկության համար բաց լինել	Այս կամուրջը վաղը կրկին կբացվի երթևեկության համար։
3141:同	同	同	იგივე; ერთად	მე მეგობართან ერთად თეატრში წავედი.	նույն; հետ	Ես ընկերոջս հետ գնացի թատրոն։
3143:同一	同一	同一	იგივე; იდენტური	ისინი ერთსა და იმავე შენობაში ცხოვრობენ.	նույն; նույնական	Նրանք ապրում են նույն շենքում։
3147:投	投	投	სროლა; ინვესტირება; ხმის მიცემა	მან ბურთი კალათში ჩააგდო.	նետել; ներդնել; քվեարկել	Նա գնդակը նետեց զամբյուղի մեջ։
3149:头	头	头	სუფიქსი; თავი	ყუთის შიგნით კიდევ ერთი წიგნია.	վերջածանց; գլուխ	Տուփի ներսում դեռ մի գիրք կա։
3151:图画	图画	图画	ნახატი; სურათი	კედელზე ბავშვის ნახატი კიდია.	նկար; պատկեր	Պատին կախված է երեխայի նկարը։
3152:图书	图书	图书	წიგნები	ბიბლიოთეკამ ბევრი ახალი წიგნი იყიდა.	գրքեր	Գրադարանը շատ նոր գրքեր գնեց։
3157:团队	团队	团队	გუნდი	ეს გუნდი ძალიან კარგად თანამშრომლობს.	թիմ	Այս թիմը շատ լավ է համագործակցում։
3158:推动	推动	推动	წახალისება; წინ წაწევა	ახალმა ტექნოლოგიამ დარგის განვითარებას შეუწყო ხელი.	խթանել; առաջ մղել	Նոր տեխնոլոգիան խթանեց ոլորտի զարգացումը։
3161:推进	推进	推进	წინ წაწევა; განხორციელება	კომპანია ამ პროექტს წინ სწევს.	առաջ տանել; առաջ մղել	Ընկերությունը առաջ է տանում այս նախագիծը։
3163:退出	退出	退出	გასვლა; უარის თქმა	მან ამ შეჯიბრიდან გასვლა გადაწყვიტა.	դուրս գալ; հրաժարվել	Նա որոշեց դուրս գալ այս մրցույթից։
3164:退还	退还	退还	დაბრუნება; თანხის დაბრუნება	მოვაჭრე ყველა ხარჯის დაბრუნებაზე დათანხმდა.	վերադարձնել; գումարը վերադարձնել	Վաճառողը համաձայնեց վերադարձնել ամբողջ գումարը։
3166:拖鞋	拖鞋	拖鞋	ჩუსტები	სახლში შესვლის შემდეგ გთხოვთ ჩუსტები ჩაიცვათ.	հողաթափեր	Տուն մտնելուց հետո խնդրում ենք հագնել հողաթափեր։
3167:外部	外部	外部	გარეთა; გარე ნაწილი	მანქანის გარეთა ნაწილი რეგულარულად უნდა გაიწმინდოს.	արտաքին; դրսի մաս	Մեքենայի արտաքին մասը պետք է պարբերաբար մաքրել։
3169:外观	外观	外观	გარეგნობა; გარე იერი	ამ მანქანის გარეგნობა ძალიან ლამაზია.	արտաքին տեսք	Այս մեքենայի արտաքին տեսքը շատ գեղեցիկ է։
3170:外婆	外婆	外婆	დედის დედა; ბებია	დედის დედამ ჩემთვის ახალი წლის ღამის ვახშამი მოამზადა.	մոր մայր; տատիկ	Մորական տատիկս ինձ համար պատրաստեց Նոր տարվա նախօրեի ընթրիք։
3171:外形	外形	外形	ფორმა; გარე იერი	ამ ტელეფონის მოდელს თხელი და მსუბუქი ფორმა აქვს.	արտաքին ձև	Այս հեռախոսի մոդելի արտաքին ձևը բարակ ու թեթև է։
3172:弯	弯	弯	მოხრილი; მოსახვევი	ეს პატარა გზა ვიწრო და მიხვეულია.	կոր; ոլորան	Այս փոքր ճանապարհը նեղ է և ոլորուն։
3183:围	围	围	გარს შემორტყმა; გარშემო შეკრება	ბავშვები მასწავლებლის გარშემო შეიკრიბნენ.	շրջապատել; շուրջը հավաքվել	Երեխաները հավաքվեցին ուսուցչի շուրջ։
3186:违法	违法	违法	კანონის დარღვევა; უკანონო	სმის შემდეგ მანქანის მართვა უკანონოა.	օրենք խախտել; ապօրինի	Խմելուց հետո մեքենա վարելը ապօրինի է։
3202:问卷	问卷	问卷	კითხვარი	გთხოვთ ეს კითხვარი შეავსოთ.	հարցաթերթիկ	Խնդրում եմ լրացրեք այս հարցաթերթիկը։
3203:握	握	握	ხელში დაჭერა; მჭიდროდ ჩაჭერა	მას მეგობრის ხელი მჭიდროდ ეჭირა.	բռնել; սեղմել	Նա ամուր բռնել էր ընկերոջ ձեռքը։
3206:无关	无关	无关	კავშირი არ აქვს; არარელევანტური	ეს საქმე მასთან დაკავშირებული არ არის.	կապ չունեցող	Այս գործը նրա հետ կապ չունի։
3209:无限	无限	无限	უსაზღვრო; უსასრულო	ახალგაზრდებს უსაზღვრო შესაძლებლობები აქვთ.	անսահման; անվերջ	Երիտասարդները անսահման հնարավորություններ ունեն։
3210:无效	无效	无效	ძალადაკარგული; არაეფექტიანი	ეს ბილეთი უკვე ძალადაკარგულია.	անվավեր; անարդյունավետ	Այս տոմսը արդեն անվավեր է։
3213:舞台	舞台	舞台	სცენა	მსახიობები სცენაზე ავიდნენ.	բեմ	Դերասանները բարձրացան բեմ։
3214:五颜六色	五颜六色	五颜六色	ფერადი; მრავალფეროვანი	ბაღი ფერადი ყვავილებით არის სავსე.	գույնզգույն; բազմագույն	Այգին լի է գույնզգույն ծաղիկներով։
3216:物价	物价	物价	ფასები; ცხოვრების ხარჯი	ბოლო დროს ფასები სწრაფად იზრდება.	գներ; ապրուստի արժեք	Վերջերս գները արագ բարձրանում են։
3218:物品	物品	物品	ნივთი; საქონელი	გთხოვთ ძვირფასი ნივთები თან ატაროთ.	իր; ապրանք	Խնդրում ենք արժեքավոր իրերը ձեզ մոտ պահել։
3221:西餐	西餐	西餐	დასავლური საჭმელი	ეს რესტორანი ძირითადად დასავლურ საჭმელს სთავაზობს.	արևմտյան ուտեստներ	Այս ռեստորանը հիմնականում առաջարկում է արևմտյան ուտեստներ։
3222:吸管	吸管	吸管	საწრუპი	გთხოვთ ერთი საწრუპი მომეცით.	ձողիկ	Խնդրում եմ ինձ մի ձողիկ տվեք։
3224:西装	西装	西装	კოსტიუმი	შეხვედრაზე მას შავი კოსტიუმი ეცვა.	կոստյում	Նա ժողովին մասնակցեց սև կոստյումով։
3225:戏	戏	戏	პიესა; დრამა	ეს პიესა ძალიან საინტერესოა.	պիես; ներկայացում	Այս պիեսը շատ հետաքրքիր է։
3231:先后	先后	先后	თანმიმდევრობით; რიგით	სამი სტუმარი თანმიმდევრობით ავიდა სცენაზე სიტყვით გამოსასვლელად.	հերթով; հաջորդաբար	Երեք հյուրերը հերթով բարձրացան բեմ խոսելու։
3233:闲	闲	闲	თავისუფალი; უსაქმო	შაბათ-კვირას ის შედარებით თავისუფალია.	ազատ; պարապ	Հանգստյան օրերին նա համեմատաբար ազատ է։
3240:现代化	现代化	现代化	მოდერნიზაცია; გათანამედროვება	ეს ქალაქი მოდერნიზაციის მშენებლობას აჩქარებს.	արդիականացում; արդիականացնել	Այս քաղաքը արագացնում է արդիականացման աշխատանքները։
3241:线路	线路	线路	ხაზი; მარშრუტი	ეს ავტობუსის მარშრუტი სკოლასთან გადის.	գիծ; երթուղի	Այս ավտոբուսի երթուղին անցնում է դպրոցի մոտով։
3246:乡	乡	乡	სოფელი; დაბა	ის ბავშვობიდან სოფელში გაიზარდა.	գյուղ; ավան	Նա փոքրուց մեծացել է գյուղում։
3248:乡村	乡村	乡村	სოფელი; სოფლად	სოფლის ჰაერი ძალიან სუფთაა.	գյուղ; գյուղական վայր	Գյուղի օդը շատ թարմ է։
3254:响声	响声	响声	ხმა; ხმაური	კარის გარედან უცნაური ხმა მოვიდა.	ձայն; աղմուկ	Դռան դրսից տարօրինակ ձայն լսվեց։
3257:相册	相册	相册	ფოტოალბომი	მან მოგზაურობის ფოტოები ალბომში ჩადო.	լուսանկարների ալբոմ	Նա ճանապարհորդության լուսանկարները դրեց ալբոմի մեջ։
3260:向上	向上	向上	ზემოთ	ბავშვმა ბუშტი ზემოთ ასწია.	դեպի վեր	Երեխան փուչիկը բարձրացրեց դեպի վեր։
3263:消费者	消费者	消费者	მომხმარებელი	მომხმარებლებს პროდუქტის ინფორმაციის ცოდნის უფლება აქვთ.	սպառող	Սպառողներն իրավունք ունեն իմանալ ապրանքի տեղեկությունները։
3266:销量	销量	销量	გაყიდვების რაოდენობა	ახალი პროდუქტის გაყიდვებმა მოლოდინს გადააჭარბა.	վաճառքի ծավալ	Նոր ապրանքի վաճառքի ծավալը գերազանցեց սպասումները։
3270:小型	小型	小型	მცირე ზომის	ეს პატარა კაფეა.	փոքր չափի	Սա փոքր սրճարան է։
3271:小于	小于	小于	ნაკლებია	ორი ხუთზე ნაკლებია.	փոքր է	Երկուսը հինգից փոքր է։
3279:新人	新人	新人	ახალი თანამშრომელი; ახალდაქორწინებული	კომპანიამ ახალ თანამშრომლებს ტრენინგი მოუწყო.	նորեկ; նորապսակ	Ընկերությունը նորեկների համար վերապատրաստում կազմակերպեց։
3282:新型	新型	新型	ახალი ტიპის	ეს ახალი ტიპის ეკოლოგიური მასალაა.	նոր տեսակի	Սա նոր տեսակի բնապահպանական նյութ է։
3285:信用	信用	信用	კრედიტუნარიანობა; ნდობა	კარგი კრედიტუნარიანობა სესხისთვის მნიშვნელოვანია.	վարկային վստահություն; վստահություն	Լավ վարկային վստահությունը կարևոր է վարկի համար։
3286:行程	行程	行程	მარშრუტი; მოგზაურობის გეგმა	გიდმა ხვალინდელი მარშრუტი ყველას გაუგზავნა.	ուղեգիծ; ճանապարհորդության ծրագիր	Ուղեկցորդը բոլորին ուղարկեց վաղվա ուղեգիծը։
3293:行驶	行驶	行驶	მოძრაობა; მანქანით სვლა	ტრანსპორტი ავტობანზე მოძრაობს.	երթևեկել; վարել	Տրանսպորտային միջոցը երթևեկում է մայրուղով։
3297:行走	行走	行走	სიარული; ფეხით გადაადგილება	წვიმიან დღეს მიწაზე სიარულისას ფრთხილად უნდა იყო.	քայլել; ոտքով շարժվել	Անձրևոտ օրը գետնով քայլելիս պետք է զգույշ լինել։
3303:需	需	需	საჭიროება; მოთხოვნა	ეს საკითხი შემდგომ განხილვას საჭიროებს.	պետք լինել; պահանջել	Այս հարցը պահանջում է հետագա քննարկում։
3309:学分	学分	学分	აკადემიური კრედიტი	ამ კურსს სამი კრედიტი აქვს.	ուսումնական կրեդիտ	Այս դասընթացը ունի երեք կրեդիտ։
3310:学科	学科	学科	სასწავლო დარგი; დისციპლინა	მედიცინა მნიშვნელოვანი დისციპლინაა.	գիտակարգ; առարկա	Բժշկությունը կարևոր գիտակարգ է։
3312:学年	学年	学年	სასწავლო წელი	ახალი სასწავლო წელი სექტემბერში იწყება.	ուսումնական տարի	Նոր ուսումնական տարին սկսվում է սեպտեմբերին։
3314:学者	学者	学者	მეცნიერი; მკვლევარი	ეს მეცნიერი ჩინეთის ისტორიას იკვლევს.	գիտնական; հետազոտող	Այս գիտնականը ուսումնասիրում է Չինաստանի պատմությունը։
3315:雪糕	雪糕	雪糕	ნაყინის ბარი	ზაფხულში ბავშვებს ნაყინის ჭამა უყვართ.	պաղպաղակի ձողիկ	Ամռանը երեխաները սիրում են պաղպաղակի ձողիկ ուտել։
3323:鸭子	鸭子	鸭子	იხვი	ტბაში რამდენიმე იხვი ცურავს.	բադ	Լճում մի քանի բադ է լողում։
3325:沿	沿	沿	გასწვრივ	ჩვენ მდინარის ნაპირის გასწვრივ ნელა მივდიოდით.	երկայնքով	Մենք դանդաղ քայլում էինք գետի ափի երկայնքով։
3327:研发	研发	研发	კვლევა და განვითარება	კომპანია ახალი ტიპის რობოტს ავითარებს.	հետազոտել և մշակել	Ընկերությունը մշակում է նոր տեսակի ռոբոտ։
3329:研制	研制	研制	შემუშავება; კვლევით შექმნა	სამეცნიერო გუნდმა ახალი წამალი შეიმუშავა.	մշակել; հետազոտությամբ ստեղծել	Հետազոտական թիմը մշակեց նոր դեղամիջոց։
3330:眼	眼	眼	თვალი	ქარი ძალიან ძლიერი იყო და მან თვალები მოჭუტა.	աչք	Քամին շատ ուժեղ էր, ուստի նա աչքերը կկոցեց։
3332:眼泪	眼泪	眼泪	ცრემლები	ის ისე აიღელვა, რომ ცრემლები წამოუვიდა.	արցունքներ	Նա այնքան հուզվեց, որ արցունքներ թափեց։
3339:要不是	要不是	要不是	რომ არა	შენ რომ არ შეგეხსენებინა, შეხვედრა კინაღამ დამავიწყდებოდა.	եթե չլիներ	Եթե դու չհիշեցնեիր, ես քիչ էր մնում մոռանայի ժողովը։
3340:药品	药品	药品	წამალი; ფარმაცევტული პროდუქტი	წამლები ინსტრუქციის მიხედვით უნდა გამოიყენო.	դեղամիջոց; դեղագործական ապրանք	Դեղերը պետք է օգտագործել ըստ ցուցումների։
3341:药物	药物	药物	წამალი; სამკურნალო პრეპარატი	ეს წამალი უზმოზე არ უნდა მიიღოთ.	դեղամիջոց	Այս դեղը չի կարելի խմել դատարկ ստամոքսով։
3342:夜间	夜间	夜间	ღამის დროს	ღამით მანქანის მართვისას განსაკუთრებით ფრთხილად უნდა იყო.	գիշերային ժամերին	Գիշերը մեքենա վարելիս պետք է հատկապես զգույշ լինել։
3343:夜市	夜市	夜市	ღამის ბაზარი	ეს ქუჩა საღამოს ღამის ბაზრად იქცევა.	գիշերային շուկա	Այս փողոցը երեկոյան դառնում է գիշերային շուկա։
3348:医疗	医疗	医疗	სამედიცინო მომსახურება; ჯანდაცვა	საზოგადოებრივი ჯანდაცვის მომსახურება სულ უფრო მოსახერხებელი ხდება.	բժշկական օգնություն; առողջապահություն	Համայնքային բժշկական ծառայությունները գնալով ավելի հարմար են դառնում։
3350:医学	医学	医学	მედიცინა; სამედიცინო მეცნიერება	უნივერსიტეტში ის მედიცინას სწავლობდა.	բժշկություն; բժշկական գիտություն	Նա համալսարանում բժշկություն էր սովորում։
3351:移	移	移	გადაადგილება; გადატანა	გთხოვთ მაგიდა ცოტა მარცხნივ გადადგათ.	տեղափոխել; շարժել	Խնդրում եմ սեղանը մի քիչ ձախ տեղափոխեք։
3352:一次性	一次性	一次性	ერთჯერადი	რესტორანი აღარ იძლევა ერთჯერად ჩხირებს.	մեկանգամյա օգտագործման	Ռեստորանը այլևս մեկանգամյա փայտիկներ չի տրամադրում։
3353:一代	一代	一代	თაობა	ახალგაზრდების ეს თაობა გარემოს დაცვას უფრო დიდ მნიშვნელობას ანიჭებს.	սերունդ	Երիտասարդների այս սերունդը ավելի է կարևորում բնապահպանությունը։
3357:一路	一路	一路	მთელი გზა	მან სადგურამდე მთელი გზა ირბინა.	ամբողջ ճանապարհը	Նա ամբողջ ճանապարհը վազեց մինչև կայարան։
3358:一路顺风	一路顺风	一路顺风	კარგი მგზავრობა	მეგობრის გამგზავრებამდე მას კარგი მგზავრობა ვუსურვე.	բարի ճանապարհ	Ընկերոջս մեկնելուց առաջ նրան բարի ճանապարհ մաղթեցի։
3372:音量	音量	音量	ხმის სიმაღლე; ხმა	გთხოვთ ტელევიზორის ხმა ცოტა დაუწიოთ.	ձայնի բարձրություն	Խնդրում եմ հեռուստացույցի ձայնը մի քիչ իջեցրեք։
3374:引进	引进	引进	შემოტანა; დანერგვა	სკოლამ ახალი სასწავლო აღჭურვილობა დანერგა.	ներմուծել; ներդնել	Դպրոցը ներդրեց նոր ուսումնական սարքավորումներ։
3377:应当	应当	应当	უნდა	მოსწავლეებმა დავალება დროულად უნდა შეასრულონ.	պետք է	Աշակերտները պետք է ժամանակին կատարեն տնային աշխատանքը։
3378:迎	迎	迎	დახვედრა; მიღება	ყველა შესასვლელთან იდგა სტუმრების დასახვედრად.	դիմավորել; ընդունել	Բոլորը կանգնած էին մուտքի մոտ հյուրերին դիմավորելու։
3382:影片	影片	影片	ფილმი	ამ ფილმმა კარგი შეფასებები მიიღო.	ֆիլմ	Այս ֆիլմը լավ գնահատականներ ստացավ։
3383:影视	影视	影视	კინო და ტელევიზია	ის კინოსა და ტელევიზიის სფეროში მუშაობს.	կինո և հեռուստատեսություն	Նա աշխատում է կինոյի և հեռուստատեսության ոլորտում։
3385:应对	应对	应对	გამკლავება; რეაგირება	კომპანია ბაზრის ახალ ცვლილებებს პასუხობს.	արձագանքել; հաղթահարել	Ընկերությունը արձագանքում է շուկայի նոր փոփոխություններին։
3391:用法	用法	用法	გამოყენება; ხმარების წესი	მასწავლებელმა ამ სიტყვის გამოყენება ახსნა.	օգտագործում; կիրառման ձև	Ուսուցիչը բացատրեց այս բառի օգտագործումը։
3393:用力	用力	用力	ძალის გამოყენება	კარი მძიმეა და ძალით უნდა მიაწვე.	ուժ գործադրել	Դուռը ծանր է, պետք է ուժով հրել։
3394:用品	用品	用品	საჭირო ნივთები; გამოყენების საგნები	მოგზაურობის ნივთები უკვე ჩემოდანში ჩავდე.	պիտույքներ; օգտագործման իրեր	Ճանապարհորդական պիտույքները արդեն դրել եմ ճամպրուկի մեջ։
3398:优良	优良	优良	შესანიშნავი; კარგი	ამ ჯიშს შესანიშნავი თვისებები აქვს.	գերազանց; որակյալ	Այս տեսակն ունի գերազանց հատկություններ։
3401:优质	优质	优质	მაღალი ხარისხის	ეს მაღაზია მაღალი ხარისხის მომსახურებას სთავაზობს.	բարձրորակ	Այս խանութը բարձրորակ ծառայություն է մատուցում։
3402:由此	由此	由此	აქედან; ამის შედეგად	აქედან ჩანს, რომ გეგმის კორექტირება საჭიროა.	սրանից; հետևաբար	Սրանից կարելի է տեսնել, որ ծրագիրը պետք է կարգավորել։
3403:邮寄	邮寄	邮寄	ფოსტით გაგზავნა	დოკუმენტები კლიენტს ფოსტით გავუგზავნე.	փոստով ուղարկել	Ես փաստաթղթերը փոստով ուղարկեցի հաճախորդին։
3406:邮票	邮票	邮票	მარკა	კონვერტზე ერთი მარკაა დაკრული.	նամականիշ	Ծրարի վրա մի նամականիշ է փակցված։
3407:油条	油条	油条	შემწვარი ცომის ჩხირი	საუზმის მაღაზიის იოუთიაო ძალიან პოპულარულია.	տապակած խմորի ձողիկ	Նախաճաշի խանութի տապակած խմորի ձողիկները շատ սիրված են։
3409:有害	有害	有害	მავნე	ეს გაზი ადამიანის სხეულისთვის მავნეა.	վնասակար	Այս գազը վնասակար է մարդու մարմնի համար։
3410:有力	有力	有力	ძლიერი; ქმედითი	ეს ძლიერი მხარდაჭერის ღონისძიებაა.	ուժեղ; ազդեցիկ	Սա ուժեղ աջակցության միջոց է։
3412:有限	有限	有限	შეზღუდული	ჩვენი დრო შეზღუდულია.	սահմանափակ	Մեր ժամանակը սահմանափակ է։
3413:有益	有益	有益	სასარგებლო	კითხვა ენის შესწავლისთვის სასარგებლოა.	օգտակար	Ընթերցանությունը օգտակար է լեզու սովորելու համար։
3414:有助于	有助于	有助于	ეხმარება; ხელს უწყობს	საკმარისი ძილი ფიზიკური ძალის აღდგენას ეხმარება.	օգնել; նպաստել	Բավարար քունը օգնում է վերականգնել ֆիզիկական ուժը։
3418:雨水	雨水	雨水	წვიმის წყალი	წვიმის წყალი სახურავის გასწვრივ ჩამოედინა.	անձրևաջուր	Անձրևաջուրը հոսում էր տանիքի երկայնքով։
3419:语文	语文	语文	ჩინური ენა; ენის საგანი	მისი ჩინური ენის ნიშნები ყოველთვის კარგი იყო.	չինարեն; լեզվի առարկա	Նրա չինարենի գնահատականները միշտ լավ են եղել։
3420:语音	语音	语音	მეტყველების ხმა; ხმა	ამ პროგრამას მეტყველების ამოცნობა შეუძლია.	խոսքի ձայն; ձայն	Այս ծրագիրը կարող է ճանաչել խոսքը։
3422:预测	预测	预测	წინასწარმეტყველება; პროგნოზირება	ექსპერტები პროგნოზირებენ, რომ მომავალ წელს ფასები გაიზრდება.	կանխատեսել	Փորձագետները կանխատեսում են, որ հաջորդ տարի գները կբարձրանան։
3425:预计	预计	预计	ვარაუდი; მოსალოდნელია	პროექტის დასრულება წლის ბოლომდეა ნავარაუდევი.	նախատեսել; ակնկալել	Նախագիծը նախատեսվում է ավարտել տարեվերջին։
3427:预约	预约	预约	წინასწარ ჩაწერა; დაჯავშნა	ამბულატორიაში მისვლამდე ჯობს წინასწარ ჩაეწერო.	նախապես գրանցվել; ժամ ամրագրել	Ամբուլատորիա գնալուց առաջ լավ է նախապես գրանցվել։
3428:原	原	原	თავდაპირველი; ყოფილი	გთხოვთ თავდაპირველი გეგმის მიხედვით იმოქმედოთ.	սկզբնական; նախկին	Խնդրում եմ գործեք ըստ սկզբնական ծրագրի։
3430:原有	原有	原有	თავდაპირველი; არსებული	ახალმა სისტემამ თავდაპირველი ფუნქციები შეინარჩუნა.	սկզբնական; գոյություն ունեցող	Նոր համակարգը պահպանեց սկզբնական գործառույթները։
3434:愿	愿	愿	მზად ყოფნა; სურვილი	მზად ვარ გამოცდილება ყველას გავუზიარო.	ցանկանալ; պատրաստ լինել	Ես պատրաստ եմ բոլորի հետ կիսվել փորձով։
3436:约定	约定	约定	შეთანხმება; შეთანხმება შეხვედრაზე	შევთანხმდით, რომ ხვალ დილით შევხვდებით.	պայմանավորվածություն; պայմանավորվել	Մենք պայմանավորվեցինք հանդիպել վաղը առավոտյան։
3437:运	运	运	ტრანსპორტირება; გადატანა	მძღოლმა საქონელი საწყობში მიიტანა.	տեղափոխել; փոխադրել	Վարորդը ապրանքները տեղափոխեց պահեստ։
3438:运费	运费	运费	ტრანსპორტირების საფასური	ამ საქონლის მიწოდების საფასური ათი იუანია.	առաքման վճար	Այս ապրանքի առաքման վճարը տասը յուան է։
3442:在场	在场	在场	ადგილზე ყოფნა	ავარიის დროს ისიც ადგილზე იყო.	ներկա լինել	Պատահարի ժամանակ նա նույնպես ներկա էր։
3444:在内	在内	在内	ჩათვლით	საფასური საცხოვრებელსაც მოიცავს.	ներառյալ	Վճարը ներառում է նաև կացությունը։
3445:在线	在线	在线	ონლაინ	მოსწავლეებს დავალების ონლაინ ჩაბარება შეუძლიათ.	առցանց	Ուսանողները կարող են տնային աշխատանքը առցանց հանձնել։
3448:糟	糟	糟	ცუდი; საშინელი	დღეს ტრანსპორტის მდგომარეობა ძალიან ცუდია.	վատ; սարսափելի	Այսօր երթևեկության վիճակը շատ վատ է։
3450:早期	早期	早期	ადრეული ეტაპი	პროექტის ადრეულ ეტაპზე ბევრი სირთულე შეგვხვდა.	վաղ փուլ; սկզբնական շրջան	Նախագծի վաղ փուլում շատ դժվարություններ եղան։
3451:早晚	早晚	早晚	ადრე თუ გვიან; დილა-საღამო	თუ გააგრძელებ, ადრე თუ გვიან შედეგს დაინახავ.	վաղ թե ուշ; առավոտ և երեկո	Եթե շարունակես, վաղ թե ուշ արդյունքը կտեսնես։
3452:早已	早已	早已	დიდი ხანია უკვე	ეს ამბავი ყველამ დიდი ხანია იცის.	վաղուց արդեն	Այս լուրը բոլորը վաղուց արդեն գիտեն։
3453:造	造	造	შექმნა; აშენება	მუშები ახალ ხიდს აშენებენ.	կառուցել; ստեղծել	Բանվորները նոր կամուրջ են կառուցում։
3455:增	增	增	გაზრდა	წელს კომპანიის შემოსავალი საკმაოდ გაიზარდა.	ավելանալ; մեծացնել	Այս տարի ընկերության եկամուտը բավական ավելացել է։
3456:增进	增进	增进	გაუმჯობესება; გაღრმავება	ურთიერთობა ერთმანეთის გაგებას აძლიერებს.	խորացնել; բարելավել	Հաղորդակցությունը կարող է խորացնել փոխըմբռնումը։
3457:增强	增强	增强	გაძლიერება	ვარჯიში ფიზიკურ ძალას აძლიერებს.	ուժեղացնել	Մարզանքը ուժեղացնում է ֆիզիկական ուժը։
3458:赠	赠	赠	საჩუქრად მიცემა	სკოლამ მოსწავლეებს წიგნების პარტია აჩუქა.	նվիրել	Դպրոցը ուսանողներին մի խմբաքանակ գրքեր նվիրեց։
3460:炸	炸	炸	ზეთში შეწვა; აფეთქება	ამ ბლინის ზეთში შეწვაა საჭირო.	տապակել; պայթել	Այս բլիթը պետք է յուղի մեջ տապակել։
3463:展出	展出	展出	გამოფენა	მუზეუმში ტრადიციული ჩინური ფერწერის ნამუშევრებია გამოფენილი.	ցուցադրել; ցուցահանդեսում ներկայացնել	Թանգարանը ցուցադրում է ավանդական չինական նկարներ։
3469:站台	站台	站台	ბაქანი; პლატფორმა	მგზავრები ბაქანზე ელოდებიან ტრანსპორტს.	հարթակ; կայարանահարթակ	Ուղևորները սպասում են հարթակում։
3472:涨价	涨价	涨价	ფასის გაზრდა; გაძვირება	ამ რესტორანმა ბოლო დროს ფასები გაზარდა.	թանկանալ; գին բարձրացնել	Այս ռեստորանը վերջերս գները բարձրացրել է։
3473:掌声	掌声	掌声	ტაში	სპექტაკლის დასრულების შემდეგ ტაში ძალიან მხურვალე იყო.	ծափահարություն	Ներկայացման ավարտից հետո ծափահարությունները շատ ջերմ էին։
3475:账号	账号	账号	ანგარიში; ანგარიშის ნომერი	გთხოვთ თქვენი ანგარიში სხვებს არ უთხრათ.	հաշիվ; հաշվի համար	Խնդրում եմ ձեր հաշիվը մի ասեք ուրիշներին։
3479:折扣	折扣	折扣	ფასდაკლება	ამ ტანსაცმელს ოცპროცენტიანი ფასდაკლება აქვს.	զեղչ	Այս հագուստն ունի քսան տոկոս զեղչ։
3481:真诚	真诚	真诚	გულწრფელი	მისი ბოდიში ძალიან გულწრფელი იყო.	անկեղծ	Նրա ներողությունը շատ անկեղծ էր։
3488:争	争	争	ბრძოლა; კონკურენცია	ორივე გუნდი ჩემპიონობისთვის იბრძვის.	պայքարել; մրցել	Երկու թիմերն էլ պայքարում են չեմպիոնության համար։
3492:整整	整整	整整	სრული; მთელი	მან სრული ორი საათი იცადა.	ամբողջ; լրիվ	Նա ամբողջ երկու ժամ սպասեց։
3496:正如	正如	正如	ზუსტად როგორც	ზუსტად როგორც მასწავლებელმა თქვა, ვარჯიში მნიშვნელოვანია.	ճիշտ ինչպես	Ճիշտ ինչպես ուսուցիչն ասաց, վարժությունը կարևոր է։
3500:知名	知名	知名	ცნობილი	ეს ცნობილი საწარმოა.	հայտնի	Սա հայտնի ընկերություն է։
3503:职场	职场	职场	სამუშაო გარემო	ახალბედებს სამუშაო გარემოში შესვლისას ბევრი რამის სწავლა სჭირდებათ.	աշխատավայր; մասնագիտական միջավայր	Նորեկները աշխատավայր մտնելիս պետք է շատ բան սովորեն։
3504:职工	职工	职工	თანამშრომელი; პერსონალი	ქარხანას სამასი თანამშრომელი ჰყავს.	աշխատակից; անձնակազմ	Գործարանն ունի երեք հարյուր աշխատակից։
3506:止	止	止	შეჩერება; დასრულება	ღონისძიება საღამოს ცხრა საათზე მთავრდება.	դադարել; ավարտվել	Միջոցառումը ավարտվում է երեկոյան ժամը իննին։
