simplified	FR	example_FR
玩弄	jouer avec; manipuler	Ne joue pas avec les sentiments des autres.
玩意儿	truc; jouet	Qu'est-ce que c'est que ce nouveau truc ?
顽固	obstiné; têtu	Son attitude est très obstinée.
顽强	tenace; indomptable	Le blessé s'est montré très tenace.
惋惜	regretter	Tout le monde a regretté cet échec.
挽回	récupérer; réparer	Il s'efforce de réparer les pertes de l'entreprise.
挽救	sauver; secourir	Le médecin a réussi à sauver la vie du patient.
万分	extrêmement	Je te suis extrêmement reconnaissant pour ton aide.
往常	d'habitude; auparavant	Il fait plus chaud aujourd'hui que d'habitude.
往事	souvenirs; événements passés	Le vieil homme évoque souvent ses souvenirs.
妄想	rêver vainement; illusion	Il rêve vainement de devenir riche du jour au lendemain.
危机	crise	L'entreprise fait face à une grave crise.
威风	prestance; autorité impressionnante	Le général à cheval avait beaucoup de prestance.
威力	puissance; force	Cette arme a une grande puissance.
威望	prestige	Il jouit d'un grand prestige dans le village.
威信	crédibilité; autorité	Les dirigeants doivent préserver la crédibilité du gouvernement.
微不足道	insignifiant; négligeable	Cette perte est insignifiante.
微观	microéconomique; microscopique	Ce cours présente la microéconomie.
为难	embarrasser; compliquer les choses	Ne mets plus le serveur dans l'embarras.
为期	durer; d'une durée de	La formation dure trois mois.
唯独	seulement; sauf	Tout le monde est arrivé, sauf lui.
维持	maintenir	La police maintient l'ordre sur les lieux.
维护	protéger; défendre	Nous devons protéger nos droits légitimes.
维生素	vitamine	Les fruits contiennent beaucoup de vitamines.
违背	violer; aller contre	Cette décision va contre l'esprit du contrat.
伪造	falsifier; contrefaire	Quelqu'un a falsifié sa signature.
委托	mandater; confier	Le client a mandaté un avocat pour traiter l'affaire.
委员	membre du comité	Chaque membre du comité a donné son avis.
卫星	satellite	Le satellite est entré sur l'orbite prévue.
喂	nourrir	L'enfant nourrit le petit chat.
慰问	rendre visite; exprimer sa sympathie	Les dirigeants sont allés rendre visite aux blessés à l'hôpital.
未免	un peu trop	Cette exigence est un peu trop élevée.
畏惧	craindre	Il ne craint jamais les difficultés.
蔚蓝	bleu azur	Le ciel prend une couleur bleu azur.
温带	zone tempérée	Cette plante convient au climat de la zone tempérée.
温和	modéré	Sa position politique est plutôt modérée.
文凭	diplôme	Ce poste exige un diplôme universitaire.
文物	relique culturelle; objet historique	Le musée expose de précieux objets historiques.
文献	documents; littérature	L'article cite une grande quantité de littérature.
文雅	élégant; raffiné	Elle a des manières élégantes.
文艺	littérature et art	Cette ville a une forte atmosphère littéraire et artistique.
问世	paraître; sortir	Ce téléphone va bientôt sortir.
窝	nid	Il y a un nid d'oiseau dans l'arbre.
乌黑	noir de jais	Elle a de longs cheveux noir de jais.
污蔑	diffamer; calomnier	Il nie avoir diffamé son concurrent.
诬陷	accuser faussement; piéger	Les preuves montrent qu'il a été accusé faussement.
无比	infiniment; extrêmement	En entendant la nouvelle, il s'est senti extrêmement ému.
无偿	gratuitement; sans rémunération	Les bénévoles fournissent des services gratuitement.
无耻	éhonté	Cette tromperie est vraiment éhontée.
无动于衷	indifférent	Face aux critiques, il reste indifférent.
无非	rien d'autre que	Il fait cela simplement pour économiser de l'argent.
无辜	innocent	Le tribunal a reconnu qu'il était innocent.
无精打采	abattu; sans énergie	Il a l'air sans énergie aujourd'hui.
无赖	voyou; canaille	Les villageois ne veulent pas fréquenter ce voyou.
无理取闹	chercher querelle sans raison	Ne cherche pas querelle sans raison ici.
无能为力	impuissant	Face à l'inondation, les villageois sont impuissants.
无穷无尽	infini; sans fin	Le désert semble sans fin.
无微不至	attentif dans les moindres détails	L'infirmière soigne les patients dans les moindres détails.
无忧无虑	sans souci	Les enfants jouent sans souci sur la pelouse.
无知	ignorance	L'ignorance n'est pas une raison pour refuser d'apprendre.
侮辱	insulter; humilier	Ses paroles ont insulté l'autre personne.
武器	arme	Ces armes sont conservées de manière centralisée.
武侠	arts martiaux chevaleresques	Il aime lire des romans d'arts martiaux depuis l'enfance.
武装	armement; armer	La région frontalière a renforcé les patrouilles armées.
舞蹈	danse	Cette danse a un fort caractère ethnique.
务必	absolument; impérativement	Veuillez arriver impérativement à l'heure.
物美价廉	bon rapport qualité-prix	Les produits de ce magasin ont un bon rapport qualité-prix.
物业	gestion immobilière; propriété	La gestion immobilière est responsable des réparations du quartier.
物资	matériel; fournitures	Les fournitures de secours sont déjà arrivées dans la zone sinistrée.
误差	erreur; écart	Les résultats de mesure comportent une légère erreur.
误解	malentendu; mal comprendre	Les deux parties ont dissipé le malentendu par la communication.
夕阳	soleil couchant	Le soleil couchant a teint le ciel en or.
昔日	autrefois; ancien	Le petit village d'autrefois est devenu une ville.
溪	ruisseau	Un petit ruisseau traverse la montagne.
熄灭	éteindre; s'éteindre	Veuillez éteindre les bougies.
牺牲	se sacrifier; sacrifice	Ils ont fait un sacrifice pour sauver des vies.
膝盖	genou	Il s'est blessé au genou.
习俗	coutume; tradition	La fête du Printemps compte de nombreuses coutumes traditionnelles.
媳妇	épouse; belle-fille	Son épouse travaille à l'hôpital.
袭击	attaquer; attaque	La tempête a frappé la ville côtière.
喜闻乐见	apprécié du public	Ce type d'émission est apprécié du public.
喜悦	joie; joyeux	Un sourire de joie est apparu sur son visage.
系列	série	L'entreprise a lancé une série de nouveaux produits.
细菌	bactérie; germe	La chaleur élevée peut tuer les bactéries.
细胞	cellule	Le corps humain est composé d'innombrables cellules.
细致	minutieux; détaillé	Son observation est très minutieuse.
峡谷	canyon; ravin	La rivière traverse un canyon profond.
狭隘	étroit; borné	Ce point de vue borné doit changer.
狭窄	étroit	Ce sentier est très étroit.
霞	nuages rouges	Les nuages du soir ont rougi le ciel.
下属	subordonné	Le directeur écoute attentivement les avis de ses subordonnés.
先进	avancé	L'usine utilise des équipements avancés.
先前	auparavant; précédent	Le plan précédent a déjà changé.
掀起	susciter; soulever	Ce livre a suscité une vague de discussions.
纤维	fibre	Ce tissu contient des fibres naturelles.
鲜明	net; distinct	Sa position est très nette.
嫌	trouver trop; ne pas aimer	Elle trouve la pièce trop petite.
嫌疑	soupçon; suspect	Cet homme est fortement suspecté.
弦	corde	Une corde de la guitare s'est cassée.
衔接	relier; enchaîner	Les contenus des deux cours s'enchaînent très bien.
贤惠	vertueuse; capable	Elle est considérée comme vertueuse et capable.
闲话	ragot; commérage	Ne raconte pas de ragots dans le dos des autres.
显著	remarquable; notable	L'effet du traitement est très remarquable.
宪法	constitution	La constitution garantit les droits fondamentaux des citoyens.
现场	lieu; scène	Les journalistes sont déjà arrivés sur les lieux de l'accident.
现成	tout prêt; disponible	Il y a des repas tout prêts dans la cuisine.
现状	situation actuelle	Nous devons comprendre la situation actuelle du secteur.
线索	indice; piste	La police a découvert de nouveaux indices.
陷害	piéger; accuser faussement	Il affirme que quelqu'un l'a piégé.
陷阱	piège	Le chasseur a posé un piège.
陷入	tomber dans; se retrouver dans	L'entreprise est tombée dans des difficultés financières.
馅儿	farce	La farce de ce baozi est parfumée.
乡镇	bourg; canton	Les conditions des écoles de bourg s'améliorent.
相差	différer; écart	La température diffère de dix degrés entre les deux lieux.
相等	égal	Les deux triangles ont des surfaces égales.
相辅相成	se compléter	La théorie et la pratique se complètent.
相应	correspondant; approprié	L'entreprise prendra les mesures correspondantes.
镶嵌	incruster; sertir	Une pierre précieuse est sertie sur la bague.
响亮	fort et clair	Sa réponse était forte et claire.
响应	répondre à	Beaucoup de personnes ont répondu à l'initiative écologique.
想方设法	chercher tous les moyens	Ils cherchent tous les moyens de réduire les coûts.
向导	guide	Le guide local nous a conduits dans la montagne.
向来	toujours; depuis toujours	Il a toujours attaché de l'importance au crédit.
向往	aspirer à	Elle aspire à une vie tranquille.
巷	ruelle	Beaucoup de petites boutiques ont ouvert dans la vieille ruelle.
相声	dialogue comique chinois	Grand-père aime écouter le xiangsheng traditionnel.
消除	éliminer; dissiper	La communication peut dissiper les malentendus.
消毒	désinfecter	Le médecin a désinfecté la plaie.
消防	lutte contre l'incendie	Les pompiers sont arrivés rapidement sur les lieux.
消耗	consommer; épuiser	Un long voyage consomme beaucoup d'énergie.
消灭	éliminer; détruire	Les employés sont en train d'éliminer les nuisibles.
潇洒	à l'aise; élégant	Sa façon de marcher est très élégante.
销毁	détruire	La douane a détruit les produits contrefaits.
小心翼翼	très prudemment	Elle a ouvert la boîte très prudemment.
效益	efficacité; bénéfice	Le nouvel équipement a amélioré l'efficacité de production.
肖像	portrait	Son portrait est accroché au mur.
协会	association	Cette association aide les jeunes entrepreneurs.
协商	consulter; négocier	Les deux parties souhaitent continuer à négocier.
协调	coordonner	Le chef de projet est chargé de coordonner les ressources.
协议	accord; protocole	Les deux parties ont signé un accord de coopération.
协助	aider; assister	Les bénévoles aident les personnes âgées à traverser la rue.
携带	transporter; porter	Les passagers ne peuvent pas transporter d'objets dangereux.
屑	copeaux; miettes	Il y a beaucoup de copeaux de bois sur la table.
泄露	divulguer; fuir	Les employés ne doivent pas divulguer les informations des clients.
泄气	se décourager	Ne te décourage pas après un échec.
谢绝	refuser poliment	L'hôtel refuse poliment les aliments apportés de l'extérieur.
心得	enseignements tirés; expérience acquise	Elle a partagé les enseignements tirés de son apprentissage.
心甘情愿	de plein gré	Il est resté aider de plein gré.
心灵	esprit; âme	La musique a apaisé son esprit.
心态	état d'esprit	Garder un état d'esprit positif est très important.
心疼	avoir de la peine pour; chérir	La mère a de la peine pour son enfant blessé.
心血	efforts minutieux; soins	Ce livre concentre les efforts minutieux de l'auteur.
心眼儿	esprit; arrière-pensée	Il est un peu mesquin.
新陈代谢	métabolisme	L'exercice peut stimuler le métabolisme.
新郎	marié	Le marié accueille les invités à l'entrée.
新娘	mariée	La mariée porte une robe blanche.
新颖	original; nouveau	Ce design est très original.
欣慰	rassuré; satisfait	En voyant les progrès de son enfant, elle s'est sentie rassurée.
欣欣向荣	prospère; florissant	Le tourisme de la petite ville est florissant.
薪水	salaire	Son salaire suffit à faire vivre sa famille.
辛勤	travailleur; assidu	Les paysans cultivent les champs avec assiduité.
信赖	faire confiance	Les clients font beaucoup confiance à cette entreprise.
信念	conviction; croyance	Une conviction ferme le soutient.
信仰	foi; croyance	Elle respecte les croyances différentes.
信誉	réputation	L'entreprise doit préserver sa réputation.
兴高采烈	très joyeux; enthousiaste	Les enfants sont entrés dans la classe avec enthousiasme.
兴隆	prospère	Les affaires de cette vieille boutique sont prospères.
兴旺	prospère; florissant	L'économie de marché devient de plus en plus prospère.
腥	odeur de poisson	Ce poisson a une légère odeur de poisson.
刑事	pénal; criminel	La police enquête sur une affaire pénale.
形态	forme; morphologie	La forme des plantes change selon l'environnement.
行政	administratif	Le service administratif traite les demandes.
兴致勃勃	plein d'enthousiasme	Tout le monde discute du plan avec enthousiasme.
性感	sexy; sensuel	Cette robe la rend très élégante et sensuelle.
性命	vie	Le médecin lui a sauvé la vie.
性能	performance	Cet ordinateur a de bonnes performances.
凶恶	féroce; méchant	Ce chien a l'air féroce.
凶手	meurtrier	La police a finalement arrêté le meurtrier.
汹涌	tumultueux; déferler	Les vagues tumultueuses frappent la côte.
胸怀	cœur; largeur d'esprit	Il a une grande largeur d'esprit.
胸膛	poitrine	Le soldat a bombé la poitrine.
雄厚	solide; puissant	L'entreprise dispose de fonds solides.
雄伟	majestueux; imposant	Ce pont est très majestueux.
修复	réparer; restaurer	Les ingénieurs réparent le système.
修建	construire	Le gouvernement prévoit de construire un nouvel aéroport.
修养	culture personnelle; formation	Une bonne culture personnelle se voit dans les détails.
羞耻	honte	Il a eu honte après avoir menti.
嗅觉	odorat	L'odorat du chien est très sensible.
绣	broder	Grand-mère sait broder des fleurs.
虚假	faux; mensonger	Le site a publié une fausse information.
虚荣	vanité	La vanité l'a poussé à trop dépenser.
虚伪	hypocrite; faux	Elle n'aime pas les politesses hypocrites.
需求	demande; besoin	La demande du marché augmente.
须知	consignes à connaître	Veuillez d'abord lire les consignes d'inscription.
许可	autorisation; permettre	On ne peut pas entrer sans autorisation.
序言	préface	L'auteur explique le contexte dans la préface.
畜牧	élevage	La prairie convient au développement de l'élevage.
酗酒	alcoolisme; boire excessivement	L'alcoolisme prolongé nuit à la santé.
喧哗	faire du bruit; vacarme	Il est interdit de faire du bruit à la bibliothèque.
宣誓	prêter serment	Les nouveaux membres ont prêté serment pendant la réunion.
宣扬	promouvoir; proclamer	L'école promeut l'honnêteté et la fiabilité.
悬挂	accrocher; suspendre	Un tableau est accroché au mur.
悬念	suspense	La fin du film laisse du suspense.
悬殊	écart considérable	L'écart de niveau entre les deux équipes est considérable.
悬崖峭壁	falaise escarpée	À côté du chemin de montagne se trouvent des falaises escarpées.
旋律	mélodie	La mélodie de cette chanson est belle.
旋转	tourner; pivoter	Le moulin à vent tourne dans le vent.
选拔	sélectionner	L'école sélectionne des athlètes.
选举	élection; élire	Le village a organisé une élection.
选手	candidat; concurrent	Ce concurrent a une performance stable.
炫耀	se vanter; exhiber	Il aime toujours exhiber sa richesse.
削	réduire; couper	L'entreprise a réduit certaines dépenses.
削弱	affaiblir	La fatigue peut affaiblir le jugement.
学说	théorie; doctrine	Cette théorie a une grande influence.
学位	diplôme universitaire	Elle a obtenu un master.
雪上加霜	aggraver la situation	Perdre son emploi puis tomber malade aggrave vraiment la situation.
血压	tension artérielle	Le médecin lui a rappelé de contrôler sa tension artérielle.
熏陶	influence; imprégnation	Elle a été influencée par la musique depuis l'enfance.
寻觅	chercher	Ils cherchent partout un logement adapté.
巡逻	patrouiller	La police patrouille dans la rue la nuit.
循环	circuler; cycle	L'eau circule dans le système.
循序渐进	progresser étape par étape	Il faut apprendre les langues étape par étape.
压迫	opprimer; comprimer	L'ancien système opprimait les gens ordinaires.
压岁钱	étrennes du Nouvel An	Les enfants ont reçu des étrennes du Nouvel An.
压缩	compresser	Le logiciel peut compresser la taille des images.
压抑	réprimer; oppressant	Il s'efforce de réprimer sa colère intérieure.
压榨	presser; exploiter	La machine est en train de presser le jus de canne à sucre.
压制	réprimer; inhiber	Le médicament peut calmer la douleur.
鸦雀无声	silence absolu	Après l'entrée du professeur, la classe est tombée dans un silence absolu.
亚军	deuxième place; finaliste	Elle a obtenu la deuxième place dans la compétition.
淹没	submerger; inonder	L'inondation a submergé les villages bas.
烟花爆竹	feux d'artifice et pétards	Pendant la fête, les feux d'artifice et les pétards sont interdits.
严峻	grave; sévère	La situation de l'emploi reste grave.
严寒	froid intense	Le froid intense affecte la circulation.
严禁	interdire strictement	Il est strictement interdit de fumer ici.
严厉	strict; dur	Le professeur l'a critiqué sévèrement.
严密	serré; rigoureux	L'entrepôt dispose d'une surveillance rigoureuse.
岩石	rocher; roche	Les rochers au bord de la mer sont très durs.
延期	reporter; prolonger	La réunion est reportée à la semaine prochaine.
延伸	s'étendre	La route s'étend vers le nord.
延续	se poursuivre; durer	Cette tradition se poursuit depuis cent ans.
沿海	côtier	Les villes côtières ont un commerce développé.
炎热	très chaud	Le temps très chaud fatigue les gens.
言论	propos; opinion publique	Le public prête attention à ses propos.
掩盖	cacher; dissimuler	Il a essayé de cacher son erreur.
掩护	couvrir; protéger	Les coéquipiers couvrent le retrait.
掩饰	dissimuler; masquer	Elle s'efforce de dissimuler sa nervosité.
演变	évoluer	La structure de la ville évolue sans cesse.
演习	exercice; entraînement	L'école a organisé un exercice d'incendie.
演绎	déduire; démontrer	Le professeur a démontré ce théorème.
演奏	jouer; interpréter	L'orchestre joue de la musique classique.
眼光	vision; discernement	Il a un bon discernement pour l'investissement.
眼色	signe du regard	Elle a fait un signe du regard à son collègue.
眼神	regard	Son regard est très déterminé.
厌恶	détester; aversion	Il déteste la tromperie.
验收	réceptionner; vérifier	Après l'achèvement des travaux, il faut les réceptionner.
验证	vérifier; validation	L'expérience a vérifié l'hypothèse.
氧气	oxygène	Le patient a besoin d'oxygène.
样品	échantillon	Le client a reçu des échantillons du produit.
摇摆	osciller; se balancer	Le petit bateau se balance dans le vent et les vagues.
摇滚	rock	Les jeunes aiment la musique rock.
谣言	rumeur	Ne diffusez pas de rumeurs non vérifiées.
遥控	commande à distance	Il contrôle la climatisation à distance avec son téléphone.
遥远	lointain	Ce village est très loin de la ville.
耀眼	éblouissant	Le soleil est si fort qu'il éblouit.
要点	points essentiels	Veuillez noter les points essentiels de la réunion.
要命	extrêmement; fatal	Cette route de montagne est extrêmement dangereuse.
要素	facteur essentiel	La confiance est un facteur essentiel de la coopération.
野蛮	barbare; brutal	Il s'oppose à l'application brutale de la loi.
野心	ambition	Son ambition politique est évidente.
液体	liquide	Ce liquide est incolore.
一流	de premier ordre	Cet hôpital dispose d'équipements de premier ordre.
一如既往	comme toujours	Il nous soutient comme toujours.
依旧	toujours; comme avant	La pluie s'est arrêtée, mais la rue est toujours humide.
依据	base; selon	Le jugement doit se fonder sur la loi.
依靠	compter sur; dépendre de	Ils vivent en dépendant de l'agriculture.
依赖	dépendre de	Les enfants ne doivent pas trop dépendre de leurs parents.
依托	s'appuyer sur	Le projet se développe en s'appuyant sur les ressources locales.
衣裳	vêtements	Elle a mis des vêtements propres.
一度	pendant un temps	L'entreprise a été pendant un temps au bord de la faillite.
一贯	constant; habituel	Il s'est toujours opposé au gaspillage.
一目了然	clair au premier coup d'œil	Le contenu du tableau est clair au premier coup d'œil.
一向	toujours	Elle est toujours ponctuelle.
仪器	instrument; appareil	Le laboratoire a acheté de nouveaux instruments.
仪式	cérémonie	La cérémonie de remise des diplômes aura lieu demain.
疑惑	doute; perplexité	Les étudiants sont perplexes devant la réponse.
遗产	patrimoine; héritage	Cette vieille ville est un patrimoine culturel.
遗传	hérédité; transmettre	Cette maladie peut être héréditaire.
遗留	laissé par le passé	Les problèmes laissés par l'histoire doivent être résolus.
遗失	perdre	Le voyageur a perdu son passeport.
以便	afin de	Veuillez laisser votre numéro de téléphone afin que l'on puisse vous contacter.
以免	afin d'éviter	Pars plus tôt afin d'éviter d'être en retard.
以往	auparavant; passé	L'expérience passée mérite d'être consultée.
以至	jusqu'à	Le champ s'est élargi au quartier, jusqu'à toute la ville.
以致	au point que	Les pluies fortes ont continué, au point que la route a été coupée.
一帆风顺	se passer sans accroc	Créer une entreprise ne peut pas toujours se passer sans accroc.
一举两得	faire d'une pierre deux coups	Aller au travail à vélo permet de faire d'une pierre deux coups.
一丝不苟	méticuleux	L'ingénieur vérifie les circuits de façon méticuleuse.
亦	aussi	Il est aussi d'accord avec ce plan.
异常	anormal; anomalie	Le système présente une situation anormale.
意料	prévoir; attente	Le résultat a totalement dépassé les attentes.
意识	conscience; prendre conscience	Il prend peu à peu conscience de la gravité du problème.
意图	intention	La police a démasqué son intention.
意味着	signifier	Le silence ne signifie pas l'accord.
意向	intention	Les deux parties ont exprimé une intention de coopération.
意志	volonté	Les difficultés mettent la volonté à l'épreuve.
毅力	persévérance	La réussite demande une persévérance de long terme.
毅然	résolument	Elle a quitté l'entreprise résolument.
翼	aile	L'aile de l'avion a été inspectée.
阴谋	complot; conspiration	Ils ont révélé ce complot.
音响	sonorisation; enceintes	L'effet sonore du salon est très bon.
引导	guider; orienter	Le professeur guide les élèves dans leur réflexion.
引擎	moteur	Le moteur de la voiture s'est soudain éteint.
引用	citer	L'article cite une grande quantité de documents.
隐蔽	cacher; dissimulé	Les soldats se cachent dans la forêt.
隐患	danger caché	Les vieux fils électriques présentent un danger caché.
隐瞒	dissimuler; cacher	Il n'a pas caché la vérité.
隐私	vie privée	L'entreprise doit protéger la vie privée des utilisateurs.
隐约	vague; indistinct	On entend vaguement un chant au loin.
饮食	alimentation	Une alimentation saine aide à récupérer.
婴儿	nourrisson; bébé	Le bébé dort tranquillement.
英明	sage; clairvoyant	Le dirigeant a pris une décision clairvoyante.
英勇	héroïque; courageux	Les pompiers ont sauvé l'enfant avec courage.
盈利	profit; bénéfice	L'entreprise commence à faire des bénéfices cette année.
迎面	de face	Un vent froid souffle de face.
应酬	obligations sociales	Il a beaucoup d'obligations sociales ce soir.
应邀	sur invitation	L'expert a participé au forum sur invitation.
庸俗	vulgaire	Le contenu de cette publicité est vulgaire.
拥护	soutenir	Tout le monde soutient la nouvelle politique.
拥有	posséder; avoir	Il possède une riche expérience.
勇于	oser	Les jeunes doivent oser essayer.
永恒	éternel	L'amour n'est pas éternellement immuable.
涌现	apparaître en grand nombre	D'excellents enseignants apparaissent partout.
踊跃	avec empressement	Les habitants s'inscrivent avec empressement à l'activité.
用户	utilisateur	L'utilisateur peut modifier son mot de passe.
优胜劣汰	sélection naturelle; survie du plus apte	La concurrence du marché reflète la survie du plus apte.
优先	priorité	Les personnes âgées peuvent être servies en priorité.
优异	excellent	Elle a obtenu d'excellents résultats.
优越	supérieur; avantageux	L'emplacement géographique d'ici est avantageux.
忧郁	mélancolique	Son expression paraît mélancolique.
油腻	gras	Ce plat est trop gras.
油漆	peinture; peindre	Les ouvriers peignent la porte.
犹如	comme; semblable à	La surface du lac est comme un miroir.
有条不紊	méthodique	La réunion se déroule de manière méthodique.
幼稚	naïf; immature	Cette idée est un peu naïve.
诱惑	tentation	La publicité est pleine de tentations de consommation.
愚蠢	stupide	Cette décision est très stupide.
愚昧	ignorant	Les idées ignorantes empêchent le progrès.
渔民	pêcheur	Les pêcheurs partent en mer tôt le matin.
舆论	opinion publique	L'opinion publique influence beaucoup l'affaire.
与日俱增	augmenter de jour en jour	Le nombre de touristes augmente de jour en jour.
宇宙	univers	L'humanité explore sans cesse l'univers.
羽绒服	doudoune	Il faut porter une doudoune en hiver.
寓言	fable	Cette fable a une grande valeur éducative.
愈	de plus en plus; guérir	Son état s'améliore de plus en plus.
欲望	désir	Il a maîtrisé son désir d'acheter.
熨	repasser	Elle a repassé la chemise.
玉	jade	Ce morceau de jade a une couleur douce.
预料	prévoir; attente	L'évolution de la situation a dépassé les prévisions.
预期	prévu; attente	Les ventes sont inférieures aux attentes.
预算	budget	Le budget du projet doit être ajusté.
预先	à l'avance	Veuillez préparer les documents à l'avance.
预言	prédire; prophétie	Sa prédiction ne s'est pas réalisée.
预兆	signe avant-coureur	La douleur peut être un signe avant-coureur de maladie.
冤枉	accuser à tort	N'accuse pas à tort une personne innocente.
元首	chef d'État	Les chefs d'État des deux pays ont tenu des pourparlers.
元素	élément	L'oxygène est un élément chimique.
元宵节	fête des Lanternes	Pendant la fête des Lanternes, les gens admirent les lanternes.
原告	plaignant; demandeur	Le demandeur a présenté de nouvelles preuves.
原理	principe	Le professeur a expliqué le principe de la machine.
原始	original; primitif	Ils ont conservé les documents originaux.
原先	au départ; initial	Le plan initial a déjà changé.
园林	jardin paysager	Les jardins de Suzhou sont très célèbres.
圆满	satisfaisant; complet	La réunion a obtenu un succès complet.
源泉	source	La pratique est la source du savoir.
缘故	raison; cause	Il a démissionné pour des raisons de santé.
约束	restreindre; encadrer	Le système encadre le comportement des employés.
乐谱	partition	Elle lit attentivement la partition.
岳母	belle-mère	Il rend visite à sa belle-mère ce week-end.
孕育	nourrir; faire naître	Le sol fait naître une nouvelle vie.
蕴藏	contenir; receler	La région montagneuse recèle de riches ressources minières.
运算	calcul; opération	Les élèves pratiquent les opérations mathématiques.
运行	fonctionner	Le système fonctionne de manière stable.
酝酿	mûrir; se préparer	Les deux parties préparent un nouveau plan.
杂技	acrobaties	Les enfants aiment regarder les spectacles d'acrobaties.
杂交	hybride; croisement	Les scientifiques étudient le riz hybride.
砸	briser; fracasser	Le verre est tombé par terre et s'est brisé.
咋	comment; pourquoi	Pourquoi n'es-tu pas encore revenu ?
栽培	cultiver	Le jardinier cultive beaucoup de fleurs.
灾难	catastrophe	Après la catastrophe, la ville a commencé à se reconstruire.
宰	abattre; tromper	Pendant la fête, les villageois abattent un mouton.
再接再厉	poursuivre ses efforts	Après le prix, l'équipe a poursuivi ses efforts.
在意	se soucier de	Elle se soucie beaucoup du regard des autres.
攒	économiser; accumuler	Il économise pour acheter un ordinateur.
暂且	pour le moment	Laissons cette question de côté pour le moment.
赞叹	admirer; louer	Le public admire la prestation des acteurs.
赞助	parrainer; sponsoriser	L'entreprise a sponsorisé cette compétition.
糟蹋	gaspiller; abîmer	Ne gaspille pas ces aliments frais.
遭受	subir	Les champs ont subi une grave sécheresse.
遭殃	subir un malheur	Le pont s'est effondré et les habitants voisins en ont souffert.
遭遇	rencontrer; subir	Ils ont rencontré une tempête de neige en route.
噪音	bruit	Le bruit du chantier gêne le repos.
造型	forme; style	Cette voiture a une forme très particulière.
责怪	reprocher; blâmer	Ne blâme pas toujours l'enfant.
贼	voleur	La police a attrapé ce voleur.
增添	ajouter; accroître	Les fleurs ajoutent de la couleur à la pièce.
赠送	offrir	Le magasin offre de petits cadeaux.
扎	piquer; planter	L'infirmière lui a fait une piqûre.
扎实	solide	Ses bases de grammaire sont solides.
渣	marc; résidu	Il reste du marc de café au fond de la tasse.
眨	cligner	Elle a cligné des yeux.
诈骗	fraude; escroquer	La police a résolu une affaire d'escroquerie téléphonique.
摘要	résumé; extrait	Le résumé de l'article est très clair.
债券	obligation	Les investisseurs achètent des obligations d'État.
沾光	profiter de l'avantage de quelqu'un	J'ai aussi profité de l'avantage de mon ami.
瞻仰	rendre hommage	Les touristes rendent hommage au monument des héros.
展示	exposer; montrer	L'entreprise présente ses nouveaux produits.
展望	perspective; regarder vers l'avenir	Le rapport présente les perspectives futures.
展现	montrer; révéler	L'œuvre montre la vie rurale.
崭新	tout neuf	Il a acheté un vélo tout neuf.
斩钉截铁	catégorique; résolu	Elle a refusé de façon catégorique.
占据	occuper	La publicité occupe toute la page.
占领	occuper	L'armée a occupé le col de montagne.
战斗	combat; combattre	Le combat a duré trois heures.
战略	stratégie	L'entreprise a ajusté sa stratégie de développement.
战术	tactique	L'entraîneur a changé la tactique du match.
战役	campagne militaire	Cette campagne a changé la situation.
章程	statuts; règlement	L'association a adopté de nouveaux statuts.
帐篷	tente	Ils montent une tente au bord du lac.
障碍	obstacle	La barrière linguistique nuit à la communication.
招标	appel d'offres	Le projet de construction fait l'objet d'un appel d'offres public.
招收	recruter	L'école recrute de nouveaux élèves cette année.
朝气蓬勃	plein d'énergie	L'équipe de jeunes est pleine d'énergie.
着迷	être fasciné	L'enfant est fasciné par l'astronomie.
沼泽	marais	L'équipe d'exploration traverse un marais.
照样	comme d'habitude	Il pleut, mais l'entraînement continue comme d'habitude.
照耀	illuminer	Le soleil illumine la place.
折腾	tourmenter; s'agiter	Ne t'acharne plus sur ce vieil ordinateur.
遮挡	bloquer; cacher	Les branches bloquent la fenêtre.
折	plier; casser	Il a plié le papier en avion.
折磨	tourmenter	L'insomnie prolongée la tourmente.
侦探	détective	Le détective a découvert un indice clé.
斟酌	peser; réfléchir	Veuillez peser soigneusement vos mots.
珍贵	précieux	Ces photos sont très précieuses.
珍稀	rare et précieux	Il faut protéger les animaux sauvages rares.
珍珠	perle	Elle porte des boucles d'oreilles en perles.
真理	vérité	La pratique vérifie la vérité.
真相	vérité	Le journaliste s'efforce d'établir la vérité.
真挚	sincère	Elle a exprimé des remerciements sincères.
枕头	oreiller	Cet oreiller est trop haut.
振奋	inspirer; remonter le moral	La bonne nouvelle a remonté le moral de tout le monde.
振兴	revitaliser	Le gouvernement encourage la revitalisation rurale.
镇定	calme	En situation critique, il reste calme.
镇静	calme	L'infirmière demande au patient de rester calme.
阵地	position	Les soldats ont tenu leur position.
阵容	composition; alignement	L'équipe a annoncé sa composition de départ.
震撼	bouleversant; secouer	Ce film est très bouleversant.
震惊	choquer; stupéfier	La nouvelle a choqué tout le pays.
争端	différend; conflit	Les deux parties essaient de résoudre le différend frontalier.
争夺	se disputer	Deux entreprises se disputent des parts de marché.
争气	faire honneur	Il étudie dur pour faire honneur à sa famille.
争先恐后	se précipiter pour être le premier	Les touristes se précipitent pour monter dans le bus.
争议	controverse	Cette décision suscite une controverse.
征服	conquérir	Les alpinistes ont conquis le sommet.
