simplified	SI	example_SI
言论	ප්‍රකාශ	මහජනයා ඔහුගේ ප්‍රකාශ ගැන අවධානය යොමු කරති.
掩盖	ආවරණය කර සැඟවීම	ඔහු වැරැද්ද ආවරණය කර සැඟවීමට උත්සාහ කළේය.
掩护	ආවරණය සැපයීම	සගයෝ ඉවත් වීමට ආවරණය සැපයීම භාරව සිටියහ.
掩饰	සඟවා දැක්වීම	ඇය ආතතිය සඟවා දැක්වීමට උත්සාහ කළාය.
演变	විකාශනය වීම	නගරයේ සැකැස්ම නිරන්තරයෙන් විකාශනය වේ.
演习	අභ්‍යාසය	පාසල ගිනි නිවීමේ අභ්‍යාසයක් පැවැත්වීය.
演绎	තර්කානුකූලව නිගමනය කිරීම	ගුරුවරයා මෙම සූත්‍රය තර්කානුකූලව නිගමනය කළේය.
演奏	වාදනය කිරීම	වාදක කණ්ඩායම සම්භාව්‍ය සංගීතය වාදනය කරමින් සිටී.
眼光	දැක්ම	ඔහුගේ ආයෝජන දැක්ම හොඳය.
眼色	ඇස් සංඥාව	ඇය සහකර්මියාට ඇස් සංඥාවක් දුන්නාය.
眼神	ඇස් පෙනුම	ඔහුගේ ඇස් පෙනුම ඉතා ස්ථිර විය.
厌恶	පිළිකුල් කිරීම	ඔහු වංචා ක්‍රියා පිළිකුල් කරයි.
验收	පිළිගැනීමේ පරීක්ෂාව	ව්‍යාපෘතිය අවසන් වූ පසු පිළිගැනීමේ පරීක්ෂාව අවශ්‍යය.
验证	තහවුරු කිරීම	අත්හදා බැලීම උපකල්පනය තහවුරු කළේය.
氧气	ඔක්සිජන්	රෝගියාට ඔක්සිජන් ආශ්වාස කිරීමට අවශ්‍යය.
样品	සාම්පලය	පාරිභෝගිකයාට නිෂ්පාදන සාම්පල ලැබුණි.
摇摆	ඔලුවීම	කුඩා බෝට්ටුව සුළං රළ අතර ඔලුවුණි.
摇滚	රොක් සංගීතය	තරුණයෝ රොක් සංගීතයට කැමතියි.
谣言	කටකතාව	තහවුරු නොකළ කටකතා පතුරවන්න එපා.
遥控	දුරස්ථ පාලනය	ඔහු ජංගම දුරකථනයෙන් වායු සමීකරණය දුරස්ථව පාලනය කළේය.
遥远	දුරස්ථ	ඒ ගම නගරයෙන් ඉතා දුරස්ථය.
耀眼	ඇස් කඳුළුවන	හිරු එළිය මිනිසුන්ගේ ඇස් කඳුළුවන තරම් තද විය.
要点	ප්‍රධාන කරුණු	කරුණාකර රැස්වීමේ ප්‍රධාන කරුණු සටහන් කරන්න.
要命	ඉතාමත්	මෙම කඳු මාර්ගය ඉතාමත් අනතුරුදායකය.
要素	මූලික සාධකය	විශ්වාසය සහයෝගීතාවයේ වැදගත් මූලික සාධකයකි.
野蛮	බර්බර	ඔහු බර්බර නීති ක්‍රියාත්මක කිරීමට විරුද්ධය.
野心	අභිලාෂය	ඔහුගේ දේශපාලන අභිලාෂය පැහැදිලිය.
液体	දියරය	මෙම දියරයට වර්ණයක් නැත.
一流	පළමු පෙළ	මෙම රෝහලේ උපකරණ පළමු පෙළේය.
一如既往	පෙර මෙන්ම	ඔහු පෙර මෙන්ම අපට සහාය දක්වයි.
依旧	තවමත් පෙර මෙන්	වැස්ස නතර වුණත්, වීථිය තවමත් තෙත්ය.
依据	පදනම	තීන්දුව නීතිය පදනම් කරගෙන ගත යුතුය.
依靠	විශ්වාසයෙන් රඳා සිටීම	ඔවුන් ජීවිකාව සඳහා කෘෂිකර්මාන්තය මත රඳා සිටිති.
依赖	අධික ලෙස රඳා සිටීම	දරුවන් දෙමාපියන් මත අධික ලෙස රඳා නොසිටිය යුතුය.
依托	රඳා පවතිමින්	ව්‍යාපෘතිය දේශීය සම්පත් මත රඳා පවතිමින් දියුණු වේ.
衣裳	ඇඳුම්	ඇය පිරිසිදු ඇඳුම් ඇඳ ගත්තාය.
一度	කලකට	සමාගම කලකට බංකොලොත් වීමට මුහුණ දුන්නේය.
一贯	නිරන්තර	ඔහු නිරන්තරයෙන් නාස්තියට විරුද්ධය.
一目了然	එක බැල්මෙන් පැහැදිලි	වගුවේ අන්තර්ගතය එක බැල්මෙන් පැහැදිලිය.
一向	සෑම විටම	ඇය සෑම විටම වේලාව රකී.
仪器	උපකරණය	විද්‍යාගාරය නව උපකරණ මිලදී ගත්තේය.
仪式	උත්සවය	උපාධි ප්‍රදාන උත්සවය හෙට පැවැත්වේ.
疑惑	සැක සහිත වීම	සිසුවා පිළිතුර ගැන සැකයෙන් සිටියේය.
遗产	උරුමය	මෙම පැරණි නගරය සංස්කෘතික උරුමයකි.
遗传	පරම්පරාවෙන් ලැබීම	මෙම රෝගය පරම්පරාවෙන් ලැබිය හැකිය.
遗留	ඉතිරිව පැවතීම	ඉතිහාසයෙන් ඉතිරිව පැවති ගැටලු විසඳිය යුතුය.
遗失	අහිමි කර ගැනීම	මගියා ගමන් බලපත්‍රය අහිමි කර ගත්තේය.
以便	පහසු වීමට	කරුණාකර සම්බන්ධ වීමට පහසු වීමට දුරකථන අංකයක් තබන්න.
以免	වැළැක්වීමට	ප්‍රමාද වීම වැළැක්වීමට කලින් පිටත් වන්න.
以往	අතීතයේ	අතීතයේ අත්දැකීම් උපදෙස් ලෙස වටී.
以至	පවා දක්වා	පරාසය ප්‍රජාවට, පවා මුළු නගරයට දක්වා විහිදුණි.
以致	එතරම් නිසා	තද වැස්ස නතර නොවීම නිසා මාර්ග ඇණහිටින ලදී.
一帆风顺	සියල්ල සුමටව යාම	ව්‍යාපාරයක් ආරම්භ කිරීම සෑම විටම සුමටව යා නොහැක.
一举两得	එක ක්‍රියාවෙන් ප්‍රතිලාභ දෙකක්	සයිකලයෙන් වැඩට යාමෙන් එක ක්‍රියාවෙන් ප්‍රතිලාභ දෙකක් ලැබිය හැකිය.
一丝不苟	ඉතා නිරවද්‍යව	ඉංජිනේරුවා විදුලි රැහැන් ඉතා නිරවද්‍යව පරීක්ෂා කළේය.
亦	ද	ඔහුද මෙම සැලැස්මට එකඟ විය.
异常	අසාමාන්‍ය	පද්ධතියේ අසාමාන්‍ය තත්ත්වයක් ඇති විය.
意料	අපේක්ෂාව	ප්‍රතිඵලය සම්පූර්ණයෙන් අපේක්ෂාවෙන් පිටත විය.
意识	අවබෝධ වීම	ඔහු ක්‍රමයෙන් ගැටලුව බරපතල බව අවබෝධ කර ගත්තේය.
意图	අරමුණ	පොලිසිය ඔහුගේ අරමුණ හඳුනා ගත්තේය.
意味着	අර්ථ දක්වයි	නිශ්ශබ්දතාවය එකඟතාවය අර්ථ දක්වන්නේ නැත.
意向	ඉලක්කගත අදහස	දෙපාර්ශ්වය සහයෝගීතා ඉලක්කගත අදහස පළ කළහ.
意志	ඉච්ඡා ශක්තිය	දුෂ්කරතා පුද්ගලයෙකුගේ ඉච්ඡා ශක්තිය පරීක්ෂා කරයි.
毅力	නොපසුබට උත්සාහය	සාර්ථකත්වයට දිගුකාලීන නොපසුබට උත්සාහය අවශ්‍යය.
毅然	දැඩි තීරණයෙන්	ඇය දැඩි තීරණයෙන් සමාගමෙන් ඉවත් වූවාය.
翼	පියාපත	ගුවන් යානයේ පියාපත පරීක්ෂා කරන ලදී.
阴谋	කුමන්ත්‍රණය	ඔවුන් මෙම කුමන්ත්‍රණය හෙළි කළහ.
音响	ශබ්ද උපකරණ	වාස කාමරයේ ශබ්ද උපකරණයේ ප්‍රතිඵලය හොඳය.
引导	මඟ පෙන්වීම	ගුරුවරයා සිසුන් සිතීමට මඟ පෙන්වීය.
引擎	එන්ජිම	මෝටර් රථයේ එන්ජිම හදිසියේ නතර විය.
引用	උපුටා දැක්වීම	පර්යේෂණ පත්‍රය දත්ත විශාල ප්‍රමාණයක් උපුටා දැක්වීය.
隐蔽	සැඟවීම	සෙබළුන් වනාන්තරයේ සැඟවී සිටියහ.
隐患	සැඟවුණු අනතුර	පරණ විදුලි රැහැන්වල සැඟවුණු ආරක්ෂක අනතුරක් ඇත.
隐瞒	සඟවා තැබීම	ඔහු සත්‍යය සඟවා තැබුවේ නැත.
隐私	පුද්ගලික රහස්	සමාගම පරිශීලකයන්ගේ පුද්ගලික රහස් ආරක්ෂා කළ යුතුය.
隐约	මඳක් අපැහැදිලි	දුරින් ගීත හඬක් මඳක් ඇසුණි.
饮食	ආහාර පාන	සෞඛ්‍යවත් ආහාර පාන සුව වීමට උපකාරී වේ.
婴儿	ළදරුවා	ළදරුවා නිහඬව නිදාගෙන සිටී.
英明	බුද්ධිමත්	නායකයා බුද්ධිමත් තීරණයක් ගත්තේය.
英勇	වීර	ගිනි නිවීමේ නිලධාරියා වීර ලෙස දරුවා බේරා ගත්තේය.
盈利	ලාභ ලැබීම	සමාගම මේ වසරේ ලාභ ලැබීමට පටන් ගත්තේය.
迎面	මුහුණටම	සීතල සුළඟ මුහුණටම හමුවිය.
应酬	සමාජ ආශ්‍රය	ඔහුට අද රාත්‍රියේ සමාජ ආශ්‍ර වැඩ බොහෝ ඇත.
应邀	ආරාධනයෙන්	විශේෂඥයා ආරාධනයෙන් සංසදයට සහභාගි විය.
庸俗	අශිෂ්ට	මෙම දැන්වීමේ අන්තර්ගතය ඉතා අශිෂ්ටය.
拥护	සහාය දැක්වීම	සියලු දෙනා නව ප්‍රතිපත්තියට සහාය දක්වති.
拥有	සතුව තිබීම	ඔහුට සරු අත්දැකීම් සතුව තිබේ.
勇于	ධෛර්යයෙන් යුතුව	තරුණයන් උත්සාහ කිරීමට ධෛර්යයෙන් යුතුව සිටිය යුතුය.
永恒	සදාකාලික	ආදරය සදාකාලිකව නොවෙනස්ව පවතින්නේ නැත.
涌现	බහුලව මතුවීම	විශිෂ්ට ගුරුවරු සෑම තැනම බහුලව මතුවෙති.
踊跃	උනන්දුවෙන්	නිවැසියෝ ක්‍රියාකාරකමට උනන්දුවෙන් ලියාපදිංචි වූහ.
用户	පරිශීලකයා	පරිශීලකයන්ට මුරපදය වෙනස් කළ හැකිය.
优胜劣汰	ශක්තිමත් අය තෝරා දුර්වල අය ඉවත් වීම	වෙළඳපොළ තරඟය ශක්තිමත් අය තෝරා දුර්වල අය ඉවත් වීම පෙන්වයි.
优先	ප්‍රමුඛතාව	වැඩිහිටියන්ට ප්‍රමුඛතාවයෙන් කටයුතු කළ හැකිය.
优异	විශිෂ්ට	ඇය විශිෂ්ට ප්‍රතිඵල ලබා ගත්තාය.
优越	උසස් වාසියක් ඇති	මෙම ස්ථානයට උසස් භූගෝලීය වාසියක් ඇත.
忧郁	දුක්මුසු	ඔහුගේ මුහුණ දුක්මුසු ලෙස පෙනුණි.
油腻	තෙල් වැඩි	මෙම කෑමට තෙල් වැඩිය.
油漆	තෙල් තීන්ත	කම්කරුවන් දොරට තෙල් තීන්ත ගාමින් සිටිති.
犹如	වැනි	වැව මතුපිට කන්නාඩියක් වැනිය.
有条不紊	පිළිවෙලට	රැස්වීම පිළිවෙලට පැවැත්විණි.
幼稚	ළමාකාර	මෙම අදහස ටිකක් ළමාකාරය.
诱惑	ආකර්ෂණය	දැන්වීම පාරිභෝගික ආකර්ෂණයෙන් පිරී ඇත.
愚蠢	මෝඩ	මෙම තීරණය ඉතා මෝඩය.
愚昧	අවිද්‍යාත්මක	අවිද්‍යාත්මක අදහස් ප්‍රගතියට බාධා කරයි.
渔民	ධීවරයා	ධීවරයෝ අලුයම මුහුදට මාළු අල්ලන්න යති.
舆论	මහජන මතය	මහජන මතය මෙම නඩුවට විශාල බලපෑමක් කරයි.
与日俱增	දිනෙන් දින වැඩි වීම	සංචාරකයන්ගේ සංඛ්‍යාව දිනෙන් දින වැඩි වේ.
宇宙	විශ්වය	මනුෂ්‍යයා විශ්වය නිරන්තරයෙන් ගවේෂණය කරයි.
羽绒服	පිහාටු ජැකට්	ශීත කාලයේ පිහාටු ජැකට් ඇඳිය යුතුය.
寓言	උපමා කතාව	මෙම උපමා කතාවට අධ්‍යාපනික අර්ථයක් ඇත.
愈	තව තවත් හොඳ වීම	රෝග තත්ත්වය තව තවත් හොඳ වේ.
欲望	ආශාව	ඔහු සාප්පු යාමේ ආශාව පාලනය කළේය.
熨	ඉස්ත්රි කිරීම	ඇය කමිසය සමාන කර ඉස්ත්රි කළාය.
玉	ජේඩ් ගල්	මෙම ජේඩ් ගලේ වර්ණය මෘදු හා උණුසුම්ය.
预料	අපේක්ෂාව	සිදුවීම් වර්ධනය අපේක්ෂාව ඉක්මවා ගියේය.
预期	අපේක්ෂිත	අලෙවි ප්‍රමාණය අපේක්ෂිත මට්ටමට වඩා අඩු විය.
预算	අයවැය	ව්‍යාපෘති අයවැය සංශෝධනය කළ යුතුය.
预先	කලින්	කරුණාකර ද්‍රව්‍ය කලින් සූදානම් කරන්න.
预言	අනාවැකිය	ඔහුගේ අනාවැකිය සත්‍ය නොවීය.
预兆	පූර්ව ලකුණ	වේදනාව රෝගයක පූර්ව ලකුණක් විය හැකිය.
冤枉	අසාධාරණ ලෙස දොස් පැවරීම	නිර්දෝෂී පුද්ගලයෙකුට අසාධාරණ ලෙස දොස් පවරන්න එපා.
元首	රාජ්‍ය නායකයා	රටවල් දෙකේ රාජ්‍ය නායකයෝ සාකච්ඡා පැවැත්වූහ.
元素	මූලද්‍රව්‍යය	ඔක්සිජන් රසායනික මූලද්‍රව්‍යයකි.
元宵节	ලැන්ටර්න් උත්සවය	ලැන්ටර්න් උත්සවයේදී මිනිසුන් පහන් බලති.
原告	පැමිණිලිකරු	පැමිණිලිකරු නව සාක්ෂි ඉදිරිපත් කළේය.
原理	මූලධර්මය	ගුරුවරයා යන්ත්‍රයේ මූලධර්මය පැහැදිලි කළේය.
原始	මුල්	ඔවුන් මුල් වාර්තා සුරක්ෂිත කර තබා ගත්හ.
原先	මුලින් තිබූ	මුලින් තිබූ සැලැස්ම දැනටමත් වෙනස් වී ඇත.
园林	උද්‍යාන භූදර්ශනය	සුෂෝ උද්‍යාන භූදර්ශන ඉතා ප්‍රසිද්ධය.
圆满	සාර්ථකව සම්පූර්ණ	රැස්වීම සාර්ථකව සම්පූර්ණ විය.
源泉	මූලාශ්‍රය	ප්‍රායෝගික කටයුතු දැනුමේ මූලාශ්‍රයයි.
缘故	හේතුව	ඔහු සෞඛ්‍ය හේතුවෙන් ඉල්ලා අස් විය.
约束	සීමා කිරීම	පද්ධතිය සේවක හැසිරීම සීමා කරයි.
乐谱	සංගීත පත්‍රය	ඇය සංගීත පත්‍රය අවධානයෙන් කියවූවාය.
岳母	බිරිඳගේ මව	ඔහු සති අන්තයේ බිරිඳගේ මව බැලීමට ගියේය.
孕育	පෝෂණය කර බිහි කිරීම	පස නව ජීවිතය පෝෂණය කර බිහි කරයි.
蕴藏	අඩංගු කර තැබීම	කඳුකර ප්‍රදේශය ඛනිජ සම්පත් බහුලව අඩංගු කරයි.
运算	ගණිත ක්‍රියාව	සිසුන් ගණිත ක්‍රියා පුහුණු කරති.
运行	ක්‍රියාත්මක වීම	පද්ධතිය ස්ථාවරව ක්‍රියාත්මක වේ.
酝酿	සැලසුම් කරමින් සිටීම	දෙපාර්ශ්වය නව සැලැස්මක් සැලසුම් කරමින් සිටිති.
杂技	සර්කස් කලා	දරුවෝ සර්කස් කලා ප්‍රදර්ශන බැලීමට කැමතියි.
杂交	මිශ්‍ර අභිජනනය	විද්‍යාඥයෝ මිශ්‍ර අභිජනන සහල් අධ්‍යයනය කරති.
砸	බිඳ වැටීම	කෝප්පය බිමට වැටී බිඳුණි.
咋	කොහොමද	ඔබ තවමත් ආපසු නොආවේ කොහොමද?
栽培	වගා කිරීම	උද්‍යානකරු මල් බොහෝ වගා කළේය.
灾难	විපත	විපතෙන් පසු නගරය නැවත ඉදිකිරීමට පටන් ගත්තේය.
宰	මරා කපා ගැනීම	උත්සවයේදී ගම්වාසීන් බැටළුවන් මරා කපා ගනිති.
再接再厉	නැවතත් උත්සාහය වැඩි කිරීම	සම්මානය ලැබීමෙන් පසු කණ්ඩායම නැවතත් උත්සාහය වැඩි කළේය.
在意	සැලකිලිමත් වීම	ඇය අනෙක් අයගේ අදහස් ගැන ඉතා සැලකිලිමත් වේ.
攒	ඉතිරි කර එකතු කිරීම	ඔහු පරිගණකයක් මිලදී ගැනීමට මුදල් ඉතිරි කර එකතු කරයි.
暂且	තාවකාලිකව	මෙම ගැටලුව තාවකාලිකව පසෙක තබන්න.
赞叹	ප්‍රශංසාවෙන් පුදුම වීම	ප්‍රේක්ෂකයෝ නළුවාගේ රංගනයට ප්‍රශංසාවෙන් පුදුම වූහ.
赞助	අනුග්‍රහය දැක්වීම	සමාගම මෙම තරඟයට අනුග්‍රහය දැක්වීය.
糟蹋	නාස්ති කිරීම	මෙම නැවුම් ආහාර නාස්ති කරන්න එපා.
遭受	විඳීම	කෘෂි බිම් දැඩි වියළි කාලගුණයක් වින්දේය.
遭殃	විපතට පත්වීම	පාලම කඩා වැටුණු විට අසල්වැසි ජනතාව විපතට පත් වූහ.
遭遇	මුහුණ දීම	ඔවුන් ගමන අතරතුර හිම කුණාටුවකට මුහුණ දුන්හ.
噪音	ශබ්ද දූෂණය	ඉදිකිරීම් ශබ්දය විවේකයට බලපායි.
造型	හැඩතල සැලසුම	මෙම මෝටර් රථයේ හැඩතල සැලසුම ඉතා විශේෂය.
责怪	දොස් පැවරීම	කරුණාකර දරුවාට නිතරම දොස් පවරන්න එපා.
贼	සොරයා	පොලිසිය ඒ සොරයා අල්ලා ගත්තේය.
增添	එකතු කිරීම	නැවුම් මල් කාමරයට වර්ණ එකතු කරයි.
赠送	තෑගි දීම	වෙළඳසැල කුඩා තෑගි දේ.
扎	එන්නත් කිරීම	හෙදිය ඔහුට එන්නතක් දුන්නාය.
扎实	ශක්තිමත් පදනමක් ඇති	ඔහුගේ ව්‍යාකරණ පදනම ඉතා ශක්තිමත්ය.
渣	අවශේෂ	කෝප්පයේ පතුලේ කෝපි අවශේෂ ඉතිරි විය.
眨	ඇස් පියසැලීම	ඇය ඇස් පියසැලුවාය.
诈骗	වංචා කිරීම	පොලිසිය දුරකථන වංචා නඩුවක් අනාවරණය කළේය.
摘要	සාරාංශය	පර්යේෂණ පත්‍රයේ සාරාංශය පැහැදිලිව ලියා ඇත.
债券	ණයපත්‍රය	ආයෝජකයෝ රජයේ ණයපත්‍ර මිලදී ගනිති.
沾光	අනුබද්ධ වාසිය ලැබීම	මටත් මිතුරා හරහා අනුබද්ධ වාසියක් ලැබුණි.
瞻仰	ගෞරවයෙන් නැරඹීම	සංචාරකයෝ වීර ස්මාරකය ගෞරවයෙන් නැරඹූහ.
展示	ප්‍රදර්ශනය කිරීම	සමාගම නවතම නිෂ්පාදනය ප්‍රදර්ශනය කළේය.
展望	අනාගතය දෙස බැලීම	වාර්තාව අනාගත ප්‍රවණතා දෙස බලයි.
展现	පෙන්වීම	කෘතිය ගම් ජීවිතය පෙන්වයි.
崭新	පූර්ණ නව	ඔහු පූර්ණ නව බයිසිකලයක් මිලදී ගත්තේය.
斩钉截铁	තීරණාත්මකව	ඇය තීරණාත්මකව ප්‍රතික්ෂේප කළාය.
占据	අල්ලා ගැනීම	දැන්වීම මුළු පිටුවම අල්ලා ගත්තේය.
占领	අල්ලා පාලනය කිරීම	හමුදාව කඳු මුවදොර අල්ලා පාලනය කළේය.
战斗	යුද්ධය	යුද්ධය පැය තුනක් පැවතුණි.
战略	උපාය මාර්ගය	සමාගම සංවර්ධන උපාය මාර්ගය සංශෝධනය කළේය.
战术	යුධ උපක්‍රමය	පුහුණුකරු තරඟයේ යුධ උපක්‍රමය වෙනස් කළේය.
战役	යුධ මෙහෙයුම	මෙම යුධ මෙහෙයුම තත්ත්වය වෙනස් කළේය.
章程	රීති පද්ධතිය	සංගමය නව රීති පද්ධතිය අනුමත කළේය.
帐篷	කූඩාරම	ඔවුන් වැව අසල කූඩාරම් තැබූහ.
障碍	බාධාව	භාෂා බාධා සන්නිවේදනයට බලපායි.
招标	ටෙන්ඩර් කැඳවීම	ඉංජිනේරු ව්‍යාපෘතිය මහජන ටෙන්ඩර් කැඳවීය.
招收	බඳවා ගැනීම	පාසල මේ වසරේ නව සිසුන් බඳවා ගනී.
朝气蓬勃	යෞවන ශක්තියෙන් පිරුණු	තරුණ කණ්ඩායම යෞවන ශක්තියෙන් පිරී ඇත.
着迷	මෝහනය වීම	දරුවා තාරකා විද්‍යාවට මෝහනය වී ඇත.
沼泽	දල්දිය	ගවේෂණ කණ්ඩායම දල්දිය හරහා ගියේය.
照样	සාමාන්‍ය පරිදිම	වැස්සත් පුහුණුව සාමාන්‍ය පරිදිම පැවැත්වුණි.
照耀	ආලෝකයෙන් වැසීම	හිරු එළිය චතුරශ්‍රය ආලෝකයෙන් වැසීය.
折腾	නිතර වද දීම	මෙම පැරණි පරිගණකය තවදුරටත් වද දෙන්න එපා.
遮挡	ආවරණය කර අවහිර කිරීම	ගස් අතු කවුළුව ආවරණය කර අවහිර කළේය.
折	නමා සකස් කිරීම	ඔහු කඩදාසිය ගුවන් යානයක් ලෙස නමා සකස් කළේය.
折磨	වද දීම	දිගුකාලීන නිදි නොලැබීම ඇයට වද දුන්නේය.
侦探	රහස් පරීක්ෂකයා	රහස් පරීක්ෂකයා ප්‍රධාන හෝඩුවාවක් සොයා ගත්තේය.
斟酌	හොඳින් සලකා බැලීම	කරුණාකර වචන භාවිතය හොඳින් සලකා බලන්න.
珍贵	වටිනා	මෙම ඡායාරූප ඉතා වටිනාය.
珍稀	දුර්ලභ හා වටිනා	දුර්ලභ හා වටිනා වනජීවීන් ආරක්ෂා කරන්න.
珍珠	මුතු	ඇය මුතු කරාබු පැළඳ සිටී.
真理	සත්‍යය	ප්‍රායෝගිකත්වය සත්‍යය පරීක්ෂා කරයි.
真相	සැබෑ තත්ත්වය	වාර්තාකරු සැබෑ තත්ත්වය සොයා බැලීමට දැඩි උත්සාහ කළේය.
真挚	අවංක	ඇය අවංක ස්තුතිය පළ කළාය.
枕头	කොට්ටය	මෙම කොට්ටය ඉතා උසය.
振奋	උද්යෝගයට පත් කිරීම	හොඳ ආරංචිය සියලු දෙනා උද්යෝගයට පත් කළේය.
振兴	නැවත පුනර්ජීවනය කිරීම	රජය ගම් ප්‍රදේශ පුනර්ජීවනය කිරීම ප්‍රවර්ධනය කරයි.
镇定	සන්සුන්	අර්බුදයේදී ඔහු සන්සුන්ව සිටියේය.
镇静	සන්සුන්	හෙදිය රෝගියාට සන්සුන්ව සිටීමට කීවාය.
阵地	ස්ථානය	සෙබළුන් ස්ථානය රැක ගත්හ.
阵容	පෙළගැස්ම	කණ්ඩායම ආරම්භක පෙළගැස්ම නිවේදනය කළේය.
震撼	කම්පනයට පත් කරන	මෙම චිත්‍රපටය ඉතා කම්පනයට පත් කරන සුළුය.
震惊	කම්පනයට පත් කිරීම	ආරංචිය මුළු රටම කම්පනයට පත් කළේය.
争端	ආරවුල	දෙපාර්ශ්වය සීමා ආරවුල විසඳීමට උත්සාහ කළහ.
争夺	තරඟ කර ලබා ගැනීම	සමාගම් දෙක වෙළඳපොළ කොටස සඳහා තරඟ කරයි.
争气	ගෞරවය ගෙන දීමට මහන්සි වීම	ඔහු පවුලට ගෞරවය ගෙන දීමට මහන්සි වී ඉගෙන ගනී.
争先恐后	පළමුවීමට තරඟ කිරීම	සංචාරකයෝ බස් රථයට නැගීමට පළමුවීමට තරඟ කළහ.
争议	වාද විවාදය	මෙම තීරණය වාද විවාදයක් ඇති කළේය.
征服	ජය ගැනීම	කඳු නගින්නා ඉහළ කඳු මුදුන ජය ගත්තේය.
征收	අය කිරීම	රජය නීතිය අනුව බදු අය කරයි.
挣扎	පොරබැදීම	කුඩා කුරුල්ලා දැල තුළ පොරබැදුවේය.
正月	චන්ද්‍ර වසරේ පළමු මාසය	චන්ද්‍ර වසරේ පළමු මාසයේදී ඥාතීන් එකිනෙකාට අලුත් අවුරුදු සුබ පතති.
蒸发	වාෂ්ප වීම	තෙතමනය ඉක්මනින් වාෂ්ප විය.
整顿	ප්‍රතිසංවිධානය කිරීම	සමාගම කළමනාකරණය ප්‍රතිසංවිධානය කිරීමට පටන් ගත්තේය.
政策	ප්‍රතිපත්තිය	නව ප්‍රතිපත්තිය කුඩා ව්‍යාපාරවලට සහාය දක්වයි.
政权	දේශපාලන බලය	යුද්ධය දේශීය දේශපාලන බලය වෙනස් කළේය.
正当	යුක්තිසහගත	ඔහු යුක්තිසහගත ඉල්ලීමක් ඉදිරිපත් කළේය.
正负	ධන සහ ඍණ	උපකරණය ධන සහ ඍණ දෝෂ පෙන්වයි.
正规	විධිමත්	දරුවා විධිමත් පාසලකට ඇතුළු වී ඉගෙන ගත්තේය.
正经	ගැඹුරු හා නිසි	ඔහු අවසානයේ ගැඹුරු හා නිසි ලෙස කතා කිරීමට පටන් ගත්තේය.
正气	ධාර්මික ආත්මය	සමාජය ධාර්මික ආත්මය ප්‍රවර්ධනය කළ යුතුය.
正义	යුක්තිය	නීතිඥයා යුක්තිය වෙනුවෙන් ආරක්ෂා කළේය.
正宗	සැබෑ සාම්ප්‍රදායික	මෙම අවන්හල සැබෑ සාම්ප්‍රදායික සිචුවාන් ආහාර විකුණයි.
症状	රෝග ලක්ෂණය	උණ සාමාන්‍ය රෝග ලක්ෂණයකි.
证实	තහවුරු කිරීම	පරීක්ෂණය ඔහුගේ ප්‍රකාශය තහවුරු කළේය.
证书	සහතිකය	ඇය වෘත්තීය සහතිකයක් ලබා ගත්තාය.
郑重	ගම්භීර	ඔහු වගකීම භාර ගන්නා බව ගම්භීරව පොරොන්දු විය.
之际	අවස්ථාවේ	වසන්ත උත්සවය ළඟා වන අවස්ථාවේ සියලු දෙනා කාර්යබහුලය.
支撑	ආධාරක වීම	කණු වහලයට ආධාරක වේ.
支出	වියදම්	පවුල් වියදම් පැහැදිලිව වැඩි වී ඇත.
支流	අතු ගඟ	මෙම ගඟ යැංසි ගඟේ අතු ගඟකි.
支配	පාලනය කිරීම	හැඟීම් විනිශ්චය පාලනය කළ යුතු නැත.
支援	සහාය සැපයීම	බොහෝ ප්‍රදේශවලින් වෛද්‍යවරු සහාය සැපයීමට පැමිණියහ.
支柱	ප්‍රධාන කණුව	නිෂ්පාදන කර්මාන්තය දේශීය ආර්ථිකයේ ප්‍රධාන කණුවකි.
枝	අත්ත	ඇය මල් අත්තක් කඩා ගත්තාය.
知觉	සිහි දැනීම	තුවාල ලැබූ පුද්ගලයා ක්‍රමයෙන් සිහි දැනීම නැවත ලබා ගත්තේය.
知足常乐	ලැබුණ දේ ගැන සතුටු වීම	වැඩිහිටියා නිතරම ලැබුණ දේ ගැන සතුටු වීම සතුට ගෙන දෙන බව කියයි.
脂肪	මේදය	කජු වර්ගවල සෞඛ්‍යවත් මේදය ඇත.
侄子	සහෝදරයාගේ පුතා	මගේ සහෝදරයාගේ පුතා මේ වසරේ ප්‍රාථමික පාසලට යයි.
值班	රාජකාරියේ සිටීම	හෙදිය අද රාත්‍රියේ රාජකාරියේ සිටී.
执行	ක්‍රියාත්මක කිරීම	අධිකරණය තීන්දුව ක්‍රියාත්මක කළේය.
执着	දැඩිව බැඳී සිටීම	ඔහු තම ආදර්ශවලට ඉතා දැඩිව බැඳී සිටී.
殖民地	යටත් විජිතය	මෙම දූපත කලක් යටත් විජිතයක් විය.
直播	සජීවී විකාශනය	තරඟය අද රාත්‍රියේ අන්තර්ජාලයෙන් සජීවීව විකාශය වේ.
直径	විෂ්කම්භය	මෙම වෘත්තයේ විෂ්කම්භය සෙන්ටිමීටර් දහයකි.
职能	කාර්ය භූමිකාව	දෙපාර්තමේන්තුවේ කාර්ය භූමිකා නැවත බෙදා හැරිය යුතුය.
职位	තනතුර	ඇය කළමනාකරණ තනතුරකට අයදුම් කළාය.
职务	රාජකාරි තනතුර	ඔහුගේ රාජකාරි තනතුර ව්‍යාපෘති ප්‍රධානියාය.
