simplified	HI	example_HI	BN	example_BN	TL	example_TL
误会	गलत समझना; गलतफ़हमी	माफ़ कीजिए, मैंने आपको गलत समझ लिया।	ভুল বোঝা; ভুল বোঝাবুঝি	দুঃখিত, আমি তোমাকে ভুল বুঝেছি।	hindi pagkakaunawaan; magkamali ng intindi	Pasensiya na, mali ang pagkakaintindi ko sa iyo.
吸引	आकर्षित करना	यह फ़िल्म बहुत आकर्षक है।	আকর্ষণ করা	এই সিনেমাটি খুব আকর্ষণীয়।	makaakit	Nakaaakit ang pelikulang ito.
西红柿	टमाटर	मैंने कुछ टमाटर खरीदे।	টমেটো	আমি কিছু টমেটো কিনেছি।	kamatis	Bumili ako ng ilang kamatis.
咸	नमकीन	नमक ज़्यादा पड़ गया है, सब्ज़ी थोड़ी नमकीन है।	নোনতা	লবণ বেশি পড়েছে, তরকারিটা একটু নোনতা।	maalat	Nasobrahan ang asin kaya medyo maalat ang ulam.
现金	नकद	मेरे पास नकद ज़्यादा नहीं है, लेकिन दुकान में कार्ड से भुगतान हो सकता है।	নগদ টাকা	আমার কাছে নগদ টাকা বেশি নেই, কিন্তু দোকানে কার্ডে টাকা দেওয়া যায়।	salaping hawak	Wala akong gaanong dalang salaping hawak, pero tumatanggap ng bayad sa tarheta ang tindahan.
羡慕	ईर्ष्या करना; सराहना करना	मुझे उससे ईर्ष्या होती है कि उसके पास अच्छी नौकरी है।	ঈর্ষা করা; প্রশংসা করা	তার ভালো চাকরি আছে বলে আমি তাকে ঈর্ষা করি।	mainggit; humanga	Naiinggit ako sa kanya dahil may maganda siyang trabaho.
相反	विपरीत; उलटा	तुम्हारी बात मेरी समझ से ठीक उलटी है।	বিপরীত	তুমি যা বলেছ, তা আমার বোঝার ঠিক বিপরীত।	kabaligtaran	Kabaligtaran ng pagkaunawa ko ang sinabi mo.
相同	एक जैसा; समान	तुम्हारी साइकिल मेरी साइकिल जैसी ही है।	একই; অভিন্ন	তোমার সাইকেলটি আমারটার সঙ্গে একেবারে একই।	pareho; magkapareho	Parehong-pareho ng akin ang bisikleta mo.
香	सुगंधित; स्वादिष्ट महक वाला	तुम्हारे बनाए खाने की खुशबू कितनी अच्छी है!	সুগন্ধি; সুস্বাদু গন্ধযুক্ত	তোমার রান্না করা খাবারের গন্ধ দারুণ!	mabango; masarap ang amoy	Napakabango ng niluto mong pagkain!
详细	विस्तृत; विस्तार से	उसकी बनाई योजना बहुत विस्तृत है।	বিস্তারিত	তার করা পরিকল্পনাটি খুব বিস্তারিত।	detalyado	Napakadetalye ng planong ginawa niya.
响	बजना; आवाज़ होना	सुनो, क्या फ़ोन बजा?	বাজা; শব্দ হওয়া	শোনো, ফোনটা কি বেজেছে?	tumunog	Pakinggan mo, tumunog ba ang telepono?
橡皮	रबर; मिटाने की रबर	क्या मैं तुम्हारा रबर थोड़ी देर इस्तेमाल कर सकता हूँ?	ইরেজার; রাবার	তোমার ইরেজারটা একটু ধার নিতে পারি?	pambura	Maaari ko bang hiramin sandali ang pambura mo?
消息	समाचार; ख़बर	यह ख़बर सचमुच रोमांचक है।	খবর; সংবাদ	এই খবরটি সত্যিই উত্তেজনাপূর্ণ।	balita; impormasyon	Talagang nakapupukaw ang balitang ito.
小吃	नाश्ता; हल्का खाना	बीजिंग आओ तो बीजिंग के हल्के नाश्ते ज़रूर चखना।	হালকা খাবার; নাশতা	বেইজিংয়ে এলে বেইজিংয়ের হালকা খাবার অবশ্যই চেখো।	meryenda; pagkaing magaan	Kapag pumunta ka sa Beijing, tikman mo talaga ang mga meryenda roon.
小伙子	युवक; नौजवान	वह नौजवान बहुत उत्साही है।	তরুণ; যুবক	ওই তরুণটি খুব আন্তরিক।	binatilyo; binata	Napakamasigasig ng binatang iyon.
小说	उपन्यास; कथा	मैं यह उपन्यास पढ़ रहा हूँ।	উপন্যাস	আমি এই উপন্যাসটি পড়ছি।	nobela	Binabasa ko ang nobelang ito.
效果	असर; परिणाम	इस सर्दी की दवा का असर बहुत अच्छा है।	প্রভাব; ফল	এই সর্দির ওষুধের প্রভাব খুব ভালো।	bisa; epekto	Mabisa ang gamot na ito para sa sipon.
笑话	मज़ाक; हँसी उड़ाना	कृपया दूसरों की हँसी मत उड़ाइए।	কৌতুক; উপহাস করা	দয়া করে অন্যকে উপহাস করবেন না।	biro; pagtawanan	Huwag mong pagtawanan ang iba.
心情	मनोदशा; मन	उसका मन बेहतर हो गया।	মনের অবস্থা; মেজাজ	তার মন ভালো হয়ে গেছে।	kalooban; lagay ng loob	Bumuti na ang lagay ng loob niya.
辛苦	कठिन; मेहनत वाला	पिताजी का काम बहुत कठिन है।	কষ্টকর; পরিশ্রমের	বাবার কাজ খুব কষ্টকর।	mahirap; nakakapagod	Mahirap ang trabaho ni Papa.
信封	लिफ़ाफ़ा	उसने लिखी हुई चिट्ठी लिफ़ाफ़े में रख दी।	খাম	সে লেখা চিঠিটি খামের মধ্যে রেখেছে।	sobre	Inilagay niya sa sobre ang naisulat na liham.
信息	सूचना; जानकारी	कृपया अपनी संपर्क जानकारी मुझे भेज दें।	তথ্য; বার্তা	দয়া করে তোমার যোগাযোগের তথ্য আমাকে পাঠাও।	impormasyon; mensahe	Pakiipadala sa akin ang impormasyon sa pakikipag-ugnayan sa iyo.
信心	आत्मविश्वास; भरोसा	हमें तुम पर बहुत भरोसा है, तुम ज़रूर कर सकते हो।	আত্মবিশ্বাস; ভরসা	তোমার ওপর আমাদের খুব ভরসা আছে, তুমি নিশ্চয়ই পারবে।	tiwala	May malaking tiwala kami sa iyo, tiyak na kaya mo.
兴奋	उत्साहित; उत्साह	बच्चों ने जब सुना कि वसंत भ्रमण पर जाना है, तो वे उत्साह से उछल पड़े।	উত্তেজিত; উচ্ছ্বাস	শিশুরা বসন্ত ভ্রমণে যাওয়ার কথা শুনে উত্তেজনায় লাফিয়ে উঠল।	nasabik; kasabikan	Napatalon sa tuwa ang mga bata nang marinig nilang pupunta sila sa pamamasyal sa tagsibol.
行	ठीक; चल सकता है	क्या ऐसा ठीक है?	ঠিক আছে; চলবে	এভাবে চলবে কি?	ayos; puwede	Ayos ba ito?
醒	जागना	मैं सुबह छह बजे ही जाग गया।	জাগা; ঘুম ভাঙা	আমি সকাল ছয়টায়ই জেগে উঠেছি।	gumising	Alas-sais pa lang ng umaga ay nagising na ako.
幸福	सुख; खुशहाल	पैसे से सुख नहीं खरीदा जा सकता।	সুখ; সুখী	টাকায় সুখ কেনা যায় না।	kaligayahan	Hindi nabibili ng pera ang kaligayahan.
性别	लिंग	कृपया फ़ॉर्म की दूसरी पंक्ति में लिंग भरें।	লিঙ্গ	দয়া করে ফর্মের দ্বিতীয় লাইনে লিঙ্গ লিখুন।	kasarian	Pakisulat ang kasarian sa ikalawang linya ng pormularyo.
性格	स्वभाव; व्यक्तित्व	मेरी पत्नी का स्वभाव बहुत अच्छा है, वह कभी ग़ुस्सा नहीं करती।	স্বভাব; ব্যক্তিত্ব	আমার স্ত্রীর স্বভাব খুব ভালো, সে কখনো রাগ করে না।	pagkatao; ugali	Napakaganda ng ugali ng asawa ko at hindi siya nagagalit.
修理	मरम्मत करना; ठीक करना	मरम्मत के बाद मेरा कंप्यूटर फिर सामान्य रूप से काम करने लगा।	মেরামত করা; ঠিক করা	মেরামতের পর আমার কম্পিউটার আবার স্বাভাবিকভাবে কাজ করছে।	ayusin; kumpunihin	Pagkatapos kumpunihin, gumagana na ulit nang maayos ang kompyuter ko.
许多	बहुत से; अनेक	सड़क पर बहुत से कूड़ेदान हैं।	অনেক; বহু	রাস্তায় অনেক ডাস্টবিন আছে।	marami	Maraming basurahan sa kalye.
学期	सत्र; सेमेस्टर	इस सत्र में मैंने कला, इतिहास और अर्थशास्त्र समेत कई पाठ्यक्रम लिए।	সেমিস্টার; শিক্ষাবর্ষের পর্ব	এই সেমিস্টারে আমি শিল্প, ইতিহাস ও অর্থনীতিসহ অনেক কোর্স নিয়েছি।	semestre	Ngayong semestre, kumuha ako ng maraming kurso, kabilang ang sining, kasaysayan at ekonomiya.
呀	अरे; आश्चर्य सूचक कण	अरे, बर्फ़ पड़ रही है!	আরে; বিস্ময়সূচক কণা	আরে, তুষার পড়ছে!	ay; aba	Ay, umuulan ng niyebe!
压力	दबाव	हाल में उस पर काम का बहुत दबाव है।	চাপ	সম্প্রতি তার কাজের চাপ খুব বেশি।	presyon; bigat	Matindi ang presyon niya sa trabaho kamakailan.
牙膏	टूथपेस्ट	टूथपेस्ट ख़त्म हो गया है, कल खरीद लेते हैं।	টুথপেস্ট	টুথপেস্ট শেষ হয়ে গেছে, কাল কিনব।	pasta ng ngipin	Naubos na ang pasta ng ngipin, bumili tayo bukas.
亚洲	एशिया	चीन एशिया का देश है।	এশিয়া	চীন একটি এশীয় দেশ।	Asya	Ang Tsina ay bansang Asyano.
严格	सख़्त	शिक्षक हमसे बहुत सख़्त अपेक्षाएँ रखते हैं।	কঠোর; কড়া	শিক্ষক আমাদের প্রতি খুব কঠোর।	mahigpit	Mahigpit ang guro sa mga hinihingi niya sa amin.
严重	गंभीर	उसकी बीमारी बहुत गंभीर है।	গুরুতর	তার অসুখ খুব গুরুতর।	malubha; seryoso	Malubha ang sakit niya.
盐	नमक	नमक ज़्यादा पड़ गया है, सब्ज़ी थोड़ी नमकीन है।	লবণ	লবণ বেশি পড়েছে, তরকারিটা একটু নোনতা।	asin	Nasobrahan ang asin kaya medyo maalat ang ulam.
研究	शोध करना; अध्ययन	वह इस समस्या पर शोध कर रहा है।	গবেষণা করা; গবেষণা	সে এই সমস্যাটি নিয়ে গবেষণা করছে।	magsaliksik; pananaliksik	Sinasaliksik niya ang problemang ito.
演出	प्रदर्शन; मंचन करना	पहले प्रदर्शन के समय वह बहुत घबराया हुआ था।	প্রদর্শন; অভিনয় অনুষ্ঠান	প্রথম প্রদর্শনে সে খুব নার্ভাস ছিল।	pagtatanghal	Nerbiyoso siya sa unang pagtatanghal.
演员	अभिनेता; कलाकार	वह एक प्रसिद्ध अभिनेता है।	অভিনেতা; শিল্পী	সে একজন বিখ্যাত অভিনেতা।	aktor; artista	Isang sikat na aktor siya.
眼镜	चश्मा	उसने काले रंग का चश्मा पहना है।	চশমা	সে একজোড়া কালো চশমা পরে আছে।	salamin sa mata	Nakasuot siya ng itim na salamin sa mata.
阳光	धूप; सूरज की रोशनी	धूप खिड़की से कमरे में आई।	রোদ; সূর্যালোক	রোদ জানালা দিয়ে ঘরে ঢুকেছে।	sikat ng araw	Pumasok sa silid ang sikat ng araw mula sa bintana.
养成	आदत बनाना; विकसित करना	मैंने बचपन से ही यह आदत बना ली है।	গড়ে তোলা; অভ্যাস করা	ছোটবেলা থেকেই আমি এই অভ্যাস গড়ে তুলেছি।	linangin; makasanayan	Bata pa lang ako ay nakasanayan ko na ito.
样子	रूप; ढंग	इस कपड़े का डिज़ाइन बहुत अच्छा है।	চেহারা; ধরন	এই পোশাকটির ধরন বেশ ভালো।	anyo; itsura	Maganda ang anyo ng damit na ito.
邀请	निमंत्रण देना; निमंत्रण	उसने सबका निमंत्रण ठुकरा दिया।	আমন্ত্রণ জানানো; আমন্ত্রণ	সে সবার আমন্ত্রণ প্রত্যাখ্যান করেছে।	anyayahan; paanyaya	Tinanggihan niya ang paanyaya ng lahat.
要是	अगर; यदि	अगर तुम पहले आ जाओ, तो मेरा थोड़ा इंतज़ार करना।	যদি	তুমি যদি আগে এসে যাও, তাহলে আমার জন্য একটু অপেক্ষা করো।	kapag; kung	Kung mauna kang dumating, hintayin mo muna ako sandali.
钥匙	चाबी	मैं आज चाबी लाना भूल गया।	চাবি	আজ আমি চাবি আনতে ভুলে গেছি।	susi	Nakalimutan kong dalhin ang susi ngayon.
也许	शायद	शायद वह नहीं आएगा।	সম্ভবত; হয়তো	সে হয়তো আর আসবে না।	marahil; baka	Baka hindi na siya darating.
叶子	पत्ता	वसंत आ गया है, छोटे पेड़ पर नए पत्ते निकल आए हैं।	পাতা	বসন্ত এসেছে, ছোট গাছে নতুন পাতা গজিয়েছে।	dahon	Dumating na ang tagsibol at nagkaroon ng bagong dahon ang munting puno.
页	पृष्ठ; पन्ना	कृपया दसवें पृष्ठ पर पलटिए।	পৃষ্ঠা; পাতা	দয়া করে দশ নম্বর পৃষ্ঠায় খুলুন।	pahina	Pakibuklat sa ikasampung pahina.
一切	सब कुछ	घर के सारे काम माँ संभालती हैं।	সবকিছু; সব	বাড়ির সবকিছুই মা দেখাশোনা করেন।	lahat	Ina ang namamahala sa lahat ng bagay sa bahay.
以	के रूप में लेना; से	कृपया इस वाक्य को उदाहरण के रूप में लें।	হিসেবে; দিয়ে	দয়া করে এই বাক্যটিকে উদাহরণ হিসেবে নিন।	gamitin bilang; bilang	Gamitin mo ang pangungusap na ito bilang halimbawa.
以为	सोचना; समझना	मैंने सोचा था कि तुम जा चुके हो।	মনে করা; ভাবা	আমি ভেবেছিলাম তুমি চলে গেছ।	akala	Akala ko umalis ka na.
意见	राय; सुझाव	मैं तुम्हारी सभी राय स्वीकार करता हूँ।	মতামত; পরামর্শ	তোমার সব মতামত আমি গ্রহণ করি।	opinyon; mungkahi	Tinatanggap ko ang lahat ng opinyon mo.
艺术	कला	मुझे कला में बहुत रुचि है।	শিল্প	শিল্পে আমার খুব আগ্রহ।	sining	Interesado ako sa sining.
因此	इसलिए; परिणामस्वरूप	वह बीमार था, इसलिए कक्षा में नहीं आया।	তাই; সুতরাং	সে অসুস্থ ছিল, তাই ক্লাসে আসেনি।	kaya; samakatuwid	May sakit siya, kaya hindi siya pumasok sa klase.
引起	कारण बनना; पैदा करना	इस बात से सबकी नाराज़गी पैदा हुई।	ঘটানো; সৃষ্টি করা	এই বিষয়টি সবার অসন্তোষ সৃষ্টি করেছে।	magdulot; maging sanhi	Nagdulot ng pagkainis sa lahat ang bagay na ito.
印象	छाप; प्रभाव	उसने मुझ पर बहुत अच्छा प्रभाव छोड़ा।	ছাপ; ধারণা	সে আমার ওপর খুব ভালো ছাপ ফেলেছে।	impresyon	Nag-iwan siya sa akin ng napakagandang impresyon.
赢	जीतना	कल के फ़ुटबॉल मैच में कौन जीता?	জেতা	গতকালের ফুটবল ম্যাচে কে জিতেছে?	manalo	Sino ang nanalo sa laban sa putbol kahapon?
应聘	नौकरी के लिए आवेदन करना	वह इस नौकरी के लिए आवेदन करना चाहती है।	চাকরির জন্য আবেদন করা	সে এই চাকরির জন্য আবেদন করতে চায়।	mag-aplay sa trabaho	Gusto niyang mag-aplay sa trabahong ito.
勇敢	बहादुर; साहसी	बड़ा भाई बहुत बहादुर आदमी है।	সাহসী	ভাই একজন খুব সাহসী মানুষ।	matapang	Ang kuya ko ay napakatapang na tao.
永远	हमेशा; सदा	मैं तुम्हारी मदद कभी नहीं भूलूँगा।	চিরকাল; সবসময়	তুমি আমাকে যে সাহায্য করেছ, তা আমি কখনো ভুলব না।	magpakailanman; kailanman	Hindi ko kailanman malilimutan ang tulong mo sa akin.
优点	खूबी; मज़बूत पक्ष	इंसान को अपनी कमियों की तुलना दूसरों की खूबियों से नहीं करनी चाहिए।	গুণ; শক্তি	মানুষের উচিত নয় নিজের দুর্বলতার সঙ্গে অন্যের গুণের তুলনা করা।	kalakasan; kabutihan	Hindi dapat ihambing ng tao ang sarili niyang kahinaan sa kalakasan ng iba.
优秀	उत्कृष्ट; बहुत अच्छा	वह बहुत उत्कृष्ट डॉक्टर है।	উৎকৃষ্ট; চমৎকার	সে একজন অত্যন্ত চমৎকার ডাক্তার।	mahusay; napakahusay	Napakahusay niyang doktor.
幽默	हास्यपूर्ण; विनोद	प्रोफ़ेसर ली बहुत विनोदी ढंग से बोलते हैं।	রসিক; হাস্যরস	অধ্যাপক লি খুব রসিকভাবে কথা বলেন।	mapagbiro; katatawanan	Napakamapagpatawa magsalita si Propesor Li.
尤其	खासकर; विशेष रूप से	उसे चित्र बनाना पसंद है, खासकर चीनी चित्रकला।	বিশেষ করে	সে ছবি আঁকতে পছন্দ করে, বিশেষ করে চীনা ছবি।	lalo na	Mahilig siyang magpinta, lalo na ng tradisyonal na pinturang Tsino.
由	द्वारा; से	यह कार्यक्रम हम आयोजित करेंगे।	দ্বারা; থেকে	এই অনুষ্ঠানটি আমরা আয়োজন করব।	ng; mula sa	Kami ang magdaraos ng aktibidad na ito.
由于	के कारण	बारिश के कारण प्रतियोगिता स्थगित हो गई।	কারণে; জন্য	বৃষ্টির কারণে প্রতিযোগিতাটি পিছিয়ে গেছে।	dahil sa	Dahil sa ulan, ipinagpaliban ang paligsahan.
邮局	डाकघर	डाकघर सुबह नौ बजे खुलता है।	ডাকঘর	ডাকঘর সকাল নয়টায় খোলে।	tanggapan ng koreo	Nagbubukas ang tanggapan ng koreo nang alas-nuwebe ng umaga.
友好	मित्रतापूर्ण	मेरा मकान मालिक बहुत मित्रतापूर्ण है और अक्सर मेरी मदद करता है।	বন্ধুত্বপূর্ণ	আমার বাড়িওয়ালা খুব বন্ধুত্বপূর্ণ, প্রায়ই আমাকে সাহায্য করেন।	palakaibigan	Palakaibigan ang may-ari ng bahay na inuupahan ko at madalas niya akong tinutulungan.
友谊	दोस्ती; मित्रता	हमारे बीच बहुत गहरी दोस्ती है।	বন্ধুত্ব	আমাদের মধ্যে গভীর বন্ধুত্ব আছে।	pagkakaibigan	May malalim na pagkakaibigan sa pagitan namin.
有趣	दिलचस्प; रोचक	यह सचमुच एक दिलचस्प सपना है!	মজার; আকর্ষণীয়	এটা সত্যিই একটা মজার স্বপ্ন!	kawili-wili	Talagang kawili-wili ang panaginip na ito!
于是	इसलिए; तब	मुझे उससे कुछ पूछना था, इसलिए मैंने उसे फ़ोन किया।	তাই; সুতরাং	তার কাছে কিছু জানতে চেয়েছিলাম, তাই তাকে ফোন করলাম।	kaya	May gusto akong itanong sa kanya, kaya tinawagan ko siya.
愉快	आनंदमय; प्रसन्न	तुम्हारा सप्ताहांत सुखद हो!	আনন্দময়; সুখকর	তোমার সপ্তাহান্ত আনন্দময় হোক!	masaya; kaaya-aya	Maging masaya sana ang katapusan ng linggo mo!
与	साथ; और	वह आत्मविश्वासी है और दूसरों से प्रतिस्पर्धा करना पसंद करता है।	সঙ্গে; এবং	সে খুব আত্মবিশ্বাসী এবং অন্যদের সঙ্গে প্রতিযোগিতা করতে ভালোবাসে।	kasama; at	Tiwala siya sa sarili at mahilig makipagkumpetensiya sa iba.
羽毛球	बैडमिंटन	क्या तुम अक्सर बैडमिंटन खेलते हो?	ব্যাডমিন্টন	তুমি কি প্রায়ই ব্যাডমিন্টন খেলো?	badminton	Madalas ka bang maglaro ng badminton?
语法	व्याकरण	मैंने कुछ बुनियादी व्याकरण सीखा है।	ব্যাকরণ	আমি কিছু মৌলিক ব্যাকরণ শিখেছি।	balarila	Natutuhan ko ang ilang batayang balarila.
语言	भाषा	किसी भाषा को सीखने के लिए उसके व्याकरण की थोड़ी समझ चाहिए।	ভাষা	একটি ভাষা শিখতে হলে তার ব্যাকরণ সম্পর্কে কিছুটা বোঝাপড়া দরকার।	wika	Kailangan ng kaunting pag-unawa sa balarila kapag nag-aaral ng isang wika.
预习	पहले से पाठ तैयार करना	कृपया पाठ को अच्छी तरह पहले से पढ़ लें।	পূর্বপ্রস্তুতি নেওয়া; আগে পড়ে নেওয়া	দয়া করে পাঠ্যটি ভালোভাবে আগে পড়ে নাও।	maghanda ng aralin	Pakihanda nang mabuti ang aralin bago ang klase.
原来	पहले वाला; मूल	मैं अभी भी पहले वाली जगह पर रहता हूँ।	আগের; মূল	আমি এখনও আগের জায়গাতেই থাকি।	dati; orihinal	Nakatira pa rin ako sa dati kong lugar.
原谅	माफ़ करना	कृपया मुझे अभी कही हुई बात के लिए माफ़ कर दें।	ক্ষমা করা	আমি একটু আগে যা বলেছি, দয়া করে আমাকে ক্ষমা করো।	patawarin	Patawarin mo sana ako sa sinabi ko kanina.
原因	कारण; वजह	उसने कारण बहुत साफ़-साफ़ समझाया।	কারণ; কারণসূচক বিষয়	সে কারণটি খুব পরিষ্কারভাবে ব্যাখ্যা করেছে।	dahilan	Malinaw niyang ipinaliwanag ang dahilan.
约会	मुलाक़ात; प्रेम-भेंट	उसने श्याओ ली के साथ मिलना-जुलना शुरू कर दिया।	ডেট; সাক্ষাৎ	সে শিয়াও লির সঙ্গে ডেট করা শুরু করেছে।	tipan; pakikipag-date	Nagsimula na siyang makipag-date kay Xiao Li.
阅读	पढ़ना; पठन	मैं यह उपन्यास पढ़ रहा हूँ।	পড়া; পাঠ	আমি এই উপন্যাসটি পড়ছি।	pagbasa; magbasa	Binabasa ko ang nobelang ito.
云	बादल	आसमान में बादल बढ़ते जा रहे हैं।	মেঘ	আকাশে মেঘ ক্রমেই বাড়ছে।	ulap	Parami nang parami ang ulap sa langit.
允许	अनुमति देना	कृपया मुझे अपना परिचय देने दें।	অনুমতি দেওয়া	দয়া করে আমাকে নিজের পরিচয় দিতে দিন।	pahintulutan	Pahintulutan ninyo akong magpakilala.
杂志	पत्रिका	इस पत्रिका के सभी लेख बहुत अच्छे लिखे गए हैं।	পত্রিকা; ম্যাগাজিন	এই পত্রিকার লেখাগুলো সব খুব ভালো লেখা।	magasin	Maganda ang pagkakasulat ng mga artikulo sa magasing ito.
咱们	हम लोग	इस महीने हमारे रहने का ख़र्च कितना है?	আমরা; চল আমরা	এই মাসে আমাদের জীবনযাপনের খরচ কত?	tayo; natin	Magkano ang gastos natin sa pamumuhay ngayong buwan?
暂时	अस्थायी रूप से; फ़िलहाल	उसने गाड़ी फ़िलहाल सड़क के किनारे खड़ी कर दी।	সাময়িকভাবে; আপাতত	সে আপাতত গাড়িটি রাস্তার পাশে রেখেছে।	pansamantala	Pansamantala niyang ipinarada ang kotse sa tabi ng daan.
脏	गंदा	मैंने गलती से कपड़े गंदे कर दिए।	নোংরা	আমি অসাবধানে কাপড়টা নোংরা করে ফেলেছি।	marumi	Hindi ko sinasadyang nadumihan ang damit ko.
责任	ज़िम्मेदारी; कर्तव्य	इस मामले में हम सबकी ज़िम्मेदारी है।	দায়িত্ব	এই বিষয়ে আমাদের সবার দায়িত্ব আছে।	pananagutan; tungkulin	May pananagutan tayong lahat sa bagay na ito.
增加	बढ़ना; बढ़ाना	इस साल विद्यार्थियों की संख्या बढ़ गई है।	বাড়া; বাড়ানো	এই বছর ছাত্রসংখ্যা বেড়েছে।	dagdagan; tumaas	Tumaas ang bilang ng mga estudyante ngayong taon.
占线	लाइन व्यस्त होना	मैंने लगातार कई बार फ़ोन किया, उसका फ़ोन हर बार व्यस्त था।	লাইন ব্যস্ত থাকা	আমি কয়েকবার টানা ফোন করেছি, তার ফোন সব সময় ব্যস্ত ছিল।	abala ang linya	Ilang beses akong tumawag nang sunod-sunod, pero abala ang linya niya.
招聘	भर्ती करना; भर्ती	कंपनी नए कर्मचारियों की भर्ती कर रही है।	নিয়োগ করা; নিয়োগ	কোম্পানি নতুন কর্মচারী নিয়োগ করছে।	magrekrut; pagkuha ng empleyado	Nagre-rekrut ang kompanya ng mga bagong empleyado.
照	के अनुसार; पालन करना	इस योजना के अनुसार काम करो।	অনুযায়ী; অনুসরণ করা	এই পরিকল্পনা অনুযায়ী কাজ করো।	ayon sa; sundin	Sundin mo ang planong ito.
真正	सच्चा; असली	सच्चा दोस्त कठिनाई में तुम्हारी मदद करता है।	সত্যিকারের; আসল	সত্যিকারের বন্ধু কষ্টের সময় তোমাকে সাহায্য করে।	tunay	Tutulungan ka ng tunay na kaibigan kapag may nahaharap kang hirap.
整理	समेटना; व्यवस्थित करना	कृपया मेज़ पर रखी किताबें व्यवस्थित कर दो।	গুছানো; সাজানো	দয়া করে টেবিলের বইগুলো গুছিয়ে দাও।	ayusin	Pakiayos ang mga aklat sa mesa.
正常	सामान्य	मरम्मत के बाद मेरा कंप्यूटर फिर सामान्य रूप से काम करने लगा।	স্বাভাবিক	মেরামতের পর আমার কম্পিউটার আবার স্বাভাবিকভাবে কাজ করছে।	normal	Pagkatapos kumpunihin, gumagana na ulit nang normal ang kompyuter ko.
正好	ठीक; बिल्कुल	तुम्हारी बात मेरी समझ से ठीक उलटी है।	ঠিক; একেবারে	তুমি যা বলেছ, তা আমার বোঝার ঠিক বিপরীত।	sakto; eksakto	Eksaktong kabaligtaran ng pagkaunawa ko ang sinabi mo.
正确	सही	तुम्हारा निर्णय पूरी तरह सही है।	সঠিক	তোমার বিচার সম্পূর্ণ সঠিক।	tama	Ganap na tama ang paghusga mo.
正式	औपचारिक; आधिकारिक	अब प्रतियोगिता औपचारिक रूप से शुरू होती है।	আনুষ্ঠানিক; সরকারি	এখন প্রতিযোগিতা আনুষ্ঠানিকভাবে শুরু হচ্ছে।	pormal; opisyal	Opisyal nang nagsisimula ang paligsahan ngayon.
证明	साबित करना; प्रमाण	तथ्यों ने साबित कर दिया कि वह सही है।	প্রমাণ করা; প্রমাণ	তথ্য প্রমাণ করেছে যে সে ঠিক।	patunayan; patunay	Pinatunayan ng mga katotohanan na tama siya.
之	का; में से एक	यह चीनी संस्कृति का एक हिस्सा है।	এর; মধ্যে একটি	এটি চীনা সংস্কৃতির একটি অংশ।	ng; isa sa	Ito ay isa sa mga bahagi ng kulturang Tsino.
支持	समर्थन करना	हम दोनों को एक-दूसरे का समर्थन करना चाहिए।	সমর্থন করা	আমাদের দুজনের একে অন্যকে সমর্থন করা দরকার।	suportahan	Dapat kaming dalawa ay magsuportahan.
知识	ज्ञान	मैंने पढ़ाई से बहुत ज्ञान प्राप्त किया।	জ্ঞান	আমি পড়ার মাধ্যমে অনেক জ্ঞান অর্জন করেছি।	kaalaman	Marami akong nakuhang kaalaman sa pagbabasa.
值得	क़ाबिल होना; योग्य होना	यह उपन्यास पढ़ने लायक है।	যোগ্য হওয়া; মূল্যবান হওয়া	এই উপন্যাসটি পড়ার মতো।	karapat-dapat; sulit	Sulit basahin ang nobelang ito.
植物	पौधा; वनस्पति	इस तरह के पौधे को बहुत धूप चाहिए।	উদ্ভিদ; গাছ	এই ধরনের গাছের অনেক রোদ দরকার।	halaman	Kailangan ng ganitong halaman ng maraming sikat ng araw.
直接	सीधा; सीधे	काम के बाद वह सीधे घर लौट गया।	সরাসরি	কাজ শেষে সে সরাসরি বাড়ি ফিরেছে।	diretso	Pagkatapos ng trabaho, dumiretso siya pauwi.
职业	पेशा; व्यवसाय	तुम्हारा आदर्श पेशा क्या है?	পেশা	তোমার আদর্শ পেশা কী?	hanapbuhay; propesyon	Ano ang pangarap mong propesyon?
只好	मजबूर होकर; कोई चारा न होना	बारिश बहुत तेज़ थी, इसलिए हमें घर में ही रहना पड़ा।	বাধ্য হয়ে; উপায় না থাকা	বৃষ্টি খুব জোরে হচ্ছিল, তাই আমাদের বাড়িতেই থাকতে হলো।	walang magawa kundi	Sobrang lakas ng ulan kaya wala kaming magawa kundi manatili sa bahay.
只要	जब तक; बस	जब तक मेहनत करोगे, तुम यह काम ज़रूर अच्छी तरह कर पाओगे।	যতক্ষণ; শুধু যদি	শুধু পরিশ্রম করলেই তুমি নিশ্চয়ই কাজটি ভালো করতে পারবে।	basta	Basta magsikap ka, tiyak na magagawa mo nang mabuti ang bagay na ito.
指	इशारा करना; बताना	मेरी गलती बताने के लिए धन्यवाद।	ইশারা করা; নির্দেশ করা	আমার ভুলটি দেখিয়ে দেওয়ার জন্য ধন্যবাদ।	ituro	Salamat sa pagturo ng pagkakamali ko.
至少	कम से कम	यह इमारत कम से कम सौ मीटर ऊँची है।	অন্তত; কমপক্ষে	এই ভবনটি অন্তত একশ মিটার উঁচু।	hindi bababa sa; kahit man lang	Hindi bababa sa isang daang metro ang taas ng gusaling ito.
质量	गुणवत्ता	इन जूतों की गुणवत्ता बहुत अच्छी है।	গুণমান	এই জুতোর গুণমান খুব ভালো।	kalidad	Napakahusay ng kalidad ng sapatos na ito.
