simplified	SR	example_SR
喂	хранити	Дете храни маче.
慰问	изразити саосећање	Лидери су отишли у болницу да изразе саосећање рањенима.
未免	помало	Овај захтев је помало превисок.
畏惧	бојати се	Никада се не боји тешкоћа.
蔚蓝	небескоплав	Небо је попримило небескоплаву боју.
温带	умерени појас	Ова биљка одговара умереној клими.
温和	умерен	Његов политички став је релативно умерен.
文凭	диплома	Овај посао захтева универзитетску диплому.
文物	културна баштина	Музеј је приказао драгоцену културну баштину.
文献	литература	Рад је цитирао велику количину литературе.
文雅	елегантан	Она се понаша елегантно.
文艺	књижевност и уметност	Овај град има снажну атмосферу књижевности и уметности.
问世	изаћи	Овај модел телефона ће ускоро изаћи.
窝	гнездо	На дрвету је птичје гнездо.
乌黑	гавран црн	Има дугу гавран црну косу.
污蔑	оклеветати	Порекао је да је оклеветао конкурента.
诬陷	подметнути	Докази показују да му је било подметнуто.
无比	неупоредиво	Када је чуо вест, осетио је неупоредиво узбуђење.
无偿	бесплатан	Волонтери пружају бесплатне услуге.
无耻	бестидан	Такво варање је веома бестидно.
无动于衷	равнодушан	Суочен са критиком, остао је равнодушан.
无非	ништа друго него	То је урадио ни због чега другог него да уштеди новац.
无辜	невин	Суд је утврдио да је невин.
无精打采	безвољан	Данас изгледа безвољно.
无赖	нитков	Сељани не желе да имају посла са тим нитковом.
无理取闹	правити проблеме без разлога	Молим те, немој овде правити проблеме без разлога.
无能为力	немоћан	Суочени са поплавом, сељани су били немоћни.
无穷无尽	бескрајан	Пустиња је изгледала бескрајно.
无微不至	пажљив до најситнијих детаља	Медицинска сестра је бринула о пацијенту до најситнијих детаља.
无忧无虑	безбрижан	Деца су се безбрижно играла на трави.
无知	незнање	Незнање није разлог за одбијање учења.
侮辱	увредити	Његове речи су увредиле другу особу.
武器	оружје	То оружје се чува под јединственим надзором.
武侠	витешки борилачки роман	Од детињства воли да чита витешке борилачке романе.
武装	наоружање	Погранично подручје је појачало наоружане патроле.
舞蹈	плес	Тај плес има снажна етничка обележја.
务必	обавезно	Молимо вас да обавезно стигнете на време.
物美价廉	добар и повољан	Роба у овој продавници је добра и повољна.
物业	управљање некретнинама	Управљање некретнинама одговорно је за поправке у стамбеном насељу.
物资	залихе	Хуманитарне залихе су већ достављене погођеном подручју.
误差	грешка	У резултату мерења постоји мала грешка.
误解	неспоразум	Две стране су комуникацијом разјасниле неспоразум.
夕阳	залазеће сунце	Залазеће сунце је обојило небо златном бојом.
昔日	некадашњи	Некадашње село постало је град.
溪	поток	Мали поток тече кроз планине.
熄灭	угасити	Молим те, угаси свећу.
牺牲	жртва	Они су се жртвовали да спасу друге.
膝盖	колено	Повредио је колено.
习俗	обичај	Пролећни фестивал има много традиционалних обичаја.
媳妇	супруга	Његова супруга ради у болници.
袭击	напад	Олуја је погодила обалски град.
喜闻乐见	омиљен	Таква емисија је омиљена међу публиком.
喜悦	радост	На лицу јој се појавио радостан осмех.
系列	серија	Компанија је лансирала серију нових производа.
细菌	бактерија	Висока температура може убити бактерије.
细胞	ћелија	Људско тело се састоји од безброј ћелија.
细致	пажљив	Њено запажање је веома пажљиво.
峡谷	кањон	Река пролази кроз дубок кањон.
狭隘	ускогруд	Такав ускогруд поглед треба променити.
狭窄	узак	Ова стаза је веома уска.
霞	вечерње руменило	Вечерње руменило је зацрвенело небо.
下属	подређени	Менаџер је пажљиво саслушао мишљења подређених.
先进	напредан	Фабрика је увела напредну опрему.
先前	претходан	Претходни план се већ променио.
掀起	покренути	Ова књига је покренула талас расправа.
纤维	влакно	Ова тканина садржи природна влакна.
鲜明	јасан	Његов став је веома јасан.
嫌	не волети	Смета јој што је соба премала.
嫌疑	сумња	Тај човек је под великом сумњом.
弦	жица	На гитари је пукла једна жица.
衔接	повезати	Садржај два курса се веома добро повезује.
贤惠	честит и способан	Сматрају је честитом и способном.
闲话	оговарање	Немој оговарати друге иза леђа.
显著	значајан	Ефекат лечења је веома значајан.
宪法	устав	Устав гарантује основна права грађана.
现场	место догађаја	Новинари су већ стигли на место несреће.
现成	готов	У кухињи има готове хране.
现状	тренутно стање	Морамо разумети тренутно стање индустрије.
线索	траг	Полиција је пронашла нови траг.
陷害	подметнути	Тврдио је да му је неко подметнуо.
陷阱	замка	Ловац је поставио замку.
陷入	упасти	Компанија је упала у финансијске тешкоће.
馅儿	надев	Надев овог пецива веома лепо мирише.
乡镇	општина	Услови у општинским школама се побољшавају.
相差	разликовати се	Температуре два места разликују се за десет степени.
相等	једнак	Та два троугла имају једнаке површине.
相辅相成	надопуњавати се	Теорија и пракса се међусобно надопуњују.
相应	одговарајући	Компанија ће предузети одговарајуће мере.
镶嵌	уградити	Драги камен је уграђен у прстен.
响亮	гласан и јасан	Његов одговор је био гласан и јасан.
响应	одазвати се	Многи људи су се одазвали еколошкој иницијативи.
想方设法	покушати на све начине	Покушали су на све начине да смање трошкове.
向导	водич	Локални водич нас је одвео у планине.
向来	одувек	Он је одувек ценио поузданост.
向往	чежнути	Она чезне за мирним животом.
巷	уличица	У старој уличици отворило се много малих продавница.
相声	традиционални комични дијалог	Деда воли да слуша традиционални комични дијалог.
消除	уклонити	Комуникација може уклонити неспоразуме.
消毒	дезинфиковати	Лекар је дезинфиковао рану.
消防	ватрогасни	Ватрогасци су брзо стигли на место догађаја.
消耗	трошити	Дуго путовање троши много физичке енергије.
消灭	истребити	Радници истребљују штеточине.
潇洒	опуштен и самоуверен	Начин на који хода делује опуштено и самоуверено.
销毁	уништити	Царина је уништила фалсификовану робу.
小心翼翼	веома опрезно	Веома опрезно је отворила кутију.
效益	ефикасност	Нова опрема је побољшала производну ефикасност.
肖像	портрет	Његов портрет виси на зиду.
协会	удружење	Ово удружење помаже младим предузетницима.
协商	преговарати	Обе стране су спремне да наставе преговоре.
协调	координирати	Руководилац пројекта је одговоран за координацију ресурса.
协议	споразум	Две стране су потписале споразум о сарадњи.
协助	помоћи	Волонтери су помогли старијима да пређу улицу.
携带	носити	Путници не смеју носити опасну робу.
屑	струготина	На столу има много дрвених струготина.
泄露	разгласити	Запослени не смеју разгласити податке о клијентима.
泄气	обесхрабрити се	Немој се обесхрабрити после неуспеха.
谢绝	љубазно одбити	Хотел љубазно одбија храну донету споља.
心得	стечено искуство	Поделила је шта је научила током учења.
心甘情愿	драге воље	Остао је да помогне потпуно драге воље.
心灵	дух	Музика је утешила њен дух.
心态	ментални склоп	Важно је задржати позитиван ментални склоп.
心疼	болети за неким	Мајку је болело због повређеног детета.
心血	мукотрпан труд	Ова књига садржи ауторов мукотрпан труд.
心眼儿	ситничавост	Он је помало ситничав.
新陈代谢	метаболизам	Вежбање може подстаћи метаболизам.
新郎	младожења	Младожења је поздрављао госте на вратима.
新娘	млада	Млада је носила белу венчаницу.
新颖	нов и оригиналан	Овај дизајн је веома оригиналан.
欣慰	бити задовољан	Напредак детета испунио ју је задовољством.
欣欣向荣	процветати	Туризам у граду процветава.
薪水	плата	Његова плата је довољна за издржавање породице.
辛勤	марљив	Пољопривредници марљиво раде да узгоје усеве.
信赖	веровати	Купци веома верују овој компанији.
信念	уверење	Чврсто уверење га је одржало.
信仰	вера	Она поштује различите вере.
信誉	углед	Предузеће мора да штити свој углед.
兴高采烈	усхићен	Деца су усхићено утрчала у учионицу.
兴隆	успешан	Ова стара продавница успешно послује.
兴旺	процветати	Тржишна економија све више процветава.
腥	рибљи	Ова риба мало мирише на рибу.
刑事	кривични	Полиција истражује кривични случај.
形态	облик	Облик биљке се мења са окружењем.
行政	административни	Административно одељење обрађује пријаве.
兴致勃勃	са великим интересовањем	Сви су са великим интересовањем расправљали о плану.
性感	секси	Ова вечерња хаљина изгледа веома секси.
性命	живот	Лекар му је спасао живот.
性能	перформансе	Овај рачунар има добре перформансе.
凶恶	опасан	Тај пас изгледа веома опасно.
凶手	убица	Полиција је коначно ухватила убицу.
汹涌	буран	Бурни таласи су ударали о обалу.
胸怀	широкогрудост	Он је човек широкогрудости.
胸膛	груди	Војник је истурио груди.
雄厚	снажан	Компанија има снажне финансијске ресурсе.
雄伟	величанствен	Овај мост је веома величанствен.
修复	поправка	Инжењери поправљају систем.
修建	изградити	Влада планира да изгради нови аеродром.
修养	култура	Добра култура се види у детаљима.
羞耻	срам	Осетио је срам након што је лагао.
嗅觉	њух	Псећи њух је веома оштар.
绣	вести	Бака уме да везе цвеће.
虚假	лажан	Веб-сајт је објавио лажне информације.
虚荣	тастина	Тастина га је натерала да потроши превише новца.
虚伪	лицемеран	Она не воли лицемерну учтивост.
需求	потражња	Потражња на тржишту расте.
须知	упутства која треба знати	Молимо прво прочитајте упутства за регистрацију.
许可	дозвола	Не можеш ући без дозволе.
序言	предговор	Аутор у предговору објашњава позадину.
畜牧	сточарство	Травњаци су погодни за развој сточарства.
酗酒	прекомерно пијење	Дуготрајно прекомерно пијење штети здрављу.
喧哗	бука	У библиотеци је забрањено правити буку.
宣誓	положити заклетву	Нови чланови су положили заклетву на састанку.
宣扬	промовисати	Школа промовише поштење и поузданост.
悬挂	висити	Слика виси на зиду.
悬念	неизвесност	Крај филма оставља неизвесност.
悬殊	велика разлика	Разлика у снази између два тима је огромна.
悬崖峭壁	стрме литице	Поред планинског пута налазе се стрме литице.
旋律	мелодија	Ова песма има лепу мелодију.
旋转	окретати се	Ветрењача се окреће на ветру.
选拔	одабрати најбоље	Школа одабира спортисте.
选举	избори	Село је одржало изборе.
选手	такмичар	Овај такмичар је наступио стабилно.
炫耀	хвалисати се	Увек воли да се хвалише богатством.
削	смањити	Компанија је смањила неке трошкове.
削弱	ослабити	Умор слаби расуђивање.
学说	теорија	Ова теорија има велики утицај.
学位	академски степен	Она је стекла магистарски степен.
雪上加霜	погоршати лошу ситуацију	Губитак посла, а затим болест, заиста су погоршали ситуацију.
血压	крвни притисак	Лекар га је подсетио да контролише крвни притисак.
熏陶	утицај	Од детињства је била под утицајем музике.
寻觅	тражити	Свуда су тражили одговарајући смештај.
巡逻	патролирати	Полиција ноћу патролира улицама.
循环	кружење	Вода кружи у систему.
循序渐进	корак по корак	Учење језика треба да напредује корак по корак.
压迫	потлачити	Стари систем је потлачио обичне људе.
压岁钱	новогодишњи новац	Дете је добило новогодишњи новац.
压缩	компримовати	Софтвер може да компримује величину слике.
压抑	потиснути	Трудио се да потисне унутрашњи бес.
压榨	цедити	Машина цеди сок од шећерне трске.
压制	сузбити	Лек може сузбити бол.
鸦雀无声	потпуна тишина	Када је наставник ушао, у учионици је завладала потпуна тишина.
亚军	друго место	Освојила је друго место на такмичењу.
淹没	потопити	Поплава је потопила ниско село.
烟花爆竹	ватромет и петарде	Током празника забрањени су ватромет и петарде.
严峻	озбиљан	Ситуација на тржишту рада и даље је озбиљна.
严寒	јака хладноћа	Јака хладноћа утиче на саобраћај.
严禁	строго забранити	Овде је пушење строго забрањено.
严厉	строг	Наставник га је строго критиковао.
严密	строг	Складиште има строг надзор.
岩石	стена	Стене поред мора су веома тврде.
延期	одложити	Састанак је одложен за следећу недељу.
延伸	протезати се	Пут се протеже према северу.
延续	наставити се	Ова традиција се наставила сто година.
沿海	обалски	Обалски градови имају развијену трговину.
炎热	врућ	Вруће време умара људе.
言论	изјава	Јавност обраћа пажњу на његове изјаве.
掩盖	прикрити	Покушао је да прикрије грешку.
掩护	покривати	Саиграчи су били задужени за покривање повлачења.
掩饰	прикривати	Трудила се да прикрије нервозу.
演变	развијати се	Градска структура се непрестано развија.
演习	вежба	Школа је одржала противпожарну вежбу.
演绎	извести закључак	Наставник је извео овај теорем.
演奏	свирати	Оркестар свира класичну музику.
眼光	проницљивост	Он има добру инвестициону проницљивост.
眼色	дати знак погледом	Дала је колеги знак погледом.
眼神	поглед	Његов поглед је био веома одлучан.
厌恶	презирати	Он презире обмањивање.
验收	пријемна провера	Пројекат након завршетка треба да прође пријемну проверу.
验证	проверити	Експеримент је проверио хипотезу.
氧气	кисеоник	Пацијент треба да удише кисеоник.
样品	узорак	Клијент је примио узорке производа.
摇摆	љуљати се	Мали чамац се љуљао на ветру и таласима.
摇滚	рок	Млади воле рок музику.
谣言	гласина	Не шири непроверене гласине.
遥控	даљинско управљање	Он телефоном даљински управља клима уређајем.
遥远	удаљен	То село је удаљено од града.
耀眼	блештав	Сунчева светлост је била блештава.
要点	кључна тачка	Молимо забележите кључне тачке састанка.
要命	изузетно	Овај планински пут је изузетно опасан.
要素	кључни елемент	Поверење је важан елемент сарадње.
野蛮	суров	Он се противи суровој примени закона.
野心	амбиција	Његова политичка амбиција је очигледна.
液体	течност	Ова течност нема боју.
一流	првокласан	Ова болница има првокласну опрему.
一如既往	као и увек	Он нас подржава као и увек.
依旧	и даље	Киша је престала, али је улица и даље била мокра.
依据	основа	Пресуда мора да се заснива на закону.
依靠	ослањати се	Они се за живот ослањају на пољопривреду.
依赖	зависити од	Деца не би требало превише да зависе од родитеља.
依托	ослонити се на	Пројекат се развија ослањајући се на локалне ресурсе.
衣裳	одећа	Пресвукла се у чисту одећу.
一度	некада	Компанија се некада суочавала са банкротом.
一贯	доследан	Он се доследно противи расипању.
一目了然	јасно на први поглед	Садржај табеле је јасан на први поглед.
一向	одувек	Она је одувек била тачна.
仪器	инструмент	Лабораторија је купила нове инструменте.
仪式	церемонија	Церемонија доделе диплома одржаће се сутра.
疑惑	збуњеност	Студент је био збуњен одговором.
遗产	наслеђе	Овај древни град је културно наслеђе.
遗传	наследност	Ова болест може бити наследна.
遗留	оставити у наслеђе	Проблеми наслеђени из историје треба да се реше.
遗失	изгубити	Путник је изгубио пасош.
以便	како би	Молимо оставите број телефона како бисмо могли да вас контактирамо.
以免	како не би	Крени раније како не би закаснио.
以往	претходни	Претходно искуство вреди узети у обзир.
以至	до те мере да	Опсег се проширио на заједницу, па чак и на цео град.
以致	тако да	Обилна киша се наставила, тако да су путеви били прекинути.
一帆风顺	ићи глатко	Покретање посла не може увек ићи глатко.
一举两得	једним потезом постићи две користи	Вожња бициклом на посао може једним потезом донети две користи.
一丝不苟	педантан	Инжењер је педантно проверио ожичење.
亦	такође	Он је такође пристао на овај план.
异常	неуобичајен	У систему се појавила неуобичајена ситуација.
意料	очекивање	Резултат је био потпуно ван очекивања.
意识	свест	Постепено је постао свестан да је проблем озбиљан.
意图	намера	Полиција је прозрела његову намеру.
意味着	значити	Ћутање не значи слагање.
意向	намера	Обе стране су изразиле намеру за сарадњу.
意志	воља	Тешкоће испитују човекову вољу.
毅力	истрајност	Успех захтева дугорочну истрајност.
毅然	одлучно	Она је одлучно напустила компанију.
翼	крило	Прегледано је крило авиона.
阴谋	завера	Они су разоткрили заверу.
音响	озвучење	Дневна соба има добро озвучење.
引导	усмеравати	Наставник је усмеравао ученике да размишљају.
引擎	мотор	Мотор аутомобила се изненада угасио.
引用	цитирати	Рад је цитирао велику количину материјала.
隐蔽	сакрити се	Војници су се сакрили у шуми.
隐患	скривена опасност	Старо ожичење носи скривене безбедносне опасности.
隐瞒	прикривати	Није прикривао истину.
隐私	приватност	Компанија мора да штити приватност корисника.
隐约	нејасан	Из даљине се нејасно чуло певање.
饮食	исхрана	Здрава исхрана помаже опоравку.
婴儿	беба	Беба мирно спава.
英明	мудар	Вођа је донео мудру одлуку.
英勇	храбар	Ватрогасац је храбро спасао дете.
盈利	добит	Компанија је ове године почела да остварује добит.
迎面	у лице	Хладан ветар је дувао право у лице.
应酬	друштвене обавезе	Вечерас има много друштвених обавеза.
应邀	на позив	Стручњак је на позив учествовао на форуму.
庸俗	вулгаран	Садржај ове рекламе је вулгаран.
拥护	подржавати	Сви подржавају нову политику.
拥有	имати	Он има богато искуство.
勇于	усудити се	Млади треба да се усуде да покушају.
永恒	вечан	Љубав није вечно непроменљива.
涌现	појављивати се у великом броју	Одлични наставници се појављују на свим странама.
踊跃	одушевљено	Становници су се одушевљено пријавили за активност.
用户	корисник	Корисници могу да промене лозинку.
优胜劣汰	опстанак најспособнијих	Тржишна конкуренција одражава опстанак најспособнијих.
优先	приоритет	Старије особе могу имати приоритет при услузи.
优异	изванредан	Она је постигла изванредне резултате.
优越	одличан	Ово место има одличан географски положај.
忧郁	меланхоличан	Његов израз је изгледао меланхолично.
油腻	мастан	Ово јело је превише масно.
油漆	боја	Радници фарбају врата.
犹如	као	Површина језера је као огледало.
有条不紊	методичан	Састанак је текао методично.
幼稚	наиван	Ова идеја је помало наивна.
诱惑	искушење	Реклама је пуна потрошачких искушења.
愚蠢	глуп	Ова одлука је крајње глупа.
愚昧	неук	Неука схватања коче напредак.
渔民	рибар	Рибари у зору испловљавају да лове рибу.
舆论	јавно мњење	Јавно мњење има велики утицај на случај.
与日俱增	расти из дана у дан	Број туриста расте из дана у дан.
宇宙	свемир	Човечанство непрестано истражује свемир.
羽绒服	перјана јакна	Зими треба носити перјану јакну.
寓言	басна	Ова басна је веома поучна.
愈	оздрављати	Стање постаје све боље.
欲望	жеља	Он је обуздао жељу за куповином.
熨	пеглати	Она је испеглала кошуљу.
玉	жад	Овај комад жада има топлу боју.
预料	очекивати	Развој догађаја је премашио очекивања.
预期	очекивање	Продаја је била испод очекивања.
预算	буџет	Буџет пројекта треба прилагодити.
预先	унапред	Молимо унапред припремите материјале.
预言	предвидети	Његово предвиђање се није остварило.
预兆	знак упозорења	Бол може бити знак упозорења болести.
冤枉	неправедно оптужити	Немој неправедно оптужити невину особу.
元首	шеф државе	Шефови две државе одржали су разговоре.
元素	елемент	Кисеоник је хемијски елемент.
元宵节	Празник фењера	Људи током Празника фењера гледају фењере.
原告	тужилац	Тужилац је поднео нове доказе.
原理	начело	Наставник је објаснио начело рада машине.
原始	изворни	Они су сачували изворне записе.
原先	првобитни	Првобитни план се већ променио.
园林	вртови	Вртови у Суџоуу су веома познати.
圆满	успешан	Састанак је постигао потпун успех.
源泉	извор	Пракса је извор знања.
缘故	разлог	Дао је отказ из здравствених разлога.
约束	ограничити	Систем ограничава понашање запослених.
乐谱	нотни запис	Она је пажљиво читала нотни запис.
岳母	ташта	За викенд је отишао да посети ташту.
孕育	неговати	Земљиште негује нови живот.
蕴藏	садржати	Планинско подручје садржи богате минералне ресурсе.
运算	рачунска операција	Ученици вежбају математичке операције.
运行	радити	Систем ради стабилно.
酝酿	разматрати	Обе стране разматрају нови план.
杂技	акробатика	Деца воле да гледају акробатику.
杂交	хибрид	Научници проучавају хибридни пиринач.
砸	разбити се	Шоља је пала на под и разбила се.
咋	како то	Како то да се још ниси вратио?
栽培	гајити	Баштован је узгајио много цвећа.
灾难	катастрофа	Град је почео обнову после катастрофе.
宰	заклати	Сељани током празника кољу овце.
再接再厉	наставити са трудом	Након освајања награде, тим је наставио да се труди.
在意	марити	Она много мари за мишљење других.
攒	штедети	Он штеди новац за куповину рачунара.
暂且	засад	Засад остави ово питање по страни.
赞叹	дивити се	Публика се дивила глумчевом наступу.
赞助	спонзорисати	Компанија је спонзорисала ово такмичење.
糟蹋	расипати	Немој расипати ову свежу храну.
遭受	претрпети	Пољопривредно земљиште је претрпело јаку сушу.
遭殃	настрадати	Када се мост срушио, настрадали су оближњи становници.
遭遇	наићи на	На путу су наишли на снежну олују.
噪音	бука	Бука са градилишта утиче на одмор.
造型	облик	Овај модел аутомобила има веома препознатљив облик.
责怪	кривити	Молим те, немој слепо кривити дете.
贼	лопов	Полиција је ухватила тог лопова.
增添	додати	Свеже цвеће додаје боју соби.
赠送	поклонити	Продавница поклања мале поклоне.
扎	убости	Медицинска сестра му је дала ињекцију.
扎实	чврст	Његови граматички темељи су чврсти.
渣	талог	На дну шоље остао је талог кафе.
眨	трепнути	Она је трепнула очима.
诈骗	превара	Полиција је решила случај телефонске преваре.
摘要	сажетак	Сажетак рада је јасно написан.
债券	обвезница	Инвеститори купују државне обвезнице.
沾光	имати користи	И ја сам имао користи захваљујући пријатељу.
瞻仰	одати почаст	Туристи одају почаст код споменика херојима.
展示	приказати	Компанија је приказала свој најновији производ.
展望	поглед у будућност	Извештај даје поглед на будуће трендове.
展现	приказати	Дело приказује сеоски живот.
崭新	потпуно нов	Купио је потпуно нов бицикл.
斩钉截铁	одлучан	Она је одлучно одбила.
占据	заузети	Оглас је заузео целу страницу.
占领	заузети	Војска је заузела планински превој.
战斗	борба	Борба је трајала три сата.
战略	стратегија	Компанија је прилагодила развојну стратегију.
战术	тактика	Тренер је променио тактику утакмице.
战役	војни поход	Овај војни поход је променио ситуацију.
章程	правила	Удружење је усвојило нова правила.
帐篷	шатор	Подигли су шаторе крај језера.
障碍	препрека	Језичке препреке утичу на комуникацију.
招标	расписати тендер	Инжењерски пројекат је расписао јавни тендер.
招收	примати	Школа ове године прима нове ученике.
朝气蓬勃	пун енергије	Млади тим је пун енергије.
着迷	бити очаран	Дете је очарано астрономијом.
沼泽	мочвара	Експедиција је прешла мочвару.
照样	као и обично	Падала је киша, али је тренинг настављен као и обично.
照耀	обасјати	Сунчева светлост обасјава трг.
折腾	петљати	Престани да петљаш око овог старог рачунара.
遮挡	заклонити	Гране су заклониле прозор.
折	савити	Он је савио папир у авион.
折磨	мучити	Дуготрајна несаница је мучи.
侦探	детектив	Детектив је пронашао кључни траг.
斟酌	пажљиво размотрити	Молимо пажљиво размотрите формулацију.
珍贵	драгоцен	Ове фотографије су веома драгоцене.
珍稀	редак и драгоцен	Заштитите ретке и драгоцене дивље животиње.
珍珠	бисер	Она носи бисерне минђуше.
真理	истина	Пракса проверава истину.
真相	права истина	Новинар је настојао да утврди праву истину.
真挚	искрен	Она је изразила искрену захвалност.
枕头	јастук	Овај јастук је превисок.
振奋	охрабрити	Добре вести су све охрабриле.
振兴	оживети	Влада подстиче оживљавање села.
镇定	смирен	У хитној ситуацији остао је смирен.
镇静	смирен	Медицинска сестра је рекла пацијенту да остане смирен.
阵地	положај	Војници су задржали положај.
阵容	постава	Тим је објавио почетну поставу.
震撼	потресан	Овај филм је изузетно потресан.
震惊	шокирати	Вест је шокирала целу земљу.
争端	спор	Обе стране су покушале да реше гранични спор.
争夺	надметати се	Две компаније се надмећу за тржишни удео.
争气	доказати се	Он марљиво учи да би се доказао пред породицом.
争先恐后	такмичити се ко ће први	Туристи су се такмичили ко ће први ући у аутобус.
争议	контроверза	Ова одлука је изазвала контроверзу.
征服	освојити	Планинар је освојио врх.
征收	наплатити	Влада по закону наплаћује порезе.
挣扎	борити се	Птица се борила у мрежи.
正月	први лунарни месец	Током првог лунарног месеца рођаци се посећују.
蒸发	испарити	Влага је брзо испарила.
整顿	реорганизовати	Компанија је почела да реорганизује управљање.
政策	политика	Нова политика подржава мала предузећа.
政权	режим	Рат је променио локални режим.
正当	легитиман	Изнео је легитиман захтев.
正负	позитиван и негативан	Инструмент показује позитивну и негативну грешку.
正规	редован	Дете је кренуло у редовну школу.
正经	озбиљан	Коначно је почео озбиљно да говори.
正气	праведност	Друштво треба да промовише праведност.
正义	правда	Адвокат је бранио правду.
正宗	аутентичан	Овај ресторан продаје аутентичну сечуанску храну.
症状	симптом	Грозница је чест симптом.
证实	потврдити	Истрага је потврдила његову изјаву.
证书	сертификат	Она је добила стручни сертификат.
郑重	свечан	Он је свечано обећао да ће преузети одговорност.
之际	у време	У време приближавања Пролећног фестивала сви су заузети.
支撑	подупирати	Стубови подупиру кров.
支出	трошак	Кућни трошкови су знатно порасли.
支流	притока	Ова река је притока Јангцекјанга.
支配	доминирати	Емоције не би требало да доминирају расуђивањем.
支援	подршка	Лекари из многих места дошли су да пруже подршку.
支柱	стуб	Производња је стуб локалне економије.
枝	грана	Одломила је једну грану цвећа.
知觉	свест	Повређена особа је постепено повратила свест.
知足常乐	задовољство доноси срећу	Старац често каже да задовољство доноси срећу.
脂肪	масноћа	Орашасти плодови садрже здраве масноће.
侄子	братанац	Мој братанац је ове године кренуо у основну школу.
值班	бити дежуран	Медицинска сестра је вечерас дежурна.
执行	спровести	Суд је спровео пресуду.
执着	истрајан	Он је веома истрајан у својим идеалима.
殖民地	колонија	Ово острво је некада било колонија.
直播	пренос уживо	Утакмица ће се вечерас преносити уживо на интернету.
直径	пречник	Пречник овог круга је десет центиметара.
职能	функција	Функције одељења треба поново распоредити.
职位	радно место	Она се пријавила за руководеће радно место.
职务	дужност	Његова дужност је руководилац пројекта.
指标	показатељ	Продајни циљ је већ испуњен.
指定	одредити	Наставник га је одредио да одговори на питање.
指甲	нокат	Она је кратко исекла нокте.
