simplified	SV	example_SV
人质	en gisslan	Polisen räddade gisslan framgångsrikt
仁慈	vänlig	Den här läkaren är mycket vänlig mot patienter
忍耐	tålamod	Att stå i en lång kö kräver lite tålamod
忍受	uthärda	Jag kan inte uthärda bullret här
任命	utse	Styrelsen utsåg henne till chef
任性	egensinnig	Ett alltför egensinnigt barn kan påverkas i sin utveckling
任意	godtyckligt	Ändra inte uppgifterna godtyckligt
任重道远	ha ett tungt och långt ansvar	Utbildningsreformen har ett tungt ansvar och lång väg kvar
认定	fastslå	Polisen fastslog att detta var en olycka
认可	godkännande	Hans plan fick allas godkännande
仍旧	fortfarande	Många år senare bodde han fortfarande här
日新月异	utvecklas snabbt	Tekniken utvecklas snabbt dag för dag
日益	alltmer	Miljöproblemen blir alltmer allvarliga
容貌	utseende	Åren förändrade hans utseende
容纳	rymma	Den här salen rymmer femhundra personer
容器	en behållare	Häll vätskan i en glasbehållare
容忍	tolerera	Företaget kan inte tolerera bedrägeri
溶解	lösas upp	Salt löses upp i vatten
荣幸	hedrad	Jag är hedrad över att få delta i mötet
荣誉	ära	Den här medaljen representerar den högsta äran
融化	smälta	Solljuset fick is och snö att långsamt smälta
融洽	harmonisk	Relationerna mellan kollegorna är mycket harmoniska
揉	massera	Mamma masserade försiktigt mina axlar
柔和	mjuk	Ljuset är mjukt och inte bländande
儒家	konfucianism	Konfucianskt tänkande påverkade östasiatisk kultur
弱点	en svaghet	Slarv är hans främsta svaghet
若干	flera	Mötet lade fram flera förslag
撒谎	ljuga	Barn bör inte ljuga
散文	prosa	Hon tycker om att läsa modern prosa
散布	sprida	Någon spred rykten på nätet
散发	avge	Trädgården avger en frisk doft
丧失	förlora	Han förlorade inte självförtroendet
骚扰	trakassera	Trakassera inte andra passagerare
嫂子	en svägerska	Min svägerskas matlagning är mycket god
刹车	bromsa	Föraren bromsade plötsligt
啥	vad	Vad sa du nyss
筛选	filtrera	Systemet filtrerar automatiskt CV:n
山脉	en bergskedja	Den här bergskedjan är mycket lång
闪烁	blinka	Ljusen i fjärran fortsatte att blinka
擅长	vara bra på	Han är bra på att hantera komplexa problem
擅自	utan tillstånd	Anställda får inte lämna sina poster utan tillstånd
伤脑筋	besvärlig	Det här problemet är verkligen besvärligt
商标	ett varumärke	Företaget registrerade ett nytt varumärke
上级	överordnade	Han rapporterade situationen till sina överordnade
上进	motiverad att utvecklas	Hon har alltid varit motiverad att utvecklas
上任	tillträda	Den nya chefen tillträder nästa vecka
上瘾	bli beroende	Många blir beroende av korta videor
上游	uppströms	Föroreningen kommer från flodens övre lopp
尚且	till och med	Till och med vuxna kan göra misstag
捎	framföra	Hjälp mig att framföra ett meddelande
梢	en trädtopp	Fågeln satte sig i trädtoppen
哨	en vaktpost	Det står en vaktpost vid porten
奢侈	lyxig	Den här sortens konsumtion är för lyxig
舌头	en tunga	Han brände tungan
摄氏度	grader Celsius	Temperaturen i dag är trettio grader Celsius
涉及	omfatta	Rapporten omfattar flera avdelningar
社区	ett lokalsamhälle	Lokalsamhället ordnade en hälsoföreläsning
设立	inrätta	Skolan inrättade ett stipendium
设想	en idé	Den här idén behöver fortfarande diskuteras
设置	ställa in	Ställ in lösenordet igen
呻吟	jämra sig	Patienten jämrade sig svagt
深奥	djup	Innehållet i den här boken är mycket djupt
深沉	djup	Hans röst var låg och djup
深情厚谊	djup vänskap	Folken i de två länderna knöt djup vänskap
申报	deklarera	Resenärer måste deklarera föremål sanningsenligt
绅士	en gentleman	Han uppför sig som en gentleman
神经	en nerv	Stress kan påverka nervsystemet
神奇	magisk	Landskapet här är mycket magiskt
神气	energisk	Han såg särskilt energisk ut i dag
神圣	helig	Det här är en helig plikt
神态	uttryck	Hennes uttryck var mycket lugnt
神仙	en odödlig	Legenden säger att odödliga bor i bergen
审查	granska	Plattformen granskar publicerat innehåll
审理	behandla ett mål	Domstolen behandlar det här målet
审美	estetisk smak	Hans estetiska smak är mycket särpräglad
审判	en rättegång	Den offentliga rättegången väckte mediernas uppmärksamhet
慎重	försiktig	Det här beslutet måste fattas försiktigt
渗透	tränga in	Regnvattnet trängde långsamt ner i jorden
声明	ett uttalande	Företaget gjorde ett officiellt uttalande
声势	driv	Den här reklamkampanjen har starkt driv
声誉	anseende	Produktkvalitet påverkar varumärkets anseende
牲畜	boskap	Herdarna drev boskapen tillbaka till betesmarken
生存	överleva	Vilda djur behöver utrymme för att överleva
生机	livskraft	Vårregnet fyller marken med livskraft
生理	fysiologi	Sömn påverkar en persons fysiologiska tillstånd
生疏	ovan	Efter flera år utan övning var hans pianospel lite stelt
生态	ekologi	Skogsskydd hänger ihop med ekologisk balans
生物	en organism	Det finns många ovanliga organismer i havet
生效	träda i kraft	Den nya regeln träder officiellt i kraft i morgon
生肖	ett kinesiskt zodiakdjur	Vilket kinesiskt zodiakdjur har du
生锈	rosta	Cykelkedjan har redan rostat
生育	barnafödande	Sjukhuset erbjuder rådgivning om barnafödande
省会	en provinshuvudstad	Chengdu har länge varit Sichuanprovinsens huvudstad
盛产	producera rikligt	Den här platsen producerar rikligt med te av hög kvalitet
盛开	stå i full blom	Körsbärsblommorna i parken står i full blom
盛情	varm gästfrihet	Vi tackar värden för den varma gästfriheten
盛行	vara populär	Den här stilen var en gång mycket populär
胜负	utgången	Matchens sista minut avgjorde utgången
失事	haverera	Orsaken till flygplanshaveriet utreds fortfarande
失误	ett misstag	Ett litet misstag gjorde att projektet försenades
失踪	försvunnen	Polisen söker efter det försvunna barnet
尸体	en kropp	Räddningsteamet hittade offrets kropp
师范	lärarutbildande	Hon tog examen från ett lärarutbildande universitet
施加	utöva	Föräldrar bör inte utöva för stort tryck
施展	utnyttja fullt ut	Han fick äntligen en chans att utnyttja sin talang fullt ut
十足	fullständig	Han har fullständigt förtroende för resultatet
实惠	prisvärd	Priserna i den här butiken är mycket prisvärda
实力	styrka	Lagets samlade styrka är mycket stor
实施	genomföra	Regeringen började genomföra den nya planen
实事求是	söka sanningen i fakta	Forskning bör söka sanningen i fakta
实行	tillämpa	Företaget tillämpar ett flexibelt arbetssystem
实质	kärnan	Problemets kärna har inte förändrats
拾	plocka upp	Han böjde sig ner för att plocka upp nyckeln från marken
时常	ofta	Morfar talar ofta om saker från sin ungdom
时而	ibland	Vädret är ibland soligt och ibland molnigt
时光	tid	Goda tider känns alltid korta
时机	tillfälle	Nu är inget bra tillfälle för förhandlingar
时事	aktuella händelser	Studenterna diskuterar internationella aktuella händelser varje vecka
石油	olja	Oljepriserna steg igen
识别	känna igen	Systemet kan känna igen olika ansikten
使命	ett uppdrag	Att skydda miljön är ett gemensamt uppdrag
世代	generationer	Det här hantverket har förts vidare i familjen i generationer
事故	en olycka	Den här olyckan orsakade inga personskador
事迹	bedrifter	Hans hjältemodiga bedrifter spreds vida
事件	en händelse	Den här händelsen väckte allmänhetens uppmärksamhet
事态	läget	Regeringen kontrollerar hur läget utvecklas
事务	ärenden	Hon ansvarar för företagets dagliga ärenden
事项	en punkt	Bekräfta de viktiga punkterna i kontraktet
事业	en livsgärning	Han ser utbildning som sin livsgärning
势必	oundvikligen	Stigande kostnader påverkar oundvikligen priserna
势力	inflytande	Det lokala affärsinflytandet är starkt
是非	rätt och fel	Han vill inte dras in i kontorets konflikter
示范	demonstrera	Läraren demonstrerade först
示威	demonstrera	En fredlig demonstration ägde rum i centrum
示意	signalera	Chefen signalerade att alla skulle vara tysta
视力	syn	Att titta länge på skärmar kan påverka synen
视频	en video	Skicka videon till mig
视线	sikt	Den tjocka dimman blockerade förarens sikt
视野	horisont	Resor kan vidga ens horisont
试图	försöka	Han försökte förklara sitt beslut
试验	ett experiment	Forskarna genomförde många experiment
适宜	lämplig	Klimatet här är lämpligt för boende
逝世	avlida	Den här författaren avled förra året
释放	frige	Domstolen beslutade att frige den åtalade
收藏	samla	Han samlade många gamla frimärken
收缩	dra ihop sig	Kall luft kan få metall att dra ihop sig
收益	avkastning	Investeringens avkastning var högre än väntat
收音机	en radio	Mormor lyssnar på radio varje dag
守护	skydda	Läkare skyddar patienters liv
手法	teknik	Regissörens filmteknik är mycket särpräglad
手势	en gest	Han använde en gest för att visa samtycke
手艺	hantverksskicklighet	Den här hantverkarens skicklighet är mycket god
首饰	smycken	Hon bar enkla silversmycken
首要	viktigast	Säkerhet är det viktigaste
受罪	lida	Patienten led mycket efter operationen
授予	tilldela	Skolan tilldelade honom en hedersexamen
书法	kalligrafi	Han har övat kalligrafi sedan barndomen
书记	en sekreterare	Bysekreteraren ledde mötet
书籍	böcker	Biblioteket rymmer ett stort antal böcker
书面	skriftlig	Lämna skriftligt bevis
疏忽	försummelse	Det här misstaget berodde på försummelse i arbetet
疏远	glida isär	Missförståndet gjorde att de två gradvis gled isär
舒畅	avslappnad	Efter promenaden kände jag mig avslappnad och glad
数额	belopp	Ersättningsbeloppet har ännu inte bestämts
束	en bukett	Hon köpte en bukett blommor
束缚	begränsa	Traditionella idéer begränsade hans val
树立	etablera	Företaget behöver etablera en god image
竖	ställa upprätt	Ställ skylten upprätt
耍	leka med	Lek inte med mobilen under arbetstid
衰老	åldras	Träning kan bromsa åldrandet
衰退	nedgång	Den ekonomiska nedgången påverkade sysselsättningen
率领	leda	Kaptenen ledde laget framåt
涮火锅	äta hot pot	På vintern tycker alla om att äta hot pot
双胞胎	tvillingar	De är ett tvillingpar
爽快	rak	Hon svarade mycket rakt
水利	vattenhushållning	Den här regionen lägger vikt vid vattenhushållning
水龙头	en kran	Kökskranen läcker
水泥	byggcement	Arbetarna transporterade byggcement till byggplatsen
瞬间	ett ögonblick	Lamporna slocknade alla på ett ögonblick
司法	rättsväsende	Rättsväsendets oberoende kräver institutionellt skydd
司令	en befälhavare	Befälhavaren gav order om reträtt
思念	sakna	Hon saknar ofta sin hemstad
思索	fundera	Han sänkte huvudet och funderade länge
思维	tänkande	Den här träningen kan förbättra logiskt tänkande
斯文	kultiverad	Han talar på ett kultiverat och milt sätt
私自	utan tillstånd	Elever får inte lämna skolan utan tillstånd
死亡	död	Olyckan orsakade flera dödsfall
四肢	lemmar	Före träning bör du röra på lemmarna
寺庙	ett tempel	Det finns ett gammalt tempel på berget
肆无忌惮	hänsynslös	Han bröt mot reglerna helt hänsynslöst
饲养	föda upp	Gården föder upp många mjölkkor
耸	rycka på axlarna	Efter att ha hört det ryckte han bara på axlarna
艘	ett fartygsklassord	Tre lastfartyg ligger vid hamnen
苏醒	återfå medvetandet	Patienten återfick till slut medvetandet
俗话	ett ordspråk	Som ordspråket säger ger övning färdighet
塑造	forma	Miljön kan forma en persons karaktär
素食	vegetarisk mat	Den här restaurangen erbjuder vegetarisk mat
素质	kvalitet	Servicepersonalen håller hög kvalitet
诉讼	en rättegång	Båda parter beslutade att lösa frågan genom en rättegång
算数	hålla sitt ord	Du bör hålla ditt ord
随即	genast	Efter att mötet var slut gick han genast
随意	godtyckligt	Ändra inte inställningarna godtyckligt
岁月	åren	Åren förändrade hans utseende
隧道	en tunnel	Tåget passerade genom en lång tunnel
损坏	skada	Det kraftiga regnet skadade vägen
索取	begära	Kunder kan begära prover gratis
索性	helt enkelt	Regnet var för kraftigt, så vi gick helt enkelt inte ut
塌	rasa	Taket på det gamla huset rasade
踏实	lugn	Efter att ha slutfört uppgiften kände jag mig lugn
塔	ett torn	Det finns ett högt torn i stadens centrum
台风	en tyfon	Tyfonen väntas nå land i morgon
太空	rymden	Människan har alltid utforskat rymden
泰斗	en auktoritet	Han är en ledande auktoritet inom lingvistik
摊	ett stånd	Hon satte upp ett fruktstånd på marknaden
瘫痪	förlamning	Trafikolyckan gjorde hans underkropp förlamad
贪婪	girighet	Girighet kan förstöra en människa
贪污	korruption	Tjänstemannen utreddes för korruption
弹性	elasticitet	Det här materialet har mycket god elasticitet
坦白	erkänna	Han erkände till slut sanningen
叹气	sucka	När han hörde resultatet kunde han inte låta bli att sucka
探测	detektera	Utrustningen kan detektera grundvatten
探索	utforska	Forskare fortsätter att utforska universum
探讨	diskutera	Experterna diskuterade reformplanen
探望	besöka	På helgen gick jag till sjukhuset för att besöka en vän
倘若	om	Om det regnar skjuts evenemanget upp
掏	ta fram	Han tog fram nyckeln ur fickan
滔滔不绝	prata oavbrutet	När han väl talar om historia pratar han oavbrutet
淘汰	eliminera	Det här laget eliminerades tidigt
陶瓷	keramik	Jingdezhen är känt för keramik
陶醉	hänförd	Publiken blev hänförd av musiken
讨好	ställa sig in	Han vill inte medvetet ställa sig in hos chefen
特长	en särskild färdighet	Måleri är hennes särskilda färdighet
特定	specifik	Lämna in ansökan inom den specifika tiden
特意	särskilt	Jag kom särskilt för att tacka dig
提拔	befordra	Företaget befordrade henne till avdelningschef
提炼	utvinna	Fabriken utvinner metall ur malm
提示	uppmana	Systemet uppmanar dig att ange ett lösenord
提议	föreslå	Hon föreslog att fortsätta diskussionen i morgon
题材	ämne	Den här filmens ämne känns fräscht
体裁	genre	Romaner och dikter är olika genrer
体积	volym	Den här lådan har stor volym
体谅	visa förståelse	Visa förståelse för hans svårigheter
体面	respektabel	Han vill hitta ett respektabelt jobb
体系	ett system	Företaget byggde ett komplett utbildningssystem
天才	ett geni	Det här barnet betraktas som ett musikaliskt geni
天赋	en begåvning	Hon har begåvning för att lära sig språk
天伦之乐	familjelycka	Den äldre personen njuter av familjelycka
天然气	naturgas	Stadsbor använder naturgas för matlagning
天生	medfödd	Han är medfött optimistisk
天堂	paradis	Den här platsen är som ett paradis på jorden
天文	astronomi	Han har tyckt om astronomi sedan barndomen
田径	friidrott	Skolan höll en friidrottstävling
田野	fält	Fälten är helt gröna på våren
舔	slicka	Valpen slickade ägarens hand
挑剔	kräsen	Hon är mycket kräsen med mat
条款	en klausul	Kontraktsklausulerna måste läsas noggrant
条理	ordning	Hans tal var mycket välordnat
条约	ett fördrag	De två länderna undertecknade ett fredsfördrag
调和	harmonisera	De här två färgerna harmoniserar väl
调剂	balansera	Träning kan balansera ett stressigt liv
调节	reglera	Luftkonditionering kan reglera inomhustemperaturen
调解	medla	Personal i lokalsamhället hjälpte till att medla i tvisten
调料	krydda	Det behöver tillsättas lite krydda i soppan
挑拨	så split	Så inte split mellan kollegor
挑衅	provokation	Den här sortens yttrande har tydlig provokation
跳跃	hoppa	Idrottaren hoppade tre gånger i rad
亭子	en paviljong	Det finns en liten paviljong vid sjön
停泊	ligga förtöjd	Fiskebåtarna ligger förtöjda i hamnen
停顿	en paus	Han gjorde en kort paus medan han talade
停滞	stanna av	Projektet stannade av på grund av otillräckliga medel
挺拔	rak och hög	Tallarna växer raka och höga
通货膨胀	penningvärdesfall	Penningvärdesfallet drev upp levnadskostnaderna
通缉	efterlysa	Polisen efterlyser den här misstänkta personen
通俗	lättillgänglig	Språket i den här boken är mycket lättillgängligt
通讯	kommunikation	Modern kommunikationsteknik utvecklas snabbt
通用	universell	Den här typen av laddare är relativt universell
同胞	landsman	Landsmän utomlands bryr sig också om hemstadens utveckling
同志	en kamrat	Den äldre kamraten delade med sig av arbetserfarenhet
童话	en saga	Barnet tycker om att höra sagor före läggdags
铜	koppar	Den här statyn är gjord av koppar
统筹兼顾	samordna helheten	Stadsplanering bör samordna helheten och ta hänsyn till alla intressen
统计	räkna	Vi behöver räkna antalet registreringar
统统	allesammans	Alla dessa gamla dokument behöver arkiveras
统治	härska	Den här dynastin härskade i trehundra år
投机	spekulation	Han tjänade en summa pengar genom spekulation
投票	rösta	Invånarna ska rösta i morgon
投诉	klaga	Kunden klagade på handlaren hos plattformen
投降	kapitulera	Fientrupperna valde till slut att kapitulera
投掷	kasta	Idrottaren övade på att kasta spjut
透露	avslöja	Han avslöjade inte detaljerna från mötet
秃	flintskallig	Han blev flintskallig i ung ålder
突破	ett genombrott	Forskningen uppnådde ett stort genombrott
图案	ett mönster	Mönstret på det här tyget är mycket vackert
徒弟	en lärling	Mästaren lär lärlingen att reparera klockor
涂抹	stryka på	Stryk salvan runt såret
途径	en kanal	Internet är en viktig kanal för att få information
土壤	jord	Bördig jord passar för att odla grönsaker
团结	förena sig	Teamet måste förena sig och samarbeta
团体	en organisation	Den här organisationen håller regelbundet aktiviteter
团圆	återförening	Vårfesten är en tid för familjeåterförening
推测	spekulera	Experterna spekulerar i att priserna fortsätter att stiga
推翻	störta	Folket störtade det gamla systemet
推理	resonemang	Den här romanen är full av resonemangsscener
推论	en slutsats	Den här slutsatsen behöver fortfarande stöd av bevis
推销	marknadsföra	Han ansvarar för att marknadsföra den nya produkten
吞吞吐吐	stamma fram	Han stammade fram svaret på frågan
托运	checka in	Passagerare kan checka in bagage vid disken
拖延	fördröja	Fördröj inte betalningstiden längre
脱离	skilja från	Teori kan inte skiljas från verkligheten
妥当	lämplig	Det här arrangemanget är mycket lämpligt
妥善	ordentligt	Förvara viktiga dokument ordentligt
妥协	kompromissa	De två sidorna nådde till slut en kompromiss
椭圆	en ellips	Jordens bana ligger nära en ellips
唾弃	förakta	Samhället föraktar den här sortens bedrägeri
哇	wow	Wow, den här bron är verkligen storslagen
挖掘	gräva ut	Arkeologiteamet gräver ut en gammal grav
娃娃	en docka	Den lilla flickan håller i en docka
瓦解	falla sönder	Interna konflikter fick alliansen att falla sönder
歪曲	förvränga	Rapporter bör inte förvränga fakta
外表	utseende	Döm inte människor bara efter utseende
外行	en lekman	Jag är en fullständig lekman när det gäller juridik
外界	omvärlden	Företaget svarar sällan på kritik från omvärlden
外向	utåtriktad	Hon har en utåtriktad personlighet och många vänner
丸	en tablett	Läkaren skrev ut flera tabletter åt honom
完备	fullständig	Den här uppsättningen material är mycket fullständig
完毕	avslutad	Mötet är redan avslutat
玩弄	leka med	Lek inte med andra människors känslor
玩意儿	en grej	Vad är det här för ny grej
顽固	envis	Hans inställning är mycket envis
顽强	uthållig	Den skadade personen visade stor uthållighet
惋惜	beklagande	Alla kände beklagande över misslyckandet
挽回	återvinna	Han arbetade hårt för att återvinna företagets förluster
挽救	rädda	Läkaren räddade patientens liv
万分	ytterst	Jag är ytterst tacksam för din hjälp
往常	vanligt	I dag är det varmare än vanligt
往事	det förflutna	Den äldre personen minns ofta det förflutna
妄想	fåfäng dröm	Han har en fåfäng dröm om att bli rik över en natt
危机	en kris	Företaget står inför en allvarlig kris
威风	imponerande	Generalen såg imponerande ut på hästryggen
威力	kraft	Den här sortens vapen har stor kraft
威望	anseende	Han har stort anseende i byn
威信	trovärdighet	Ledare måste upprätthålla regeringens trovärdighet
微不足道	obetydlig	Den här lilla förlusten är obetydlig
微观	mikroekonomi	Den här kursen introducerar mikroekonomi
为难	försvåra	Sluta försvåra arbetet för servitören
为期	vara	Utbildningen varar i tre månader
唯独	endast	Alla kom utom han
维持	upprätthålla	Polisen upprätthöll ordningen på platsen
维护	skydda	Vi måste skydda våra lagliga rättigheter och intressen
维生素	ett vitamin	Frukt innehåller rikligt med vitaminer
违背	bryta mot	Det här beslutet bryter mot kontraktets anda
伪造	förfalska	Någon förfalskade hans underskrift
委托	anförtro	Klienten anförtrodde en advokat att hantera ärendet
委员	en kommittéledamot	Varje kommittéledamot uttryckte en åsikt
卫星	en satellit	Satelliten gick in i sin planerade omloppsbana
喂	mata	Barnet matar kattungen
慰问	visa medkänsla	Ledarna gick till sjukhuset för att visa de skadade medkänsla
未免	lite väl	Det här kravet är lite väl högt
畏惧	frukta	Han fruktar aldrig svårigheter
蔚蓝	azurblå	Himlen visade en azurblå färg
温带	tempererad zon	Den här växten passar ett tempererat klimat
温和	måttlig	Hans politiska hållning är relativt måttlig
文凭	ett diplom	Det här jobbet kräver ett universitetsdiplom
文物	kulturföremål	Museet visade värdefulla kulturföremål
文献	litteratur	Uppsatsen citerade en stor mängd litteratur
文雅	elegant	Hon uppför sig elegant
文艺	kultur och konst	Den här staden har en stark atmosfär av kultur och konst
问世	komma ut	Den här telefonmodellen kommer snart ut
窝	ett bo	Det finns ett fågelbo i trädet
乌黑	kolsvart	Hon har långt kolsvart hår
污蔑	förtala	Han förnekade att han förtalade konkurrenten
诬陷	sätta dit	Bevisen visar att han blev ditsatt
无比	ytterst	När han hörde nyheten blev han ytterst upphetsad
无偿	utan ersättning	Volontärerna tillhandahåller tjänster utan ersättning
无耻	skamlig	Den här sortens fusk är mycket skamligt
无动于衷	likgiltig	Inför kritiken förblev han likgiltig
无非	inget annat än	Han gjorde detta för inget annat än att spara pengar
无辜	oskyldig	Domstolen fastslog att han var oskyldig
无精打采	håglös	Han ser håglös ut i dag
无赖	en skurk	Byborna vill inte ha att göra med den där skurken
无理取闹	bråka utan anledning	Bråka inte här utan anledning
无能为力	maktlös	Inför översvämningen var byborna maktlösa
无穷无尽	ändlös	Öknen såg ändlös ut
无微不至	omsorgsfull	Sjuksköterskan tog omsorgsfullt hand om patienten
无忧无虑	bekymmersfri	Barnen lekte bekymmersfritt på gräset
无知	okunskap	Okunskap är ingen anledning att vägra lära sig
侮辱	förolämpa	Hans ord förolämpade den andra personen
武器	vapen	Dessa vapen förvaras under gemensam kontroll
武侠	kampsportshjälte	Han har tyckt om att läsa kampsportsromaner sedan barndomen
武装	beväpna	Gränsområdet stärkte de beväpnade patrullerna
舞蹈	dans	Den här dansen har starka etniska drag
务必	var noga med	Var noga med att komma i tid
物美价廉	prisvärd	Varorna i den här butiken är bra och billiga
物业	fastighetsförvaltning	Fastighetsförvaltningen ansvarar för reparationer i bostadsområdet
物资	förnödenheter	Hjälpförnödenheterna har redan levererats till katastrofområdet
误差	avvikelse	Det finns en liten avvikelse i mätresultatet
误解	missförstånd	De två sidorna redde ut missförståndet genom kommunikation
夕阳	solnedgång	Solnedgången färgade himlen gyllene
昔日	förr	Den gamla byn blev en stad
溪	en bäck	En liten bäck rinner genom bergen
熄灭	släcka	Släck ljuset
牺牲	offra	De gjorde en uppoffring för att rädda andra
膝盖	ett knä	Hans knä skadades
习俗	en sed	Vårfesten har många traditionella seder
媳妇	hustru	Hans hustru arbetar på sjukhuset
袭击	angripa	Stormen angrep kuststaden
喜闻乐见	omtyckt	Den här typen av program är omtyckt av publiken
喜悦	glädje	Ett glatt leende syntes i hennes ansikte
系列	en serie	Företaget lanserade en serie nya produkter
细菌	bakterier	Höga temperaturer kan döda bakterier
细胞	en cell	Människokroppen består av otaliga celler
细致	noggrann	Hennes observation är mycket noggrann
峡谷	en ravin	Floden passerar genom en djup ravin
狭隘	trångsynt	Den här trångsynta synen behöver förändras
狭窄	smal	Den här stigen är mycket smal
霞	aftonrodnad	Aftonrodnaden färgade himlen röd
下属	underordnade	Chefen lyssnade noggrant på de underordnades åsikter
先进	avancerad	Fabriken använde avancerad utrustning
先前	tidigare	Den tidigare planen har redan ändrats
掀起	utlösa	Den här boken utlöste en diskussionsvåg
纤维	textiltråd	Det här tyget innehåller naturliga textiltrådar
鲜明	tydlig	Hans ståndpunkt är mycket tydlig
嫌	tycka illa om	Hon tycker illa om att rummet är för litet
嫌疑	misstanke	Den här mannen är starkt misstänkt
弦	en sträng	En sträng på gitarren gick av
衔接	ansluta	Innehållet i de två kurserna ansluter mycket väl
贤惠	duglig	Hon betraktas som duglig och omtänksam
闲话	skvaller	Skvallra inte om andra bakom deras rygg
显著	betydande	Behandlingens effekt är mycket betydande
宪法	grundlag	Grundlagen garanterar medborgarnas grundläggande rättigheter
现场	platsen	Reportrarna har redan kommit till olycksplatsen
现成	färdig	Det finns färdig mat i köket
现状	nuläge	Vi behöver förstå branschens nuläge
线索	ett spår	Polisen hittade ett nytt spår
陷害	sätta dit	Han hävdade att någon hade satt dit honom
陷阱	en fälla	Jägaren satte ut en fälla
陷入	hamna i	Företaget hamnade i ekonomiska svårigheter
馅儿	fyllning	Fyllningen i den här baozi luktar mycket gott
乡镇	en småstad	Förhållandena i småstadsskolor förbättras
相差	skilja sig	Temperaturerna på de två platserna skiljer sig med tio grader
相等	lika	De två trianglarna har lika stora areor
相辅相成	komplettera varandra	Teori och praktik kompletterar varandra
相应	motsvarande	Företaget kommer att vidta motsvarande åtgärder
镶嵌	infatta	En ädelsten är infattad i ringen
响亮	klar och tydlig	Hans svar var klart och tydligt
响应	svara på	Många människor svarade på miljöinitiativet
想方设法	försöka på alla sätt	De försökte på alla sätt minska kostnaderna
向导	en guide	En lokal guide tog oss in i bergen
向来	alltid	Han har alltid värderat trovärdighet
向往	längta efter	Hon längtar efter ett lugnt liv
巷	en gränd	Många små butiker har öppnat i den gamla gränden
相声	kinesisk ståuppdialog	Morfar tycker om att lyssna på traditionell kinesisk ståuppdialog
消除	undanröja	Kommunikation kan undanröja missförstånd
消毒	desinficera	Läkaren desinficerade såret
消防	brandförsvar	Brandmännen kom snabbt till platsen
消耗	förbruka	Långresor förbrukar mycket fysisk energi
消灭	utrota	Arbetarna utrotar skadedjur
潇洒	ledig och elegant	Hans sätt att gå är ledigt och elegant
销毁	förstöra	Tullen förstörde de förfalskade varorna
小心翼翼	mycket försiktigt	Hon öppnade lådan mycket försiktigt
效益	nytta	Den nya utrustningen förbättrade produktionens nytta
肖像	ett porträtt	Hans porträtt hänger på väggen
协会	en förening	Den här föreningen hjälper unga entreprenörer
协商	samråda	Båda sidor är villiga att fortsätta samråda
协调	samordna	Projektledaren ansvarar för att samordna resurser
协议	ett avtal	De två sidorna undertecknade ett samarbetsavtal
协助	hjälpa	Volontärerna hjälpte de äldre över vägen
携带	ta med	Passagerare får inte ta med farligt gods
屑	spån	Det finns mycket träspån på bordet
泄露	läcka	Anställda får inte läcka kundinformation
泄气	tappa modet	Tappa inte modet efter ett misslyckande
谢绝	avböja artigt	Hotellet avböjer artigt mat utifrån
心得	lärdom	Hon delade med sig av sina lärdomar från studierna
心甘情愿	helt frivilligt	Han stannade kvar för att hjälpa helt frivilligt
心灵	själen	Musiken tröstade hennes själ
心态	inställning	Det är viktigt att behålla en positiv inställning
心疼	känna smärta för	Mamman kände smärta för sitt skadade barn
心血	möda	Den här boken innehåller författarens stora möda
心眼儿	småsint	Han är lite småsint
新陈代谢	ämnesomsättning	Träning kan främja ämnesomsättningen
新郎	brudgum	Brudgummen hälsade gästerna vid dörren
新娘	brud	Bruden bar en vit bröllopsklänning
新颖	originell	Den här designen är mycket originell
欣慰	känna sig lättad	Att se barnets framsteg fick henne att känna sig lättad
欣欣向荣	blomstra	Turismen i staden blomstrar
薪水	lön	Hans lön räcker för att försörja familjen
辛勤	flitig	Bönder arbetar flitigt med att odla grödor
信赖	lita på	Kunderna litar mycket på det här företaget
信念	övertygelse	En fast övertygelse stöttade honom
信仰	trosuppfattning	Hon respekterar olika trosuppfattningar
信誉	anseende	Ett företag måste skydda sitt anseende
兴高采烈	glad och uppspelt	Barnen sprang in i klassrummet glada och uppspelta
兴隆	frodas	Den här gamla butiken har en verksamhet som frodas
兴旺	blomstrande	Marknadsekonomin blir allt mer blomstrande
腥	fiskluktande	Den här fisken luktar lite fisk
刑事	straffrättslig	Polisen utreder ett straffrättsligt fall
形态	form	En växts form förändras med miljön
行政	förvaltning	Förvaltningsavdelningen hanterar ansökningar
兴致勃勃	med stort intresse	Alla diskuterade planen med stort intresse
性感	attraktiv	Den här aftonklänningen ser mycket attraktiv ut
性命	liv	Läkaren räddade hans liv
性能	prestanda	Den här datorn har god prestanda
凶恶	våldsam	Den här hunden ser mycket våldsam ut
凶手	mördare	Polisen grep till slut mördaren
汹涌	turbulent	Turbulenta vågor slog mot stranden
胸怀	vidsynthet	Han har stor vidsynthet
胸膛	bröst	Soldaten sköt fram bröstet
雄厚	stark	Företaget har starka ekonomiska resurser
雄伟	storslagen	Den här bron är mycket storslagen
修复	reparera	Ingenjörerna reparerar systemet
修建	bygga	Regeringen planerar att bygga en ny flygplats
修养	bildning	God bildning syns i detaljerna
羞耻	skam	Han kände skam efter att ha ljugit
嗅觉	luktsinne	En hunds luktsinne är mycket skarpt
绣	brodera	Mormor kan brodera blommor
虚假	falsk	Webbplatsen publicerade falsk information
