simplified	IS	example_IS
魔鬼	djöfull	Djöfullinn í sögunni er mjög slóttugur.
魔术	töfrabrögð	Börnum finnst gaman að horfa á töfrasýningar.
抹杀	afmá	Ekki er hægt að afmá framlag hans.
墨水儿	blek	Blekið í pennanum er næstum búið.
莫名其妙	óskiljanlegur	Viðbrögð hans voru fólki óskiljanleg.
默默	í hljóði	Hún hjálpaði mörgum í hljóði.
谋求	sækjast eftir	Fyrirtækið sækist eftir nýjum þróunartækifærum.
模样	útlit	Útlit hans hefur breyst mikið núna.
母语	móðurmál	Börn læra móðurmál sitt frá unga aldri.
沐浴	baðaður	Þorpið að morgni var baðað í sólarljósi.
目睹	verða vitni að	Margir urðu vitni að slysinu.
目光	augnaráð	Augnaráð allra beindist að sviðinu.
拿手	sérgrein	Rauðsoðinn fiskur er sérgreinin hans.
纳闷儿	velta fyrir sér	Ég velti því stöðugt fyrir mér hvers vegna hann kom seint.
耐用	endingargóður	Þessir skór eru mjög endingargóðir.
南辕北辙	ganga þvert gegn markmiðinu	Aðferð hans gengur þvert gegn markmiðinu.
难得	sjaldgæfur	Þetta er sjaldgæft tækifæri.
难堪	vandræðalegur	Þessi spurning gerði hann mjög vandræðalegan.
难能可贵	sérstaklega lofsverður	Að halda heiðarleika undir álagi er sérstaklega lofsvert.
恼火	pirraður	Tækið bilaði aftur og hann var mjög pirraður.
内涵	merking	Þetta orð hefur ríka menningarlega merkingu.
内幕	innri upplýsingar	Blaðamaðurinn reyndi að rannsaka innri upplýsingar um málið.
内在	innri	Hann metur innri eiginleika fólks meira.
能量	orka	Þessi morgunmatur gefur mér mikla orku.
拟定	semja	Ritarinn er að semja dagskrá fundarins.
逆行	aka í ranga átt	Bíllinn ók í ranga átt á einstefnugötu.
年度	árlegur	Fyrirtækið birti ársskýrsluna.
捏	klípa	Hún klípti létt í kinn barnsins.
凝固	storkna	Eftir kælingu storknar vaxið smám saman.
凝聚	sameina	Sameiginlegt markmið getur sameinað krafta teymisins.
凝视	stara	Hann starði á ljósin í fjarska.
拧	klípa	Hann klípti mig einu sinni með hendinni.
宁肯	frekar vilja	Hún vill frekar mistakast en gefa upp meginreglur sínar.
宁愿	frekar vilja	Ég vil frekar ganga en bíða eftir strætó.
扭转	snúa við	Nýja stefnan sneri tapsstöðunni við.
纽扣儿	tala	Það datt tala af þessari skyrtu.
农历	tungldagatal	Vorhátíðin er haldin samkvæmt tungldagatalinu.
浓厚	mikill	Hann hefur mikinn áhuga á sögu.
奴隶	þræll	Þrælahald var til í fornu samfélagi.
挪	færa	Vinsamlegast færðu stólinn aðeins til hliðar.
虐待	misþyrma	Lögin banna að misþyrma börnum.
哦	ó	Ó, nú skil ég loksins.
殴打	berja	Lögreglan handtók manninn sem barði vegfaranda.
偶像	fyrirmynd	Hún lítur á þennan rithöfund sem fyrirmynd.
呕吐	kasta upp	Hann byrjaði að kasta upp eftir að hafa borðað skemmdan mat.
趴	liggja á maganum	Kettlingurinn lá sofandi á maganum á gluggakistunni.
徘徊	staldra við	Hann staldraði lengi við dyrnar.
排斥	hafna	Nýja efnið hrindir frá sér raka.
排除	útiloka	Læknirinn útilokaði fyrst alvarlegan sjúkdóm.
排放	losun	Verksmiðjur verða að draga úr losun útblásturs.
排练	æfa	Leikararnir eru að æfa nýtt atriði.
派别	fylking	Innan samtakanna eru ólíkar fylkingar.
派遣	senda	Fyrirtækið sendi verkfræðinga á staðinn.
攀登	klifra	Þau ætla að klifra snævi þakið fjall á morgun.
盘旋	hringsóla	Flugvélin hringsólaði yfir flugvellinum.
判决	dómur	Dómstóllinn tilkynnti dóminn í dag.
畔	bakki	Börnin gengu við vatnsbakkann.
庞大	gríðarlegur	Þetta verkefni krefst gríðarlegs fjármagns.
抛弃	yfirgefa	Hann vill ekki yfirgefa draum sinn.
泡沫	froða	Það er mikil hvít froða í bollanum.
培育	rækta	Skólinn leggur sig fram um að rækta ábyrgðarkennd nemenda.
配备	búinn	Nýi bíllinn er búinn öryggiskerfi.
配偶	maki	Á umsóknareyðublaðinu þarf að fylla út upplýsingar um maka.
配套	stuðningsbúnaður	Hverfið hefur fullkomna stuðningsaðstöðu.
盆地	dæld	Þessi dæld er mjög heit á sumrin.
烹饪	matargerð	Matargerð krefst þolinmæði og reynslu.
捧	halda í báðum höndum	Hún hélt á blómvendi í báðum höndum.
劈	kljúfa	Verkamaðurinn klauf eldivið með öxi.
批发	heildsala	Þessi verslun selur aðallega ávexti í heildsölu.
批判	gagnrýna	Greinin gagnrýndi þetta ranga sjónarmið.
疲惫	örmagna	Allir voru örmagna eftir langa ferðina.
疲倦	þreyttur	Samfelld vinna gerði hann þreyttan.
皮革	leður	Þessi taska er úr leðri.
屁股	rass	Barninu var illt í rassinum eftir fallið.
譬如	til dæmis	Til dæmis getum við fyrst gert lítið próf.
偏差	frávik	Augljóst frávik var í niðurstöðum tilraunarinnar.
偏见	fordómar	Við ættum að forðast þjóðernislega fordóma.
偏僻	afskekktur	Þetta þorp er á mjög afskekktum stað.
偏偏	óheppilega	Því meira sem ég flýtti mér, því hægar fór bíllinn óheppilega.
片断	brot	Í myndinni eru nokkur frábær brot.
片刻	augnablik	Vinsamlegast bíddu hér eftir mér í augnablik.
漂浮	fljóta	Fallin lauf flutu á vatnsyfirborðinu.
飘扬	blakta	Þjóðfáninn blakti í vindinum.
撇	leggja til hliðar	Hann lagði gömlu áætlunina til hliðar.
拼搏	berjast	Ungt fólk ætti að berjast fyrir hugsjónum sínum.
拼命	af öllum mætti	Hann elti liðið á undan af öllum mætti.
贫乏	fátæklegur	Innihald þessarar greinar er frekar fátæklegt.
贫困	fátækt	Ríkisstjórnin hjálpar fátækum fjölskyldum.
频繁	tíður	Umferðarslys hafa verið tíð hér undanfarið.
频率	tíðni	Þetta hljóð hefur háa tíðni.
品尝	smakka	Gestirnir eru að smakka staðbundinn mat.
品德	siðferðilegur þroski	Skólinn metur siðferðilega menntun nemenda mikils.
品质	gæði	Gæði vara þessa fyrirtækis eru stöðug.
品种	afbrigði	Á markaðnum eru mörg afbrigði af ávöxtum.
屏幕	skjár	Vinsamlegast lækkaðu birtustig skjásins.
屏障	hindrun	Skógurinn er mikilvæg hindrun gegn vindi.
平凡	venjulegur	Hann vann í venjulegu starfi í mörg ár.
平面	grunnmynd	Hönnuðurinn teiknaði grunnmynd hússins.
平坦	slétur	Þessi vegur er mjög sléttur.
平行	samsíða	Þessar tvær línur eru samsíða hvor annarri.
平庸	miðlungs	Hann sættir sig ekki við miðlungs líf.
平原	slétta	Lestin fór yfir víðáttumikla sléttu.
评估	meta	Sérfræðingar eru að meta áhættu verkefnisins.
评论	athugasemd	Lesendur geta skrifað athugasemd undir greininni.
坡	brekka	Bíllinn ók hægt upp brekkuna.
泼	skvetta	Ekki skvetta vatninu á gólfið.
颇	frekar	Þessi niðurstaða kom frekar á óvart.
破例	gera undantekningu	Stjórinn gerði undantekningu og samþykkti umsókn hans.
迫不及待	óþreyjufullur	Börnin voru óþreyjufull að opna gjafirnar.
迫害	ofsækja	Margt fólk hefur orðið fyrir ofsóknum í sögunni.
魄力	áræði	Leiðtogar þurfa áræði til að taka ákvarðanir.
扑	fleygja sér	Barnið fleygði sér skyndilega í fang móður sinnar.
铺	leggja	Verkamenn eru að leggja nýtt teppi.
普及	útbreiddur	Netið er þegar orðið útbreitt í borgum.
朴实	einfaldur	Mál hans er einfalt og einlægt.
朴素	óskreyttur	Hún hefur gaman af einföldum lífsstíl.
瀑布	foss	Ferðamenn stóðu við fossinn og tóku myndir.
凄凉	eyðilegur	Fjallaþorpið virtist mjög eyðilegt á veturna.
期望	vænting	Foreldrar hafa miklar væntingar til barna sinna.
期限	frestur	Skráningarfresturinn er föstudaginn í þessari viku.
欺负	leggja í einelti	Eldri börn ættu ekki að leggja yngri börn í einelti.
欺骗	blekkja	Fölsku auglýsingarnar blekktu neytendur.
奇妙	dásamlegur	Náttúran hefur mörg dásamleg fyrirbæri.
旗袍	qipao	Hún klæddist rauðum qipao-kjól á kvöldsamkomunni.
旗帜	fáni	Litríkir fánar blöktu á torginu.
歧视	mismunun	Lögin banna hvers kyns mismunun.
齐全	fullkominn	Þessi verslun hefur mjög fullkomið úrval af verkfærum.
齐心协力	sameinast um verkefni	Allir sameinuðust um að ljúka verkefninu.
乞丐	betlari	Gamall betlari sat við vegkantinn.
企图	reyna	Hann reyndi að fela raunverulegar aðstæður.
启程	leggja af stað	Sendinefndin leggur af stað snemma í fyrramálið.
启蒙	byrjendafræðsla	Þessi bók hentar börnum í byrjendalestri.
启事	tilkynning	Starfsauglýsing var límd upp við skólahliðið.
启示	lærdómur	Þessi mistök gáfu okkur mikilvægan lærdóm.
岂有此理	fáránlegur	Slíkt gjald er sannarlega fáránlegt.
起草	semja	Lögfræðingurinn er að semja samninginn.
起初	í fyrstu	Í fyrstu trúði hann ekki fréttunum.
起伏	rísa og falla	Fjallvegurinn rís og fellur með landslaginu.
起哄	gera hávaða	Nemendur ættu ekki að gera hávaða í kennslustund.
起码	að minnsta kosti	Þú ættir að minnsta kosti að láta mig vita fyrirfram.
起源	uppruni	Þessi hátíð á uppruna sinn í fornöld.
器材	búnaður	Rannsóknarstofan þarf nýjan kennslubúnað.
器官	líffæri	Hjartað er mikilvægt líffæri í mannslíkamanum.
气概	hetjuandi	Þetta ljóð sýnir hetjuanda.
气功	qigong	Afi æfir qigong á hverjum morgni.
气魄	tilkomumikill	Þessi brú er mjög tilkomumikil.
气色	andlitslitur	Eftir hvíldina leit andlitslitur hans mun betur út.
气势	skrið	Liðið hafði mikið skrið strax í byrjun.
气味	lykt	Í eldhúsinu var lykt af ristuðu brauði.
气象	veður	Veðrið á hásléttunni breytist hratt.
气压	loftþrýstingur	Lækkun loftþrýstings getur valdið rigningu.
气质	skapgerð	Hún hefur rólega skapgerð.
迄今为止	hingað til	Hingað til hefur tilraunin gengið vel.
掐	tína	Hún tíndi lítið blóm.
恰当	viðeigandi	Svar þitt er mjög viðeigandi.
恰到好处	akkúrat rétt	Sætan í þessum rétti er akkúrat rétt.
恰巧	fyrir tilviljun	Það fór að rigna fyrir tilviljun þegar ég kom á stöðina.
洽谈	ræða	Aðilarnir tveir ræða smáatriði samstarfsins.
千方百计	með öllum ráðum	Þau reyndu með öllum ráðum að finna lausn.
牵	leiða	Móðirin leiddi barnið yfir götuna.
牵扯	tengjast	Þetta mál tengist mörgum deildum.
牵制	halda aftur af	Vörn andstæðingsins hélt sókninni aftur af.
签署	undirrita	Fyrirtækin tvö undirrituðu samning.
谦逊	hógvær	Hann var enn hógvær eftir að hafa náð árangri.
迁就	gefa eftir	Foreldrar geta ekki alltaf gefið eftir fyrir börnum sínum.
迁徙	flytja	Farfuglar flytja árlega eftir árstíðum.
前景	horfur	Þessi atvinnugrein hefur góðar horfur.
前提	forsenda	Traust er forsenda samstarfs.
潜力	möguleikar	Þessi nemandi hefur mikla möguleika.
潜水	kafa	Þau fóru að ströndinni til að læra að kafa.
潜移默化	ómeðvituð áhrif	Fjölskylduumhverfi getur haft ómeðvituð áhrif á börn.
谴责	fordæma	Alþjóðasamfélagið fordæmdi ofbeldið.
抢劫	ræna	Lögreglan náði hinum grunaða sem rændi bankann.
强制	þvinga	Nýja reglan þvingar ökumenn til að nota öryggisbelti.
强迫	neyða	Ekki neyða börn til að gera hluti sem þeim líkar ekki.
抢救	björgun	Læknar eru að bjarga slasaða verkamanninum.
桥梁	brú	Tungumál er brú fyrir menningarsamskipti.
窍门	bragð	Það eru nokkur brögð við að læra framburð.
翘	lyfta	Hann lyfti öðrum fæti upp á stólinn.
切实	raunhæfur	Við þurfum raunhæfa og framkvæmanlega áætlun.
锲而不舍	þrauka	Hann rannsakaði þetta vandamál af þrautseigju.
亲密	náinn	Þau hafa alltaf haldið nánu sambandi.
亲热	hlýr	Gamli maðurinn tók hlýlega á móti gestunum.
侵犯	brjóta gegn	Þessi hegðun braut gegn friðhelgi einkalífs.
侵略	innrás	Fólkið er á móti hvers kyns innrás.
钦佩	dást að	Ég dáist mjög að hugrekki hennar.
勤俭	duglegur og sparsamur	Amma rak heimilið duglega og sparsamlega alla ævi.
勤劳	duglegur	Duglegt fólk getur alltaf skapað tækifæri.
倾听	hlusta af athygli	Kennarinn hlustaði af athygli á skoðanir nemenda.
倾向	hneigjast	Ungir neytendur hneigjast til netverslunar.
倾斜	hallast	Eftir úrhellið fór veggurinn að hallast.
清澈	tær	Fjallalækurinn er mjög tær.
清晨	árla morguns	Loftið árla morguns er sérstaklega ferskt.
清除	hreinsa	Verkamenn hreinsuðu snjóinn af veginum.
清洁	hreinn	Sjúkrahús verða að halda umhverfinu hreinu.
清理	taka til	Um helgina tókum við til í vöruhúsinu.
清晰	skýr	Þessi ljósmynd er mjög skýr.
清醒	vakandi	Eftir kaffið varð hann miklu meira vakandi.
清真	halal	Í nágrenninu er halal-veitingastaður.
情报	upplýsingar	Blaðamaðurinn fékk mikilvægar upplýsingar.
情节	söguþráður	Söguþráður skáldsögunnar er mjög spennuþrunginn.
情理	sanngirni	Krafa hans er ekki í samræmi við sanngirni.
情形	staða	Staðan á vettvangi var flóknari en búist var við.
晴朗	heiðskír	Himinninn í dag er sérstaklega heiðskír.
请柬	boðskort	Þau sendu brúðkaupsboðskort til ættingja og vina.
请教	leita ráða	Mig langar að leita ráða hjá þér um eitt mál.
请示	biðja um fyrirmæli	Fyrst þarf að biðja yfirmann um fyrirmæli í þessu máli.
请帖	boðskort	Á borðinu lá afmælisboðskort.
丘陵	hæðir	Á þessu svæði eru margar hæðir.
区分	greina	Barnið getur þegar greint hægri frá vinstri.
区域	svæði	Bílastæði eru bönnuð á þessu svæði.
屈服	láta undan	Hann lét ekki undan þrýstingnum.
曲折	flókinn	Þau gengu í gegnum flóknar samningaviðræður.
驱逐	reka burt	Lögreglan rak óeirðarseggina burt.
渠道	rás	Fyrirtækið selur vörur í gegnum nýja rás.
取缔	banna	Ríkisstjórnin bannaði ólöglega markaðinn.
曲子	lag	Laglínan í þessu lagi er mjög falleg.
趣味	áhugaverður	Þessi leikur er mjög áhugaverður.
圈套	gildra	Hann féll næstum í gildru svikarans.
全局	heildarmynd	Leiðtogar verða að huga að hagsmunum heildarmyndarinnar.
全力以赴	leggja allt í sölurnar	Við munum leggja allt í sölurnar til að ljúka verkefninu.
拳头	hnefi	Hann kreppti hnefann og bjó sig undir keppnina.
权衡	vega og meta	Við þurfum að vega og meta kostnað og áhrif.
权威	sérfræðiyfirvald	Þessi prófessor er sérfræðiyfirvald á þessu sviði.
犬	hundur	Þessi hundategund hentar vel til að gæta heimilis.
缺口	skarð	Það er lítið skarð í veggnum.
缺席	fjarvera	Hann var fjarverandi frá fundinum vegna veikinda.
缺陷	galli	Þessi hönnun hefur augljósan galla.
瘸	haltur	Vinstri fóturinn á honum er dálítið haltur.
确保	tryggja	Vinsamlegast tryggðu að dyrnar séu læstar.
确立	koma á	Fyrirtækið kom á nýjum þróunarmarkmiðum.
确切	nákvæmur	Ég veit ekki nákvæman tíma.
确信	vera viss	Ég er viss um að hann kemur á réttum tíma.
群众	almenningur	Almenningur styður nýju stefnuna.
染	lita	Hún litaði hárið sitt svart.
嚷	hrópa	Ekki hrópa hátt á ganginum.
让步	eftirgjöf	Báðir aðilar gerðu nokkrar eftirgjafir.
饶恕	fyrirgefa	Hún valdi að lokum að fyrirgefa hinum aðilanum.
扰乱	trufla	Hávaðinn truflaði reglu kennslustundarinnar.
惹祸	valda vandræðum	Kærulausir brandarar geta auðveldlega valdið vandræðum.
热泪盈眶	tárast	Þegar hún heyrði góðu fréttirnar tárnaðist hún.
热门	vinsæll	Gervigreind er vinsælt umræðuefni.
人道	mannúðlegur	Björgunaraðgerðin sýndi mannúðlegan anda.
人格	persónuleg reisn	Að móðga aðra skaðar persónulega reisn.
人工	manngerður	Þessi á var grafin af manna höndum.
人家	aðrir	Ekki bera þig alltaf saman við aðra.
人间	mannheimur	Vorið fyllir mannheim lífskrafti.
人士	fólk	Fólk úr öllum geirum tók þátt í málþinginu.
人为	mannlegur	Þetta slys stafaði af mannlegum þáttum.
人性	mannlegt eðli	Þessi mynd fjallar um mannlegt eðli.
人质	gísl	Lögreglan bjargaði gíslnum með góðum árangri.
仁慈	góðhjartaður	Þessi læknir er mjög góðhjartaður við sjúklinga.
忍耐	þolinmæði	Að bíða í langri röð krefst nokkurrar þolinmæði.
忍受	þola	Ég get ekki þolað hávaðann hér.
任命	skipa	Stjórnin skipaði hana framkvæmdastjóra.
任性	þrjóskur	Of mikil þrjóska hjá barni getur haft áhrif á þroska.
任意	af handahófi	Vinsamlegast breyttu ekki gögnunum af handahófi.
任重道远	langt og erfitt verkefni	Menntaumbætur eru langt og erfitt verkefni.
认定	ákvarða	Lögreglan ákvað að þetta væri slys.
认可	viðurkenning	Áætlun hans fékk viðurkenningu allra.
仍旧	enn	Mörgum árum síðar bjó hann enn hér.
日新月异	þróast hratt	Tæknin þróast hratt dag frá degi.
日益	sífellt	Umhverfisvandamál verða sífellt alvarlegri.
容貌	útlit	Árin breyttu útliti hans.
容纳	rýma	Þessi salur rúmar fimm hundruð manns.
容器	ílát	Vinsamlegast helltu vökvanum í glerílát.
容忍	umburðarlyndi	Fyrirtækið getur ekki sýnt svikum umburðarlyndi.
溶解	leysast upp	Salt leysist upp í vatni.
荣幸	heiður	Það er mér heiður að taka þátt í fundinum.
荣誉	heiður	Þessi medalía táknar æðsta heiður.
融化	bráðna	Sólarljósið lét ísinn og snjóinn bráðna hægt.
融洽	samstilltur	Samskipti samstarfsmanna eru mjög samstillt.
揉	nudda	Mamma nuddaði axlirnar mínar varlega.
柔和	mjúkur	Ljósið er mjúkt og ekki stingandi.
儒家	konfúsíanismi	Konfúsísk hugsun hafði áhrif á austur-asíska menningu.
弱点	veikleiki	Kæruleysi er helsti veikleiki hans.
若干	nokkrir	Fundurinn lagði fram nokkrar tillögur.
撒谎	ljúga	Börn ættu ekki að ljúga.
散文	lausamál	Hún hefur gaman af að lesa nútímalegt lausamál.
散布	dreifa	Einhver dreifði orðrómi á netinu.
散发	gefa frá sér	Garðurinn gefur frá sér ferskan ilm.
丧失	missa	Hann missti ekki sjálfstraustið.
骚扰	áreita	Vinsamlegast áreittu ekki aðra farþega.
嫂子	mágkona	Maturinn sem mágkona mín eldar er ljúffengur.
刹车	bremsa	Ökumaðurinn bremsaði skyndilega.
啥	hvað	Hann spurði hvað ég hefði sagt rétt áðan.
筛选	sía	Kerfið síar ferilskrár sjálfkrafa.
山脉	fjallgarður	Þessi fjallgarður er mjög langur.
闪烁	blikna	Ljósin í fjarska blikuðu stöðugt.
擅长	vera góður í	Hann er góður í að leysa flókin vandamál.
擅自	án leyfis	Starfsmenn mega ekki yfirgefa stöðu sína án leyfis.
伤脑筋	vandræðalegur	Þetta vandamál er virkilega vandræðalegt.
商标	vörumerki	Fyrirtækið skráði nýtt vörumerki.
上级	yfirmaður	Hann gaf yfirmönnum sínum skýrslu um stöðuna.
上进	metnaðarfullur	Hún hefur alltaf verið metnaðarfull.
上任	taka við embætti	Nýi framkvæmdastjórinn tekur við embætti í næstu viku.
上瘾	verða háður	Margir verða háðir stuttum myndskeiðum.
上游	efri hluti árinnar	Mengunin kemur úr efri hluta árinnar.
尚且	jafnvel	Jafnvel fullorðnir gera mistök.
捎	koma skilaboðum	Vinsamlegast komdu skilaboðum til hans fyrir mig.
梢	trjátoppur	Fuglinn settist í trjátoppinn.
哨	varðmaður	Það er varðmaður við hliðið.
奢侈	íburðarmikill	Slík neysla er of íburðarmikil.
舌头	tunga	Hann brenndi tunguna.
摄氏度	gráða á Celsíus	Hiti dagsins er þrjátíu gráður á Celsíus.
涉及	snerta	Skýrslan snertir margar deildir.
社区	samfélag	Samfélagið skipulagði heilsufyrirlestur.
设立	stofna	Skólinn stofnaði námsstyrk.
设想	hugmynd	Þessi hugmynd þarf enn umræðu.
设置	stilla	Vinsamlegast stilltu lykilorðið aftur.
呻吟	stynja	Sjúklingurinn stundi lágt.
深奥	djúpur	Innihald þessarar bókar er mjög djúpt.
深沉	djúpur	Rödd hans var lág og djúp.
深情厚谊	djúp vinátta	Fólk landanna tveggja myndaði djúpa vináttu.
申报	telja fram	Farþegar þurfa að telja hluti sína fram af sannleika.
绅士	siðprúður maður	Hann hagar sér eins og siðprúður maður.
神经	taug	Álag getur haft áhrif á taugakerfið.
神奇	töfrandi	Landslagið hér er mjög töfrandi.
神气	hnarreistur	Hann leit sérstaklega hnarreistur út í dag.
神圣	heilagur	Þetta er heilög skylda.
神态	svipur	Svipur hennar var mjög rólegur.
神仙	ódauðleg vera	Sagan segir að ódauðlegar verur búi í fjöllunum.
审查	yfirfara	Vettvangurinn mun yfirfara birt efni.
审理	taka fyrir	Dómstóllinn er að taka þetta mál fyrir.
审美	fagurfræðilegt smekkvísi	Fagurfræðileg smekkvísi hans er mjög sérstök.
审判	réttarhöld	Opin réttarhöld vöktu athygli fjölmiðla.
慎重	varfærinn	Þessa ákvörðun verður að taka varfærnislega.
渗透	síga inn	Regnvatnið seig hægt inn í jarðveginn.
声明	yfirlýsing	Fyrirtækið gaf út opinbera yfirlýsingu.
声势	þungi	Þessi kynningarherferð hefur mikinn þunga.
声誉	orðspor	Gæði vöru hafa áhrif á orðspor vörumerkisins.
牲畜	búfé	Hirðarnir ráku búféð aftur á beitilandið.
生存	lifa af	Villt dýr þurfa rými til að lifa af.
生机	lífskraftur	Vorrigningin fyllir landið lífskrafti.
生理	lífeðlisfræði	Svefn hefur áhrif á lífeðlislegt ástand manns.
生疏	ryðgaður	Eftir mörg ár án æfingar var píanóleikur hans dálítið ryðgaður.
生态	vistfræði	Vernd skóga tengist vistfræðilegu jafnvægi.
生物	lífvera	Í hafinu eru margar sérkennilegar lífverur.
生效	taka gildi	Nýja reglugerðin tekur formlega gildi á morgun.
生肖	kínverskt dýramerki	Hann spurði um kínverska dýramerkið mitt.
生锈	ryðga	Keðjan á hjólinu er þegar ryðguð.
生育	barneign	Spítalinn veitir ráðgjöf um barneignir.
省会	höfuðborg héraðs	Chengdu hefur lengi verið höfuðborg Sichuan-héraðs.
盛产	framleiða mikið	Þessi staður framleiðir mikið af hágæða tei.
盛开	vera í fullum blóma	Kirsuberjablómin í garðinum eru í fullum blóma.
盛情	hlý gestrisni	Við þökkum gestgjafanum fyrir hlýja gestrisni.
盛行	vera vinsæll	Þessi stíll var um tíma mjög vinsæll.
胜负	úrslit	Síðasta mínúta leiksins réði úrslitunum.
失事	hrap	Orsök flugslyssins er enn til rannsóknar.
失误	mistök	Lítil mistök ollu seinkun á verkefninu.
失踪	týndur	Lögreglan leitar að týnda barninu.
尸体	lík	Björgunarsveitin fann lík fórnarlambsins.
师范	kennaramenntun	Hún útskrifaðist úr kennaraháskóla.
施加	beita	Foreldrar ættu ekki að beita of miklum þrýstingi.
施展	nýta	Hann fékk loksins tækifæri til að nýta hæfileika sína.
十足	fullur	Hann er fullur sjálfstrausts gagnvart niðurstöðunni.
实惠	hagstæður	Verðin í þessari búð eru mjög hagstæð.
实力	styrkur	Heildarstyrkur liðsins er mikill.
实施	framkvæma	Ríkisstjórnin byrjaði að framkvæma nýju áætlunina.
实事求是	byggja á staðreyndum	Rannsóknir eiga að byggja á staðreyndum.
实行	innleiða	Fyrirtækið innleiddi sveigjanlegt vinnukerfi.
实质	kjarni	Kjarni vandans hefur ekki breyst.
拾	taka upp	Hann beygði sig og tók lykilinn upp af jörðinni.
时常	oft	Afi talar oft um hluti frá æsku sinni.
时而	öðru hverju	Veðrið er öðru hverju bjart og öðru hverju skýjað.
时光	tími	Góður tími virðist alltaf stuttur.
时机	tækifæri	Núna er ekki gott tækifæri til samningaviðræðna.
时事	dægurmál	Nemendur ræða alþjóðleg dægurmál í hverri viku.
石油	olía	Olíuverð hækkaði aftur.
识别	bera kennsl á	Kerfið getur borið kennsl á ólík andlit.
使命	hlutverk	Að vernda umhverfið er sameiginlegt hlutverk.
世代	kynslóð	Þetta handverk hefur gengið milli kynslóða í fjölskyldunni.
事故	slys	Þetta slys olli engum manntjóni.
事迹	afrek	Hetjuafrek hans urðu víða þekkt.
事件	atvik	Þetta atvik vakti athygli samfélagsins.
事态	staða	Ríkisstjórnin stjórnar þróun stöðunnar.
事务	málefni	Hún ber ábyrgð á daglegum málefnum fyrirtækisins.
事项	atriði	Vinsamlegast staðfestu mikilvæg atriði í samningnum.
事业	ævistarf	Hann lítur á menntun sem ævistarf sitt.
势必	hljóta að	Hækkandi kostnaður hlýtur að hafa áhrif á verð.
势力	áhrif	Áhrif atvinnulífsins á staðnum eru mikil.
是非	deilur	Hann vill ekki blandast í skrifstofudeilur.
示范	sýnikennsla	Kennarinn gaf fyrst sýnikennslu.
示威	mótmæli	Friðsamleg mótmæli fóru fram í miðborginni.
示意	gefa merki	Framkvæmdastjórinn gaf öllum merki um að vera hljóðir.
视力	sjón	Að horfa lengi á skjá getur haft áhrif á sjónina.
视频	myndband	Vinsamlegast sendu mér myndbandið.
视线	sjónlína	Þykk þoka byrgði sjónlínu ökumannsins.
视野	sjóndeildarhringur	Ferðalög geta víkkað sjóndeildarhringinn.
试图	reyna	Hann reyndi að útskýra ákvörðun sína.
试验	tilraun	Vísindamennirnir gerðu margar tilraunir.
适宜	hentugur	Loftslagið hér er hentugt til búsetu.
逝世	látast	Þessi rithöfundur lést í fyrra.
释放	láta lausan	Dómstóllinn ákvað að láta sakborninginn lausan.
收藏	safna	Hann safnaði mörgum gömlum frímerkjum.
收缩	dragast saman	Kalt loft getur látið málm dragast saman.
收益	ávöxtun	Ávöxtun fjárfestingarinnar var meiri en búist var við.
收音机	útvarp	Amma hlustar á útvarpið á hverjum degi.
守护	vernda	Læknar vernda líf sjúklinga.
手法	tækni	Kvikmyndatækni leikstjórans er mjög sérstök.
手势	handahreyfing	Hann notaði handahreyfingu til að sýna samþykki.
手艺	handverk	Kunnátta þessa iðnaðarmanns er mjög góð.
首饰	skartgripir	Hún bar einfalda silfurskartgripi.
首要	helstur	Öryggi er helsta verkefnið.
受罪	þjást	Sjúklingurinn þjáðist mikið eftir aðgerðina.
授予	veita	Skólinn veitti honum heiðursgráðu.
书法	skrautskrift	Hann hefur æft skrautskrift frá barnæsku.
书记	ritari	Ritari þorpsins stýrði fundinum.
书籍	bækur	Bókasafnið geymir mikinn fjölda bóka.
书面	skriflegur	Vinsamlegast leggðu fram skriflega staðfestingu.
疏忽	vanræksla	Þessi mistök stöfuðu af vanrækslu í vinnu.
疏远	fjarlægjast	Misskilningurinn lét þau tvö smám saman fjarlægjast.
舒畅	afslappaður	Eftir gönguna var mér létt og afslappað.
数额	upphæð	Upphæð bóta hefur ekki enn verið ákveðin.
束	búnt	Hún keypti blómabúnt.
束缚	takmarka	Hefðbundnar hugmyndir takmörkuðu val hans.
树立	koma á	Fyrirtækið þarf að koma á góðri ímynd.
竖	reisa	Vinsamlegast reistu skiltið upp.
耍	leika sér	Ekki leika þér í símanum á vinnutíma.
衰老	öldrun	Hreyfing getur hægt á öldrun.
衰退	samdráttur	Efnahagssamdrátturinn hafði áhrif á atvinnu.
率领	leiða	Fyrirliðinn leiddi liðið áfram.
涮火锅	borða kínverskan pottmat	Á veturna finnst öllum gott að borða kínverskan pottmat.
双胞胎	tvíburar	Þeir eru tvíburar.
爽快	hreinskilinn	Hún svaraði mjög hreinskilnislega.
水利	vatnsstjórnun	Þetta svæði leggur áherslu á uppbyggingu vatnsstjórnunar.
水龙头	krani	Kraninn í eldhúsinu lekur.
水泥	sement	Verkamennirnir fluttu sement á byggingarsvæðið.
瞬间	augnablik	Ljósin slokknuðu öll á einu augnabliki.
司法	dómsvald	Sjálfstætt dómsvald þarf kerfisbundna vernd.
司令	herforingi	Herforinginn gaf skipun um undanhald.
